week_start,week_end,spot_monday,sma100,regime,begin_cash,begin_equity,begin_sweep,active_target,defense_target,A1_trendcall_action,A1_trendcall_strike,A1_trendcall_exp,A1_trendcall_n,A1_trendcall_px,A1_trendcall_note,A2_stcall_action,A2_stcall_strike,A2_stcall_exp,A2_stcall_n,A2_stcall_px,A2_stcall_note,A3_stput_action,A3_stput_strike,A3_stput_exp,A3_stput_n,A3_stput_px,A3_stput_note,D1_longcall_action,D1_longcall_strike,D1_longcall_exp,D1_longcall_n,D1_longcall_px,D1_longcall_note,D3_putwing_action,D2_shortcall_action,D2_shortcall_strike,D2_shortcall_exp,D2_shortcall_n,D2_shortcall_px,D2_shortcall_note,pm_requirement,pm_util_pct,D2_shortcall_realized,D2_shortcall_outcome,spot_friday,week_realized,defense_realized_wk,sweep_amount,end_cash,end_sweep,end_equity,end_total_wealth,D3_putwing_strike,D3_putwing_exp,D3_putwing_n,D3_putwing_px,D3_putwing_note,A1_trendcall_realized,A2_stcall_realized,A3_stput_realized,D1_longcall_realized,D3_putwing_realized
2024-01-02,2024-01-05,28.04,21.68,RISK-ON,150000.0,150000.0,0.0,75058.0,75058.0,BUY,23.0,2024-05-17,13.0,7.89,bid=7.65 ask=7.95 delta=0.76 dte=136,BUY_ATM,28.0,2024-05-17,17.0,5.29,bid=5.25 ask=5.30 delta=0.61 dte=136,BUY_ATM,28.0,2024-05-17,18.0,4.98,bid=4.90 ask=5.00 delta=-0.39 dte=136,BUY,23.0,2024-05-17,13,7.89,bid=7.65 ask=7.95 delta=0.76 dte=136,SKIP(BUY),SELL,30.0,2024-01-05,13.0,0.152,bid=0.15 ask=0.16 delta=0.16 dte=3,28289.0,18.8,197.6,EXPIRED_WORTHLESS(close 25.94),25.93,197.6,197.6,49.4,111744.48,49.4,145319.48,145368.88,,,,,,,,,,
2024-01-08,2024-01-12,28.43,21.86,RISK-ON,111744.48,149766.98,49.4,74926.0,74926.0,HOLD,23.0,2024-05-17,13.0,,,HOLD,28.0,,17.0,,,HOLD,28.0,,18.0,,,HOLD,23.0,2024-05-17,13,,,BUY,SELL,31.0,2024-01-12,13.0,0.154,bid=0.15 ask=0.17 delta=0.14 dte=4,29556.0,19.7,200.2,EXPIRED_WORTHLESS(close 28.07),28.1,200.2,200.2,50.05,110283.44,99.45,148598.44,148697.89,24.0,2024-05-17,6.0,2.808,bid=2.76 ask=2.82 delta=-0.26 dte=130,,,,,
2024-01-16,2024-01-19,29.19,22.24,RISK-ON,110283.44,151139.44,99.45,75612.0,75612.0,HOLD,23.0,2024-05-17,13.0,,,HOLD,28.0,,17.0,,,HOLD,28.0,,18.0,,,HOLD,23.0,2024-05-17,13,,,HOLD,SELL,31.0,2024-01-19,13.0,0.202,bid=0.20 ask=0.21 delta=0.19 dte=3,30140.0,19.9,-4807.4,SETTLED_ITM(close 34.90),34.86,-4807.4,-4807.4,0.0,105552.43,99.45,162589.93,162689.38,24.0,,6.0,,,,,,,
2024-01-22,2024-01-26,35.26,22.69,RISK-ON,105552.43,163155.43,99.45,81618.0,81618.0,RESIZE_DOWN(-2),23.0,2024-05-17,11.0,,,CLOSE(RESTRIKE_25%MOVE)@9.91|BUY_ATM,35.0,2024-05-17,16.0,6.17,bid=6.05 ask=6.20 delta=0.60 dte=116,CLOSE(RESTRIKE_25%MOVE)@2.57|BUY_ATM,35.0,2024-05-17,18.0,5.53,bid=5.45 ask=5.55 delta=-0.39 dte=116,RESIZE_DOWN(-2),23.0,2024-05-17,11,,,HOLD,SELL,39.0,2024-01-26,11.0,0.306,bid=0.30 ask=0.33 delta=0.17 dte=4,27641.0,16.9,336.6,EXPIRED_WORTHLESS(close 34.01),34.01,5972.6,1396.6,349.15,112489.47,448.6,160921.47,161370.07,24.0,,6.0,,,1060.0,7854.0,-4338.0,1060.0,
2024-01-29,2024-02-02,35.04,23.3,RISK-ON,112489.47,163428.47,448.6,81757.0,81757.0,HOLD,23.0,2024-05-17,11.0,,,HOLD,35.0,,16.0,,,HOLD,35.0,,18.0,,,HOLD,23.0,2024-05-17,11,,,HOLD,SELL,39.0,2024-02-02,11.0,0.336,bid=0.33 ask=0.36 delta=0.18 dte=4,28348.0,17.3,369.6,EXPIRED_WORTHLESS(close 33.68),33.65,369.6,369.6,92.4,112846.05,541.0,160769.05,161310.05,24.0,,6.0,,,,,,,
2024-02-05,2024-02-09,35.1,23.88,RISK-ON,112846.05,162259.05,541.0,81173.0,81173.0,HOLD,23.0,2024-05-17,11.0,,,HOLD,35.0,,16.0,,,HOLD,35.0,,18.0,,,HOLD,23.0,2024-05-17,11,,,HOLD,SELL,39.0,2024-02-09,11.0,0.236,bid=0.23 ask=0.26 delta=0.15 dte=4,26916.0,16.6,-125.4,SETTLED_ITM(close 39.35),39.32,-125.4,-125.4,0.0,112800.3,541.0,170717.3,171258.3,24.0,,6.0,,,,,,,
2024-02-12,2024-02-16,39.15,24.71,RISK-ON,112800.3,172594.3,541.0,86341.0,86341.0,HOLD,23.0,2024-05-17,11.0,,,HOLD,35.0,,16.0,,,HOLD,35.0,,18.0,,,HOLD,23.0,2024-05-17,11,,,HOLD,SELL,43.0,2024-02-16,11.0,0.406,bid=0.40 ask=0.43 delta=0.19 dte=4,35976.0,20.8,446.6,EXPIRED_WORTHLESS(close 38.32),38.33,446.6,446.6,111.65,113214.87,652.65,172382.87,173035.52,24.0,,6.0,,,,,,,
2024-02-20,2024-02-23,36.42,25.71,RISK-ON,113214.87,165812.87,652.65,82950.0,82950.0,HOLD,23.0,2024-05-17,11.0,,,HOLD,35.0,,16.0,,,HOLD,35.0,,18.0,,,HOLD,23.0,2024-05-17,11,,,HOLD,SELL,42.0,2024-02-23,11.0,0.5,bid=0.49 ask=0.54 delta=0.19 dte=3,29434.0,17.7,550.0,EXPIRED_WORTHLESS(close 40.05),40.17,550.0,550.0,137.5,113707.31,790.15,173667.31,174457.46,24.0,,6.0,,,,,,,
2024-02-26,2024-03-01,41.21,26.56,RISK-ON,113707.31,176629.31,790.15,88358.0,88358.0,HOLD,23.0,2024-05-17,11.0,,,HOLD,35.0,,16.0,,,HOLD,35.0,,18.0,,,HOLD,23.0,2024-05-17,11,,,HOLD,SELL,45.0,2024-03-01,11.0,0.382,bid=0.38 ask=0.39 delta=0.19 dte=4,39496.0,22.3,-3253.8,SETTLED_ITM(close 48.34),48.33,-3253.8,-3253.8,0.0,110533.83,790.15,193485.83,194275.98,24.0,,6.0,,,,,,,
2024-03-04,2024-03-08,49.77,27.84,RISK-ON,110533.83,200328.83,790.15,100207.0,100207.0,HOLD,23.0,2024-05-17,11.0,,,CLOSE(RESTRIKE_25%MOVE)@16.60|BUY_ATM,50.0,2024-08-16,11.0,11.26,bid=11.10 ask=11.30 delta=0.62 dte=165,CLOSE(RESTRIKE_25%MOVE)@1.62|BUY_ATM,50.0,2024-08-16,11.0,10.77,bid=10.65 ask=10.80 delta=-0.37 dte=165,HOLD,23.0,2024-05-17,11,,,HOLD,SELL,56.0,2024-03-08,11.0,0.526,bid=0.52 ask=0.55 delta=0.18 dte=4,49199.0,24.5,578.6,EXPIRED_WORTHLESS(close 48.83),48.95,10225.0,578.6,144.65,116248.66,934.8,201000.66,201935.46,24.0,,6.0,,,,16688.0,-7041.6,,
2024-03-11,2024-03-15,46.77,29.32,RISK-ON,116248.66,195854.66,934.8,97972.0,97972.0,HOLD,23.0,2024-05-17,11.0,,,HOLD,50.0,,11.0,,,HOLD,50.0,,11.0,,,HOLD,23.0,2024-05-17,11,,,HOLD,SELL,54.0,2024-03-15,11.0,0.464,bid=0.45 ask=0.52 delta=0.16 dte=4,46377.0,23.7,510.4,EXPIRED_WORTHLESS(close 42.67),42.74,510.4,510.4,127.6,116713.73,1062.4,190085.73,191148.13,24.0,,6.0,,,,,,,
2024-03-18,2024-03-22,42.54,30.68,RISK-ON,116713.73,187037.23,1062.4,93564.0,93564.0,HOLD,23.0,2024-05-17,11.0,,,HOLD,50.0,,11.0,,,HOLD,50.0,,11.0,,,HOLD,23.0,2024-05-17,11,,,HOLD,SELL,49.0,2024-03-22,11.0,0.498,bid=0.49 ask=0.53 delta=0.17 dte=4,39264.0,21.0,547.8,EXPIRED_WORTHLESS(close 46.41),46.43,547.8,547.8,136.95,117207.21,1199.35,193409.21,194608.56,24.0,,6.0,,,,,,,
2024-03-25,2024-03-28,45.89,32.15,RISK-ON,117207.21,192842.21,1199.35,96466.0,96466.0,HOLD,23.0,2024-05-17,11.0,,,HOLD,50.0,,11.0,,,HOLD,50.0,,11.0,,,HOLD,23.0,2024-05-17,11,,,HOLD,SELL,50.0,2024-03-28,11.0,0.376,bid=0.37 ask=0.40 delta=0.18 dte=3,43048.0,22.3,413.6,EXPIRED_WORTHLESS(close 46.53),46.53,413.6,413.6,103.4,117600.42,1302.75,191545.92,192848.67,24.0,,6.0,,,,,,,
2024-04-01,2024-04-05,47.99,33.35,RISK-ON,117600.42,194690.42,1302.75,97390.0,97390.0,HOLD,23.0,2024-05-17,11.0,,,HOLD,50.0,,11.0,,,HOLD,50.0,,11.0,,,HOLD,23.0,2024-05-17,11,,,HOLD,SELL,53.0,2024-04-05,11.0,0.406,bid=0.40 ask=0.43 delta=0.17 dte=4,43200.0,22.2,446.6,EXPIRED_WORTHLESS(close 43.71),43.62,446.6,446.6,111.65,118018.68,1414.4,185379.68,186794.08,24.0,,6.0,,,,,,,
2024-04-08,2024-04-12,44.0,34.62,RISK-ON,118018.68,187880.68,1414.4,93986.0,93986.0,CLOSE(ROLL_DTE(39d))@21.40|BUY,36.0,2024-08-16,10.0,13.69,bid=12.85 ask=13.90 delta=0.75 dte=130,HOLD,50.0,,11.0,,,HOLD,50.0,,11.0,,,CLOSE(ROLL_DTE(39d))@21.40|BUY,36.0,2024-08-16,10,13.69,bid=12.85 ask=13.90 delta=0.75 dte=130,HOLD,SELL,48.0,2024-04-12,10.0,0.426,bid=0.42 ask=0.45 delta=0.19 dte=4,31117.0,16.6,426.0,EXPIRED_WORTHLESS(close 41.36),41.51,30148.0,15287.0,3821.75,134379.91,5236.15,177754.91,182991.06,24.0,,6.0,,,14861.0,,,14861.0,
2024-04-15,2024-04-19,39.78,35.67,RISK-ON,134379.91,176350.91,5236.15,88227.0,88227.0,HOLD,36.0,2024-08-16,10.0,,,HOLD,50.0,,11.0,,,HOLD,50.0,,11.0,,,HOLD,36.0,2024-08-16,10,,,HOLD,SKIP(BELOW_50D_SMA),,,,,,24165.0,13.7,,,30.79,0.0,0.0,0.0,134483.28,5236.15,169257.28,174493.43,24.0,,6.0,,,,,,,
2024-04-22,2024-04-26,32.07,36.26,RISK-OFF,134483.28,168090.78,5236.15,0.0,168194.0,CLOSE(RISK_OFF)@5.06,,,,,,CLOSE(RISK_OFF)@1.93,,,,,,CLOSE(RISK_OFF)@18.32,,,,,,RESIZE_UP(+16),36.0,2024-08-16,26,,,HOLD,SKIP(BELOW_50D_SMA),,,,,,13912.0,8.3,,,39.8,-10590.2,0.0,0.0,153264.33,5236.15,177897.33,183133.48,24.0,,6.0,,,-8630.0,-10265.2,8305.0,,
2024-04-29,2024-05-03,40.61,36.99,RISK-ON,153264.33,179436.33,5236.15,89777.0,89777.0,SKIP(BUY),,,,,,BUY_ATM,41.0,2024-08-16,14.0,7.9,bid=7.70 ask=7.95 delta=0.60 dte=109,BUY_ATM,41.0,2024-08-16,15.0,7.39,bid=6.15 ask=7.70 delta=-0.41 dte=109,RESIZE_DOWN(-15),36.0,2024-08-16,11,,,CLOSE(ROLL_DTE)@0.06|BUY,SKIP(BELOW_50D_SMA),,,,,,29022.0,16.2,,,38.97,-933.46,-933.46,0.0,142527.63,5236.15,175070.13,180306.28,33.0,2024-08-16,6.0,3.83,bid=3.75 ask=3.85 delta=-0.24 dte=109,,,,716.54,-1650.0
2024-05-06,2024-05-10,41.3,37.72,RISK-ON,142527.63,178117.63,5236.15,89114.0,89114.0,BUY,34.0,2024-11-15,10.0,14.42,bid=11.50 ask=15.15 delta=0.75 dte=193,HOLD,41.0,,14.0,,,HOLD,41.0,,15.0,,,HOLD,36.0,2024-08-16,11,,,HOLD,SKIP(BELOW_50D_SMA),,,,,,38968.0,21.9,,,41.03,0.0,0.0,0.0,128210.76,5236.15,173245.76,178481.91,33.0,,6.0,,,,,,,
2024-05-13,2024-05-17,41.27,38.29,RISK-ON,128210.76,173582.76,5236.15,86841.0,86841.0,HOLD,34.0,2024-11-15,10.0,,,HOLD,41.0,,14.0,,,HOLD,41.0,,15.0,,,HOLD,36.0,2024-08-16,11,,,HOLD,SKIP(BELOW_50D_SMA),,,,,,35412.0,20.4,,,45.4,0.0,0.0,0.0,128309.39,5236.15,180722.39,185958.54,33.0,,6.0,,,,,,,
2024-05-20,2024-05-24,48.25,39.08,RISK-ON,128309.39,186214.39,5236.15,93157.0,93157.0,RESIZE_DOWN(-1),34.0,2024-11-15,9.0,,,HOLD,41.0,,14.0,,,HOLD,41.0,,15.0,,,RESIZE_DOWN(-2),36.0,2024-08-16,9,,,HOLD,SELL,54.0,2024-05-24,9.0,0.562,bid=0.55 ask=0.61 delta=0.19 dte=4,41786.0,22.4,505.8,EXPIRED_WORTHLESS(close 51.54),51.44,1753.34,1429.34,357.33,132954.75,5593.48,190858.75,196452.24,33.0,,6.0,,,324.0,,,923.54,
2024-05-28,2024-05-31,54.04,40.1,RISK-ON,132954.75,198435.75,5593.48,99269.0,99269.0,HOLD,34.0,2024-11-15,9.0,,,CLOSE(RESTRIKE_25%MOVE)@14.88,,,,,,CLOSE(RESTRIKE_25%MOVE)@2.23,,,,,,HOLD,36.0,2024-08-16,9,,,HOLD,SELL,58.0,2024-05-31,9.0,0.376,bid=0.36 ask=0.44 delta=0.19 dte=3,37737.0,19.0,338.4,EXPIRED_WORTHLESS(close 48.55),48.59,2376.4,338.4,84.6,157469.12,5678.08,188787.62,194465.71,33.0,,6.0,,,,9772.0,-7734.0,,
2024-06-03,2024-06-07,48.59,40.99,RISK-ON,157469.12,188801.12,5678.08,94461.0,94461.0,HOLD,34.0,2024-11-15,9.0,,,BUY_ATM,49.0,2024-11-15,9.0,11.96,bid=10.60 ask=12.30 delta=0.62 dte=165,BUY_ATM,49.0,2024-11-15,11.0,10.54,bid=10.30 ask=10.60 delta=-0.38 dte=165,HOLD,36.0,2024-08-16,9,,,HOLD,SELL,54.0,2024-06-07,9.0,0.346,bid=0.34 ask=0.37 delta=0.15 dte=4,36315.0,19.2,311.4,EXPIRED_WORTHLESS(close 51.91),51.87,311.4,311.4,77.85,135446.95,5755.93,193204.45,198960.39,33.0,,6.0,,,,,,,
2024-06-10,2024-06-14,53.95,42.17,RISK-ON,135446.95,196318.95,5755.93,98212.0,98212.0,HOLD,34.0,2024-11-15,9.0,,,HOLD,49.0,,9.0,,,HOLD,49.0,,11.0,,,HOLD,36.0,2024-08-16,9,,,HOLD,SELL,60.0,2024-06-14,9.0,0.398,bid=0.39 ask=0.43 delta=0.15 dte=4,43168.0,22.0,331.2,SETTLED_ITM(close 60.03),60.1,331.2,331.2,82.8,135793.69,5838.73,209745.19,215583.93,33.0,,6.0,,,,,,,
2024-06-17,2024-06-21,62.67,43.39,RISK-ON,135793.69,215209.19,5838.73,107657.0,107657.0,RESIZE_DOWN(-1),34.0,2024-11-15,8.0,,,CLOSE(RESTRIKE_25%MOVE)@20.51|BUY_ATM,63.0,2024-11-15,9.0,14.56,bid=12.00 ask=15.20 delta=0.62 dte=151,CLOSE(RESTRIKE_25%MOVE)@6.23|BUY_ATM,63.0,2024-11-15,9.0,14.1,bid=12.90 ask=14.40 delta=-0.37 dte=151,RESIZE_DOWN(-1),36.0,2024-08-16,8,,,HOLD,SELL,67.0,2024-06-21,8.0,0.334,bid=0.29 ask=0.51 delta=0.18 dte=4,45755.0,21.3,267.2,EXPIRED_WORTHLESS(close 58.02),58.2,6669.97,2033.97,508.49,140892.66,6347.23,203543.16,209890.39,33.0,,6.0,,,1682.0,7695.0,-4741.0,1766.77,
2024-06-24,2024-06-28,53.22,44.35,RISK-ON,140892.66,197299.16,6347.23,98704.0,98704.0,RESIZE_UP(+1),34.0,2024-11-15,9.0,,,HOLD,63.0,,9.0,,,HOLD,63.0,,9.0,,,RESIZE_UP(+1),36.0,2024-08-16,9,,,HOLD,SELL,59.0,2024-06-28,9.0,0.402,bid=0.39 ask=0.45 delta=0.16 dte=4,32912.0,16.7,361.8,EXPIRED_WORTHLESS(close 55.35),55.36,361.8,361.8,90.45,137034.24,6437.68,199590.24,206027.91,33.0,,6.0,,,,,,,
2024-07-01,2024-07-05,55.36,45.43,RISK-ON,137034.24,198453.24,6437.68,99279.0,99279.0,RESIZE_DOWN(-1),34.0,2024-11-15,8.0,,,HOLD,63.0,,9.0,,,HOLD,63.0,,9.0,,,RESIZE_DOWN(-1),36.0,2024-08-16,8,,,HOLD,SELL,59.0,2024-07-05,8.0,0.262,bid=0.24 ask=0.35 delta=0.16 dte=4,29002.0,14.6,-1238.4,SETTLED_ITM(close 60.81),60.81,505.84,-279.83,0.0,140153.75,6437.68,205715.25,212152.93,33.0,,6.0,,,785.67,,,958.57,
