Date,Open,High,Low,Close,Volume
2021-09-13,87.95,88.06,87.89,88.05,13898263
2021-09-14,88.08,88.12,87.97,88.01,16001002
2021-09-15,88.02,88.14,88.01,88.14,11494219
2021-09-16,88.11,88.14,87.95,88.11,11925254
2021-09-17,88.08,88.09,87.96,88,23381119
2021-09-20,87.6,87.81,87.55,87.69,40430081
2021-09-21,87.83,87.88,87.68,87.84,19759678
2021-09-22,87.97,88.08,87.85,88,20129654
2021-09-23,88.05,88.16,87.96,88.04,22002906
2021-09-24,87.96,88.02,87.86,87.91,15802283
2021-09-27,87.76,87.89,87.73,87.83,12987512
2021-09-28,87.66,87.7,87.38,87.43,30475437
2021-09-29,87.53,87.71,87.5,87.59,16154791
2021-09-30,87.64,87.68,87.38,87.49,34042209
2021-10-01,87.35,87.48,87.14,87.41,26799336
2021-10-04,87.35,87.38,87.08,87.1,20994139
2021-10-05,87.19,87.22,87.03,87.06,16686662
2021-10-06,86.87,87.04,86.77,87.01,26668858
2021-10-07,87.13,87.3,86.96,87.02,23233619
2021-10-08,87,87.05,86.77,86.76,22616087
2021-10-11,86.76,86.81,86.49,86.49,11131795
2021-10-12,86.59,86.77,86.57,86.65,27923088
2021-10-13,86.7,86.88,86.56,86.88,23435322
2021-10-14,87.05,87.38,87.03,87.37,21731370
2021-10-15,87.39,87.39,87.17,87.22,22540263
2021-10-18,87.02,87.18,86.99,87.18,14372600
2021-10-19,87.18,87.25,87.12,87.24,21823187
2021-10-20,87.25,87.29,87.19,87.27,13464020
2021-10-21,87.25,87.29,86.99,87.05,14903783
2021-10-22,87.02,87.06,86.8,86.84,14865229
2021-10-25,86.94,87.08,86.77,86.99,18196508
2021-10-26,87.12,87.2,87.02,87.01,16091286
2021-10-27,87.1,87.13,86.93,86.94,16105491
2021-10-28,86.98,87.15,86.98,87.16,13046881
2021-10-29,87.02,87.05,86.93,86.93,18073680
2021-11-01,86.73,86.78,86.55,86.56,21564971
2021-11-02,86.56,86.84,86.56,86.77,17524788
2021-11-03,86.71,86.96,86.69,86.94,17686923
2021-11-04,87.02,87.56,87,87.17,23369006
2021-11-05,87.3,87.52,87.25,87.5,23945901
2021-11-08,87.59,87.61,87.34,87.39,10235197
2021-11-09,87.39,87.46,87.28,87.46,11605087
2021-11-10,87.35,87.35,86.94,86.97,27194034
2021-11-11,87.03,87.04,86.83,86.82,8633392
2021-11-12,86.92,87.05,86.84,86.85,22332116
