Date,Open,High,Low,Close,Volume
2021-09-14,40.6,40.765,39.84,40.04,5170488
2021-09-15,40.155,40.72,39.645,40.63,2868862
2021-09-16,40.36,40.82,39.925,40.705,3233236
2021-09-17,40.6,40.6,39.5,39.74,5063742
2021-09-20,38.45,38.84,37.07,38.085,12110138
2021-09-21,38.47,38.725,37.94,38.16,5850824
2021-09-22,38.38,39.2,38.145,38.89,5721620
2021-09-23,39.145,39.83,38.995,39.6,6005534
2021-09-24,39.1,39.77,39.04,39.665,3375916
2021-09-27,39.015,39.23,38.485,39.05,5216792
2021-09-28,38.06,38.195,36.725,36.82,9720128
2021-09-29,37.105,37.54,36.58,36.73,6309040
2021-09-30,37.06,37.4,36.365,36.385,7337474
2021-10-01,36.565,37.095,35.705,36.875,7975782
2021-10-04,36.535,36.615,34.865,35.345,10350126
2021-10-05,35.535,36.745,35.515,36.29,7304034
2021-10-06,35.605,36.805,35.425,36.745,7113778
2021-10-07,37.38,37.97,37.285,37.42,4303592
2021-10-08,37.655,37.69,36.935,37.04,3805654
2021-10-11,36.73,37.455,36.455,36.475,3570580
2021-10-12,36.78,36.86,36.08,36.23,4335838
2021-10-13,36.69,36.93,36.285,36.8,3972456
2021-10-14,37.55,38.195,37.415,38.15,4914124
2021-10-15,38.41,38.65,38.195,38.63,3089624
2021-10-18,38.355,39.445,38.23,39.41,3977638
2021-10-19,39.64,40.01,39.495,39.985,3463546
2021-10-20,40.105,40.225,39.57,39.89,3292782
2021-10-21,39.72,40.415,39.645,40.38,2637762
2021-10-22,40.095,40.305,39.33,39.69,4361832
2021-10-25,40.005,40.705,39.585,40.5,4160326
2021-10-26,41,41.53,40.505,40.725,4801140
2021-10-27,40.865,41.62,40.805,40.935,3425108
2021-10-28,41.365,41.9,41.205,41.86,3012032
2021-10-29,41.16,42.3,41.085,42.27,3778858
2021-11-01,42.37,42.57,41.895,42.555,3708694
2021-11-02,42.41,43.015,42.405,42.915,2807904
2021-11-03,43.01,43.905,42.78,43.82,4079206
