Date,Open,High,Low,Close,Volume
2021-09-13,47.81,48.17,45.92,47.87,9707552
2021-09-14,48.39,48.97,47.14,47.87,8329127
2021-09-15,48.06,48.69,46.76,48.59,7858876
2021-09-16,47.74,49.53,47.02,49.07,7734089
2021-09-17,48.64,48.65,45.97,46.75,11377424
2021-09-20,43.75,44.2,41.16,43.3,15976846
2021-09-21,44.05,44.52,42.35,43.6,8384693
2021-09-22,44.4,46.57,44.01,46.26,9354630
2021-09-23,46.89,48.55,46.42,48.1,9711522
2021-09-24,46.8,48.23,46.78,47.95,6000062
2021-09-27,46.48,48.19,45.56,47.69,8613285
2021-09-28,45.01,45.79,42.05,42.23,18338642
2021-09-29,42.55,42.68,39.78,40.12,15722626
2021-09-30,40.99,41.95,40,40.04,11633227
2021-10-01,40.58,40.7,38.06,40.07,12812758
2021-10-04,39.31,39.52,36.57,37.02,15834095
2021-10-05,37.6,39.39,37.25,38.65,12631140
2021-10-06,37.32,39.14,36.92,39.06,13027959
2021-10-07,40.56,42.03,40.27,40.39,10861422
2021-10-08,40.9,41.07,39.08,39.33,8127769
2021-10-11,38.76,40.39,38.36,38.38,7795115
2021-10-12,39.2,39.31,36.5,37.05,16349339
2021-10-13,37.7,38.3,37.24,37.65,9427958
2021-10-14,39.64,41.06,39.34,41.05,12394112
2021-10-15,42.03,42.29,41.3,41.84,9098952
2021-10-18,41.12,42.97,40.44,42.86,7026666
2021-10-19,43.11,44.48,42.63,44.43,9654402
2021-10-20,44.13,44.73,43.63,44.2,8287334
2021-10-21,43.33,45.72,43.3,45.59,8168942
2021-10-22,44.83,46.23,43.77,44.05,10235124
2021-10-25,44.6,45.67,44.16,45.06,8023937
2021-10-26,46.02,46.45,44.54,44.96,9826637
2021-10-27,44.23,45.61,43.56,44.09,10761854
2021-10-28,45.84,47.1,45.57,47,12961972
2021-10-29,45.97,47.65,45.62,47.65,10511208
2021-11-01,47.79,49.96,47.45,49.96,11239119
2021-11-02,49.82,51.82,49.81,51.82,9875320
2021-11-03,52.03,53.81,51.42,53.67,9186609
2021-11-04,55.41,59.83,54.57,59.08,16493573
2021-11-05,60.04,62.4,59.21,60.91,14706483
