Date,Open,High,Low,Close,Volume
2021-09-13,66.93,67.5,64.29,65.56,1094388
2021-09-14,66.42,66.8,64.8,65.34,689982
2021-09-15,65.95,67.16,64.88,66.98,747596
2021-09-16,66.33,67.33,65.07,67.16,613010
2021-09-17,66.59,66.59,63.7,64.07,1465119
2021-09-20,61.15,62.16,57.98,60.52,2295703
2021-09-21,61.56,62.04,59.89,60.52,885282
2021-09-22,61.61,63.74,60.76,63.09,1068199
2021-09-23,63.93,66.03,63.45,65.59,1118285
2021-09-24,64.33,66.02,64.22,65.75,696237
2021-09-27,63.98,64.5,62.56,63.81,920423
2021-09-28,61.3,61.78,57.96,58.12,2318195
2021-09-29,58.76,59.74,57.58,57.88,1005923
2021-09-30,58.89,59.63,56.56,56.64,952507
2021-10-01,57.22,59.56,55.5,59.12,1241444
2021-10-04,58.19,58.3,53.68,54.99,2155394
2021-10-05,55.3,58.35,55.24,57.35,1373629
2021-10-06,55.49,58.66,54.88,58.52,1101959
2021-10-07,60.01,61.48,59.8,60.13,1611175
2021-10-08,60.85,60.92,59.15,59.49,646576
2021-10-11,58.57,60.83,58.38,58.47,798419
2021-10-12,59.19,59.34,57.26,57.59,596501
2021-10-13,58.29,58.95,57.15,58.6,577285
2021-10-14,60.43,62.63,60.14,62.53,1034453
2021-10-15,63.27,64.08,62.64,64.08,1126875
2021-10-18,62.98,65.75,62.42,65.69,1105486
2021-10-19,66.16,67.61,65.79,67.57,1607556
2021-10-20,67.77,68.09,66.16,67.04,1492082
2021-10-21,66.4,67.91,66,67.8,752098
2021-10-22,67.67,68.57,66.28,67.1,1138351
2021-10-25,67.74,68.47,66.98,67.82,673631
2021-10-26,69.12,69.98,68.21,68.37,1325033
2021-10-27,68.69,69.71,67.95,68.09,813162
2021-10-28,69.29,70.34,69.03,70.09,895794
2021-10-29,68.09,71.2,67.9,71.06,1116668
2021-11-01,71.15,71.25,69.68,71.03,849084
2021-11-02,71.1,73.17,71.1,72.72,661312
2021-11-03,72.95,74.34,71.72,73.99,779520
2021-11-04,74.77,77.9,74.37,77.4,1424495
2021-11-05,79.09,79.88,77.08,78.46,1096913
2021-11-08,79.44,80.21,78.76,79.83,665889
2021-11-09,80.26,80.43,77.64,78.89,915060
2021-11-10,77,78.16,74.22,74.86,1232052
2021-11-11,76.44,76.65,75.63,76.06,554170
2021-11-12,76.78,79.1,76.36,78.76,721001
2021-11-15,79.69,80.03,77.18,78.52,727867
2021-11-16,78.22,81.3,78.1,80.96,989438
2021-11-17,80.44,81.77,79.47,80.21,893249
2021-11-18,81.7,82.96,79.86,82.53,1060663
2021-11-19,83.68,85.33,82.64,84.48,1151711
2021-11-22,85.68,88.76,81.41,81.66,1737005
2021-11-23,80.59,81.71,77.93,81.09,1713509
2021-11-24,79.68,82.85,78.39,82.78,887712
2021-11-26,79.3,81.09,75.64,76.63,1589009
2021-11-29,79.61,82.88,79.22,82.26,1471744
2021-11-30,81.33,83.56,78.11,80.22,1778101
2021-12-01,82.99,84.58,76.71,76.87,1579467
2021-12-02,74.91,80.03,74.28,79.01,1315116
2021-12-03,79.69,80.41,72.13,75.02,2707086
2021-12-06,75.63,77.87,73.37,77.28,1207044
2021-12-07,81.79,85.55,81.41,85.26,1827338
2021-12-08,85.37,86.58,83.59,86.42,1078805
2021-12-09,85.5,87.2,83.13,83.34,1030975
2021-12-10,85.97,88.61,85.18,88.45,1581290
2021-12-13,88.81,89.35,84,84.34,1280625
2021-12-14,81.28,82.95,77.21,80.22,2056405
2021-12-15,80.49,86.86,78.12,86.56,2261218
2021-12-16,87.34,87.91,77.72,79.25,2473312
2021-12-17,76.54,79.91,75.35,77.58,1709989
2021-12-20,74.14,75.53,73.15,74.87,1836313
2021-12-21,77.44,80.69,75.15,80.46,1542898
2021-12-22,80.24,83.82,79.46,83.72,1208975
2021-12-23,84.07,86,83.97,85.05,1158043
2021-12-27,86.01,90.51,85.95,90.5,1878380
2021-12-28,90.98,91.04,88.37,89.08,2171609
2021-12-29,89.08,90.33,87.9,89.28,1026700
2021-12-30,89.28,90.28,87.21,87.55,1148192
2021-12-31,87.22,87.82,86.12,86.23,1530586
2022-01-03,86.82,88.9,85.42,88.68,2125233
2022-01-04,89.21,89.4,83.87,85.87,1808500
2022-01-05,84.75,84.75,77.86,77.97,2312700
2022-01-06,76,79.13,75.33,76.74,2034751
2022-01-07,76.57,77.65,73.1,74.49,1879645
2022-01-10,71.3,74.93,68.34,74.64,3060875
2022-01-11,74.06,77.64,72.36,77.37,1939054
2022-01-12,79.18,80.62,77.22,78.36,2099721
2022-01-13,79.28,80.3,71.73,72.4,1905876
2022-01-14,70.85,74.27,70.85,74.12,1523907
2022-01-18,70.68,72.18,68.18,68.79,2321755
2022-01-19,69.4,71.96,65.66,65.94,1950365
2022-01-20,67.56,69.86,63.06,63.3,3538886
2022-01-21,62.73,65,59.54,59.57,3398441
2022-01-24,56.4,60.59,50.17,60.5,6513336
2022-01-25,56.91,59.61,54.24,56.32,3360262
2022-01-26,61.22,62.86,55.28,57.25,3453778
2022-01-27,60.04,60.94,55.43,56.15,2623466
2022-01-28,58.23,63.44,55.63,63.39,4196987
2022-01-31,63.52,68.42,62.46,68.33,3222273
2022-02-01,68.6,69.05,65.77,68.75,2599754
2022-02-02,69.2,70.71,67.73,70.4,2474322
2022-02-03,67.29,68.79,63.45,64.23,2710427
2022-02-04,63.04,66.64,62.38,65,1981555
2022-02-07,65.37,66.3,62.95,63.65,1152092
2022-02-08,63.01,66.55,62.62,66.06,1467739
2022-02-09,68.8,70.5,67.78,70.4,2328632
2022-02-10,66.31,69.74,63.84,64.91,2575110
2022-02-11,65.06,65.91,58.2,59,3370938
2022-02-14,58.41,60.29,56.87,58.98,1683686
2022-02-15,61.49,63.63,60.95,63.53,1524411
2022-02-16,62.12,63.96,60.15,63.28,1505936
2022-02-17,61.38,61.7,57.28,57.63,1393859
2022-02-18,58.26,58.48,54.54,55.86,2332859
2022-02-22,54.12,56.94,52.49,54.33,3482437
2022-02-23,55.74,56.4,50.04,50.27,2673358
2022-02-24,44.95,55.48,44.51,55.3,4416715
2022-02-25,56.04,57.63,53.55,57.65,2774195
2022-02-28,55.74,58.01,54.33,57.33,3163163
2022-03-01,56.87,57.5,52.51,53.89,3438213
2022-03-02,54.77,58.03,53.78,57.37,2285329
2022-03-03,58.74,58.9,54.4,55.25,2841934
2022-03-04,53.82,54.66,51.08,52.39,3875376
2022-03-07,52.29,52.92,46.53,46.69,4782070
2022-03-08,46.25,50.25,43.9,45.99,4153012
2022-03-09,49.75,52.02,48.55,51.47,2591305
2022-03-10,48.42,49.1,46.39,48.68,2679666
2022-03-11,50.05,50.2,45.89,46.12,1706672
2022-03-14,45.35,47,43.15,43.5,3096181
2022-03-15,44.59,48.18,44.14,47.88,3060060
2022-03-16,49.65,52.65,47.42,52.63,4282196
2022-03-17,51.64,53.74,50.88,53.7,2242565
2022-03-18,53.3,57.26,52.4,56.91,2418923
2022-03-21,56.05,57.55,54.39,56.66,2312423
2022-03-22,56.75,59.98,56.51,59.07,2598273
2022-03-23,57.37,59.04,56.2,56.35,1867954
2022-03-24,57.19,60.76,56.75,60.74,2632548
2022-03-25,60.87,61.28,58.35,60.58,1987685
2022-03-28,59.74,62.86,59.38,62.89,1791975
2022-03-29,65.06,66.97,63.62,66.74,2265780
2022-03-30,65.73,66.29,63.05,64.04,1409789
2022-03-31,63.97,64.43,61.07,61.44,1447713
2022-04-01,61.4,61.85,58.65,60.71,1934657
2022-04-04,61.02,64.24,61.02,64.18,1320262
2022-04-05,63.4,63.76,59.47,60.09,2179264
2022-04-06,56.94,57.49,54.23,55.55,2592182
2022-04-07,54.66,57.18,53.76,56.19,1771865
2022-04-08,55.26,55.69,53.35,53.68,1615634
2022-04-11,51.75,51.99,49.42,49.65,2612193
2022-04-12,51.61,52.59,48.43,49.03,3237771
2022-04-13,49.05,51.78,48.51,51.28,2411741
2022-04-14,51.57,51.72,47.5,47.59,2304328
2022-04-18,46.73,48.94,46.71,48.04,2550824
2022-04-19,47.73,51,47.18,50.73,5050677
2022-04-20,52.28,52.63,50.13,50.6,6059001
2022-04-21,51.99,53.51,47.57,48.03,3995417
2022-04-22,47.93,48.67,43.78,43.97,7070123
2022-04-25,43.39,46.04,42.56,45.95,5959065
2022-04-26,44.76,44.92,40.89,40.91,4913130
2022-04-27,42.16,45.02,41.9,42.66,3967329
2022-04-28,44.61,48.48,43.94,47.76,3512461
2022-04-29,46.2,47.83,41.52,41.88,6225142
2022-05-02,41.81,43.8,40.21,43.8,3429634
2022-05-03,43.75,44.69,42.67,43.94,3731340
2022-05-04,44.37,48.76,42.2,48.53,8134701
2022-05-05,46.38,46.52,39.86,41.64,5363454
2022-05-06,40.44,42.44,38.63,40.54,5476458
2022-05-09,38.32,39.05,35.25,35.87,6890614
2022-05-10,38.31,38.94,35.8,37.46,4544826
2022-05-11,36.4,38.52,33.53,33.88,6654726
2022-05-12,32.36,34.27,30.48,32.83,5896601
2022-05-13,34.15,36.57,33.51,36.15,4306276
2022-05-16,35.32,36.54,34.2,35.12,3181918
2022-05-17,37.32,38.31,36.15,38.14,6614565
2022-05-18,36.63,36.93,32.53,32.99,4118764
2022-05-19,32.15,33.51,31.35,31.85,4202270
2022-05-20,33.08,33.39,29.07,32.01,8631254
