Date,Open,High,Low,Close,Volume
2021-09-13,87.92,88.11,84.49,87.59,10230560
2021-09-14,88.54,88.55,83.06,84.19,8700060
2021-09-15,84.08,87.23,83.52,86.91,6741058
2021-09-16,86.7,87.93,84.36,86.6,4974119
2021-09-17,85.91,87.56,84.79,86.76,7206288
2021-09-20,81.06,82.85,77.3,80.67,14248691
2021-09-21,82.39,83.07,79.23,81.19,8062272
2021-09-22,82.64,86.69,82.6,84.81,7597445
2021-09-23,86.36,90.29,85.66,89.38,6792193
2021-09-24,87.96,89.59,86.63,88.15,5855644
2021-09-27,88.67,93.52,88.67,91.96,6942200
2021-09-28,90.88,91.03,85.3,85.82,8396336
2021-09-29,86.96,87.36,84.54,85.33,9153096
2021-09-30,86.71,87.31,82.76,82.9,10235031
2021-10-01,84.34,88.25,81.74,86.86,9406688
2021-10-04,86.67,86.9,82.95,84.46,8723286
2021-10-05,85.25,87.68,84.04,85.37,6874987
2021-10-06,82.82,84.4,80.46,84.02,9094311
2021-10-07,85.95,89.8,85.75,88,6408789
2021-10-08,88.03,88.87,85.78,85.93,6212853
2021-10-11,86.2,88.17,84.38,84.44,5331903
2021-10-12,85.04,86.9,84.5,85.89,5980359
2021-10-13,86.22,87.17,83.86,87.01,6460454
2021-10-14,89.46,91.01,89.04,90.78,5819616
2021-10-15,93.13,93.9,89.87,89.95,5450907
2021-10-18,88.46,90.6,88.29,89.92,3567159
2021-10-19,90.97,92.06,89.36,90.89,4943638
2021-10-20,91.09,93.39,89.96,92.67,5883668
2021-10-21,92.41,94.65,91.73,93.37,5801523
2021-10-22,93.17,93.9,90.61,92.7,5100385
2021-10-25,93.18,95.82,92.54,95.4,4593519
2021-10-26,95.91,96.73,93.18,93.27,5900421
2021-10-27,92.32,92.69,87.9,87.92,8562338
2021-10-28,89.43,93.45,89.37,93.2,5784512
2021-10-29,92.86,94.13,91.86,93.24,4223577
2021-11-01,94.54,100.67,94.2,100.42,6240932
2021-11-02,101,101.57,98.78,101.08,6350808
2021-11-03,100.66,107.97,100.37,106.45,7498329
2021-11-04,107.64,109.5,105.05,106.29,6461135
2021-11-05,109.86,112.83,108.55,110.8,6179079
2021-11-08,113.4,114.31,110.85,111.84,7239227
2021-11-09,110.97,111.66,107.54,109.8,5446346
2021-11-10,108.26,110.33,103.18,104.59,9580613
2021-11-11,105.77,108.55,105.01,107.15,3359970
2021-11-12,107.99,108.39,106.42,107.4,5750299
2021-11-15,108.89,109.08,104.8,106.15,6023222
2021-11-16,105.06,107.21,104.02,106.67,4201175
2021-11-17,105.47,105.57,101.59,102.57,5879569
2021-11-18,103.84,104.1,98.86,101.26,7722567
2021-11-19,99.06,100.63,98.06,98.5,5802671
2021-11-22,100.29,102.32,97.09,97.24,8272117
2021-11-23,96.78,98.8,93.3,96.73,10178403
2021-11-24,94.3,97.49,93.24,97.02,6701803
2021-11-26,88.68,90.19,82.1,86.43,11172667
2021-11-29,89.84,90.5,84.17,85.89,10495535
2021-11-30,83.56,84.87,78,80.79,18373743
2021-12-01,86,87.28,75.11,75.28,21753288
2021-12-02,76.35,82.22,75.76,81.46,18721953
2021-12-03,82.61,82.69,74.22,76.37,17615231
2021-12-06,78.29,82.73,75.3,80.99,14950299
2021-12-07,84.48,88.73,84.25,86.53,9538338
2021-12-08,87.19,89.4,85.41,88.47,9580980
2021-12-09,86.4,87.71,82.37,82.43,10000324
2021-12-10,84.17,84.97,79.91,81.71,9600418
2021-12-13,80.73,81.43,76.7,78.29,7539829
2021-12-14,76.52,79.7,75.17,76.2,9297687
2021-12-15,76.12,80.32,72.81,79.89,16220629
2021-12-16,81.68,82.21,73.84,74.92,13934091
2021-12-17,73.82,79.25,71.86,76.93,12450572
2021-12-20,73.62,74.51,70.08,73.65,15629701
2021-12-21,75.71,80.1,75.71,79.95,12020604
2021-12-22,79.53,82.27,78.75,82.23,11083303
2021-12-23,83.1,84.99,82.26,84.2,8662067
2021-12-27,84.52,86.65,82.58,86.6,10479743
2021-12-28,86.2,88.38,84.49,85.03,10170389
2021-12-29,84.89,85.8,83.27,85.26,7352779
2021-12-30,85.18,87.99,84.9,85.14,8504587
2021-12-31,84.55,86.51,84.52,84.75,8759651
2022-01-03,85.97,89.38,84.92,87.79,9691228
2022-01-04,88.61,89.96,85.62,87.47,11393255
2022-01-05,87.31,88.53,78.67,78.68,12883253
2022-01-06,79.17,81.9,76.93,79.99,9062846
2022-01-07,79.9,81.85,77.01,77.15,13937281
2022-01-10,75.75,76.42,71.84,76.34,19035649
2022-01-11,76.52,78.99,73.85,78.74,17615117
2022-01-12,79.73,80.64,75.55,76.94,9565927
2022-01-13,77.87,79.33,74.24,74.96,12884750
2022-01-14,72.75,75.27,71.28,75.24,12905826
2022-01-18,73,73.21,68.05,68.33,13361286
2022-01-19,69.32,69.97,64.95,65.11,15648922
2022-01-20,65.9,69.33,61.09,61.49,14536904
2022-01-21,60.61,63.53,58.04,58.07,19597088
2022-01-24,55.47,62.77,52.9,62.21,26991938
2022-01-25,59.25,62.15,55.58,59.57,17746517
2022-01-26,62.1,63.72,54.93,56.97,17331980
2022-01-27,58.48,60.09,52.25,53.04,16314788
2022-01-28,53.16,56.18,50.2,56.15,14759910
2022-01-31,55.35,61.22,54.92,61.19,12607753
2022-02-01,61.64,63.4,58.33,63.15,11801475
2022-02-02,63.42,63.72,59.45,61.31,10791626
2022-02-03,59.07,61.24,57.41,57.8,9215524
2022-02-04,57.42,60.09,55.55,58.72,10859699
2022-02-07,58.58,61.03,58.22,59.62,9495792
2022-02-08,59.49,62.81,59.46,62.5,13422144
2022-02-09,64.17,66.08,63.91,66.09,10456143
2022-02-10,62.5,68.38,61.74,63.12,15852900
2022-02-11,63.2,65.43,59.53,61,13446578
2022-02-14,61.32,63.02,59.15,60.46,8493304
2022-02-15,62.31,65.5,62.18,65.32,7375926
2022-02-16,64.58,66.44,63.42,65.62,8082812
2022-02-17,63.93,64.33,60.28,60.68,7337211
2022-02-18,60.44,62.02,58.45,59.08,9339866
2022-02-22,58.22,59.94,55.45,56.61,9140863
2022-02-23,57.85,58.51,53.04,53.4,9012213
2022-02-24,49.5,57.95,49.22,57.71,13002495
2022-02-25,58.2,61.56,56.66,61.57,9168421
2022-02-28,59.64,63.36,59.62,62.13,9560511
2022-03-01,61.65,62.63,57.17,58.65,8358073
2022-03-02,59.86,63.78,59.75,62.93,9044133
2022-03-03,63.61,63.68,59.24,60.59,9755837
2022-03-04,58.76,59.73,56.28,57.85,8656212
2022-03-07,58.09,58.56,53.46,53.54,10281369
2022-03-08,53.99,58.29,53.23,54.44,12313676
2022-03-09,57.2,59.52,56.72,58.93,6661254
2022-03-10,56.43,58.72,55.66,58.65,7916868
2022-03-11,59.39,60.22,55.56,55.8,5318886
2022-03-14,56.24,56.41,51.71,52.6,8390872
2022-03-15,53.01,54.91,52.53,54.84,6714244
2022-03-16,56.35,60.04,55.23,60.06,10739078
2022-03-17,59.07,62.99,58.64,62.96,6774203
2022-03-18,62.06,65.01,61.87,64.68,6486818
2022-03-21,64.79,65.7,61.75,63.14,6734433
2022-03-22,63.85,66.22,63.5,64.95,6941218
2022-03-23,63.73,64.73,61.53,61.65,5789192
2022-03-24,62.37,63.77,60.94,63.77,6571295
2022-03-25,63.98,64.48,62.46,64.05,5078759
2022-03-28,63.53,64.07,61.15,64.05,7059344
2022-03-29,65.72,69.69,65.62,69.17,8086286
2022-03-30,68.87,69.22,64.22,65.17,6599925
2022-03-31,64.74,66.41,62.9,62.99,7157123
2022-04-01,63.78,65.24,62.75,65,7164470
2022-04-04,65.39,65.86,63.51,65.55,7354584
2022-04-05,65.4,66.82,60.31,60.82,8394413
2022-04-06,59.25,59.65,56.88,58.21,11508427
2022-04-07,58.16,59.11,55.19,57.6,8842309
2022-04-08,57.38,58.31,55.89,56.29,5512782
2022-04-11,55.51,57.38,54.52,55.03,5707036
2022-04-12,56.82,59.36,54.97,55.58,7221034
2022-04-13,56.01,59.21,55.97,58.78,5751829
2022-04-14,58.9,60.02,56.98,56.99,5394456
2022-04-18,56.59,57.24,54.96,55.84,5741757
2022-04-19,56.05,59.77,55.95,59.27,5850016
2022-04-20,60.5,61.21,59.45,59.89,8518799
2022-04-21,61.56,62.04,55.19,55.83,9185156
2022-04-22,55.08,55.48,51.18,51.52,12188140
2022-04-25,50.17,52.65,48.73,52.49,10735391
2022-04-26,51.22,51.53,47.28,47.41,11444316
2022-04-27,47.38,48.99,46.35,46.86,14068352
2022-04-28,48.52,50.18,45.18,49.42,11721333
2022-04-29,48.75,50.45,44.85,45.26,10757988
2022-05-02,45.17,47.28,43.32,46.58,14331340
2022-05-03,46.59,48.56,45.71,47.82,8262562
2022-05-04,48.24,51.93,45.71,51.67,11671833
2022-05-05,50.06,50.07,43.54,45.44,9260405
2022-05-06,44.84,45.15,41.63,43.13,10497979
2022-05-09,41.12,41.68,37.07,37.69,12864842
2022-05-10,39.36,40.22,35.25,37.67,11700807
2022-05-11,37.74,39.75,34.65,34.89,16702343
2022-05-12,34.35,37.14,33.81,36.14,15020096
2022-05-13,37.59,40.34,37.58,39.47,11793761
2022-05-16,39.11,40.38,38.22,38.91,9769760
2022-05-17,41.04,42.62,40.07,42.55,10725689
2022-05-18,40.99,41.61,37.23,38.03,10149148
2022-05-19,37.15,39.67,37.15,38.22,10081400
2022-05-20,39.52,39.76,35.12,37.95,11662735
2022-05-23,39.06,39.74,37.5,39.25,8810960
2022-05-24,38.19,38.38,35.37,37.45,12136077
2022-05-25,37.05,40.19,37.02,39.59,11369158
2022-05-26,40.26,42.89,40.17,42.12,10664389
2022-05-27,42.86,45.55,42.65,45.53,8237425
2022-05-31,44.99,45.31,42.97,43.79,10057489
2022-06-01,44.52,45.02,41.35,43.13,10284281
2022-06-02,43.31,46.24,43.02,46.2,7639182
2022-06-03,45.19,45.66,44.09,45.07,6991545
2022-06-06,46.56,46.61,44.84,45.6,6335115
2022-06-07,44.46,47.82,44.16,47.76,7590134
2022-06-08,47.09,47.64,44.91,45.62,6856284
2022-06-09,44.85,45.3,42.73,42.77,5898688
2022-06-10,40.65,41.33,38.61,39.26,8755518
2022-06-13,36,36.84,33.14,33.75,11433582
2022-06-14,34,34.33,32.25,33.32,10668075
2022-06-15,34.26,35.96,32.8,34.67,11582860
2022-06-16,32.3,32.58,29.19,29.85,13610207
2022-06-17,30.14,31.81,29.74,30.56,11214848
2022-06-21,32.1,33.25,31.43,32.13,10105661
2022-06-22,30.89,32.81,30.6,32,11379997
2022-06-23,32.21,33.34,31.27,33.15,10630100
2022-06-24,33.94,36.2,33.75,36.14,8744478
2022-06-27,36.56,37.39,35.65,36.65,7542852
2022-06-28,37.34,38.11,34.5,34.61,8373724
2022-06-29,34.6,34.71,32.46,33.49,8070609
2022-06-30,31.99,33.84,31.16,32.8,10110104
2022-07-01,32.51,34.1,31.7,33.89,10531154
2022-07-05,32.25,34.72,31.09,34.71,7990471
2022-07-06,34.5,35.25,32.86,33.93,8948540
2022-07-07,34.72,36.55,34.71,36.34,5945408
2022-07-08,35.99,37.17,35.09,36.33,6933363
2022-07-11,35.45,35.91,33.84,34.08,5849570
2022-07-12,33.82,34.88,33.22,33.78,6667894
2022-07-13,32.38,34.23,32.16,33.67,8254454
2022-07-14,32.16,32.88,31.13,32.65,8898165
2022-07-15,33.75,34.79,32.46,34.66,6355389
2022-07-18,35.84,36.55,34.01,34.33,6130888
2022-07-19,35.61,38.08,35.58,37.93,8018671
2022-07-20,37.98,39.94,37.78,39.74,8278858
2022-07-21,39.03,40.37,38,40.32,6285684
2022-07-22,40.61,40.85,37.43,38.37,6930163
2022-07-25,38.73,39.29,37.69,38.98,5236889
2022-07-26,38.57,38.82,37.76,38.26,4543328
2022-07-27,39.01,41.4,38.68,40.84,7765991
2022-07-28,41.47,42.69,39.76,42.55,7767795
2022-07-29,42.6,43.76,41.93,43.41,6775001
2022-08-01,42.47,44.17,41.33,43.37,6818918
2022-08-02,42.85,44.63,42.17,43.26,6142678
2022-08-03,44.16,45.4,43.7,45.11,5658865
2022-08-04,45.22,45.34,44.19,44.92,5103348
2022-08-05,43.53,46.02,43.28,45.89,6257036
2022-08-08,46.83,48.62,46.64,47.34,5784911
2022-08-09,46.76,46.84,44.61,45.36,5228390
2022-08-10,47.83,49.48,47.44,49.27,6314340
2022-08-11,50.58,52.17,49.53,49.77,6885420
2022-08-12,50.48,52.85,49.9,52.8,5016037
2022-08-15,51.56,53.4,51.08,53.34,5301970
2022-08-16,52.86,54.05,51.71,53.24,5780990
2022-08-17,51.47,51.94,49.59,50.56,7770854
2022-08-18,50.71,51.81,50,51.54,6413445
2022-08-19,49.96,50.13,47.78,48.22,6277869
2022-08-22,46.27,46.51,44.77,45.22,5674767
2022-08-23,45.44,46.86,45.06,45.45,5814066
2022-08-24,45.36,47.12,44.88,46.52,5498047
2022-08-25,47.19,48.65,46.89,48.62,5760369
2022-08-26,48.59,48.64,43.56,43.76,8434963
2022-08-29,42.5,43.81,42.14,42.61,4820162
2022-08-30,42.99,43.1,40.06,40.78,8409832
2022-08-31,40.98,41.53,39.84,40.05,7205777
2022-09-01,38.93,38.97,37.01,38.72,9507441
2022-09-02,40,40.27,37.19,37.8,11382787
2022-09-06,38.14,38.4,36.17,36.73,6209098
2022-09-07,36.45,39.23,36.42,39.06,6729630
2022-09-08,38.04,40.07,37.37,40.02,7652091
2022-09-09,41.04,42.55,40.9,42.39,5408090
2022-09-12,43.25,44.08,42.79,43.96,4862641
2022-09-13,40.59,41.3,38.29,38.8,6688772
2022-09-14,39.01,39.45,37.71,39.3,4217315
2022-09-15,38.52,40.33,37.86,38.37,6559665
2022-09-16,36.75,37.11,35.34,36.6,8228497
2022-09-19,35.47,37.74,35.43,37.61,5594622
