Date,Open,High,Low,Close,Volume
2021-09-14,36.7375,36.965,35.705,35.9925,101468736
2021-09-15,36.1225,36.89,35.44,36.79,97172992
2021-09-16,36.3975,37.0325,35.81,36.8625,93455216
2021-09-17,36.725,36.7325,35.24,35.56,133230152
2021-09-20,33.8575,34.365,32,33.3725,211039352
2021-09-21,33.845,34.1875,33.1475,33.415,126085548
2021-09-22,33.7075,34.8075,33.4025,34.3925,150421300
2021-09-23,34.735,35.6425,34.5425,35.3475,118087612
2021-09-24,34.68,35.5625,34.575,35.4475,95847552
2021-09-27,34.5525,34.85,33.85,34.5925,132800720
2021-09-28,33.285,33.4725,31.5175,31.7075,247147360
2021-09-29,31.99,32.5725,31.325,31.4975,165192548
2021-09-30,31.94,32.385,31.02,31.1425,201960816
2021-10-01,31.305,32.0025,30.21,31.71,171529128
2021-10-04,31.2825,31.3725,29.1175,29.76,217881376
2021-10-05,29.9925,31.5,29.93,30.905,140295608
2021-10-06,30.065,31.58,29.815,31.515,205110136
2021-10-07,32.335,33.085,32.1825,32.3675,129142304
2021-10-08,32.6675,32.7325,31.7425,31.87,132477272
2021-10-11,31.465,32.4225,31.1325,31.1625,116783284
2021-10-12,31.5425,31.655,30.6525,30.845,150207500
2021-10-13,31.4375,31.7375,30.9,31.5675,119060816
2021-10-14,32.5275,33.3625,32.35,33.31,103695348
2021-10-15,33.65,33.9625,33.355,33.9275,84838948
2021-10-18,33.5625,35.005,33.395,34.945,86189232
2021-10-19,35.265,35.7575,35.07,35.7125,89846652
2021-10-20,35.8725,36.055,35.17,35.6,103419236
2021-10-21,35.36,36.3025,35.2825,36.2375,76674092
2021-10-22,35.8775,36.165,34.84,35.32,120222208
2021-10-25,35.755,36.6825,35.18,36.38,100847216
2021-10-26,37.08,37.8,36.4125,36.72,141542628
2021-10-27,36.8925,37.93,36.815,37.01,121276856
2021-10-28,37.5775,38.3125,37.35,38.225,107386604
2021-10-29,37.2975,38.85,37.195,38.79,107677560
2021-11-01,38.95,39.2325,38.295,39.1725,102679464
2021-11-02,39.0075,39.8425,38.99,39.695,98049832
2021-11-03,39.835,41.08,39.5175,40.955,116593240
2021-11-04,41.3575,42.8375,41.1825,42.4825,125189792
2021-11-05,43.12,43.415,42.1825,42.64,128954284
2021-11-08,42.625,42.975,42.265,42.465,88157972
2021-11-09,42.82,42.95,41.1425,41.59,138967432
2021-11-10,40.68,41.6,39.125,39.7675,154846640
2021-11-11,40.685,40.7475,39.975,40.09,93883832
2021-11-12,40.4525,41.5175,39.9375,41.3625,104535364
2021-11-15,41.7275,41.8275,40.5225,41.35,112868084
2021-11-16,41.0725,42.3525,41.015,42.205,84361204
2021-11-17,42.3,42.9225,41.9475,42.255,93278068
2021-11-18,42.92,43.725,42.1925,43.5475,146396480
2021-11-19,44.0975,44.72,43.83,44.285,101312108
2021-11-22,44.81,45.84,42.715,42.75,146700476
2021-11-23,42.3625,43.0425,40.6975,42.1675,188002644
2021-11-24,41.3275,42.64,40.5825,42.5575,172332756
2021-11-26,41.695,42.16,39.68,40.21,143711808
