Date,Open,High,Low,Close,Volume
2021-09-13,55.07,55.25,55.07,55.12,5160
2021-09-14,55.43,55.83,55.38,55.73,3560
2021-09-15,55.6,56.95,55.29,55.59,92802
2021-09-16,54.88,55.06,54.77,54.95,7700
2021-09-17,54.53,54.53,54.39,54.47,4619
2021-09-20,55.01,55.48,54.94,55.26,7457
2021-09-21,55.31,55.63,55.12,55.18,16326
2021-09-22,55.06,55.38,55.01,55.33,84874
2021-09-23,54.55,54.56,53.89,53.88,8681
2021-09-24,53.52,53.56,53.25,53.34,10580
2021-09-27,52.93,53.12,52.84,52.94,9897
2021-09-28,52,52.58,52,52.31,5537
2021-09-29,52.62,52.76,52.24,52.5,4589
2021-09-30,52.32,52.66,52.25,52.66,40766
2021-10-01,52.92,53.26,52.85,53.26,16743
2021-10-04,52.97,53.33,52.93,53.04,5405
2021-10-05,52.89,52.89,52.46,52.58,5368
2021-10-06,52.63,52.74,52.52,52.65,8323
2021-10-07,52.26,52.26,52.01,52.02,14134
2021-10-08,51.88,51.88,51.49,51.61,11496
2021-10-11,51.44,51.45,51.33,51.23,3336
2021-10-12,51.6,52.02,51.52,51.98,3331
2021-10-13,52.25,52.47,52.1,52.28,10389
2021-10-14,52.47,52.73,52.47,52.58,11458
2021-10-15,52,52.05,51.8,51.85,5532
2021-10-18,51.41,51.67,51.15,51.64,10036
2021-10-19,51.44,51.45,51.07,51.09,18157
2021-10-20,51.07,51.17,51,51.03,10964
2021-10-21,50.71,50.78,50.56,50.56,6221
2021-10-22,50.74,51.06,50.61,50.9,6450
2021-10-25,51.01,51.26,51.01,51.12,3665
2021-10-26,51.17,51.33,51.05,51.34,13660
2021-10-27,51.86,52.38,51.74,52.2,4977
2021-10-28,52.07,52.09,51.73,51.8,6808
2021-10-29,51.36,52.1,51.27,51.9,10199
2021-11-01,51.46,51.74,51.35,51.89,12425
2021-11-02,52.19,52.23,52.15,52.23,3518
2021-11-03,52.33,52.33,51.56,51.76,22682
2021-11-04,52.09,52.51,52.09,52.55,1704
2021-11-05,53.01,53.5,52.82,53.41,4814
2021-11-08,53.27,53.27,52.74,52.74,17120
2021-11-09,53.39,53.68,53.39,53.47,9454
2021-11-10,53.04,53.04,52.09,52.11,8911
2021-11-11,52.11,52.11,51.71,51.75,2753
2021-11-12,52.25,52.33,51.84,51.93,7395
2021-11-15,51.81,51.81,51.31,51.32,5200
2021-11-16,51.25,51.5,51.14,51.21,4904
2021-11-17,51.14,51.71,51.14,51.72,5606
2021-11-18,51.35,51.77,51.35,51.77,2648
2021-11-19,52.33,52.5,52.14,52.21,13898
2021-11-22,51.49,51.55,50.98,51.1,7089
2021-11-23,50.78,50.79,50.61,50.46,3464
2021-11-24,50.36,50.87,50.36,50.87,3587
2021-11-26,52.12,52.87,52.11,52.87,7403
2021-11-29,52,52.59,52,52.49,9433
2021-11-30,53.45,53.76,52.83,53.43,42123
2021-12-01,52.94,53.65,52.8,53.65,26085
2021-12-02,53.71,53.72,53.06,53.4,11227
2021-12-03,53.19,54.5,52.95,54.33,14500
2021-12-06,54.09,54.21,53.38,53.49,7313
2021-12-07,53.18,53.31,52.85,52.94,6826
2021-12-08,52.67,52.68,52.2,52.38,7191
2021-12-09,52.76,53.01,52.65,52.79,6490
2021-12-10,53.01,53.29,52.89,52.86,6419
2021-12-13,53.28,53.68,53.27,53.61,14240
2021-12-14,53.29,53.42,53.02,53.36,6734
2021-12-15,53,53.4,53,53.11,11606
2021-12-16,53.25,53.8,53.25,53.61,12512
2021-12-17,54.09,54.38,53.91,53.91,8590
2021-12-20,54.18,54.35,53.8,53.8,10582
2021-12-21,53.21,53.23,52.87,53.16,6783
2021-12-22,53.46,53.46,53.08,53.29,9233
2021-12-23,53.27,53.27,52.88,52.92,5772
2021-12-27,52.89,53.22,52.68,52.99,22831
2021-12-28,53.32,53.33,53.01,52.98,4935
2021-12-29,52.46,52.6,52.13,52.19,9920
2021-12-30,52.5,52.68,52.28,52.69,23388
2021-12-31,52.74,52.93,52.55,52.53,16043
2022-01-03,51.74,51.74,51.07,51.07,36019
2022-01-04,50.7,51.01,50.59,51.01,11505
2022-01-05,51.01,51.01,50.25,50.35,11832
2022-01-06,50,50.02,49.82,49.98,17383
2022-01-07,49.76,49.81,49.22,49.48,8574
2022-01-10,49.12,49.42,48.98,49.43,6758
2022-01-11,49.41,49.72,49.23,49.73,12150
2022-01-12,50.01,50.01,49.79,49.75,7589
2022-01-13,49.95,50.31,49.75,50.32,19148
2022-01-14,49.57,49.76,49.19,49.28,3500
2022-01-18,48.69,48.69,48.07,48.18,10173
2022-01-19,48.27,48.72,48.27,48.42,11604
2022-01-20,48.63,48.77,48.48,48.79,4918
2022-01-21,49.5,49.7,49.46,49.61,10314
2022-01-24,50,50.1,49.36,49.49,20933
2022-01-25,49.69,49.69,49.18,49.22,11560
2022-01-26,49.32,49.34,48.27,48.29,15323
2022-01-27,48.54,48.98,48.54,48.79,1253
2022-01-28,48.68,49.2,48.68,49.15,9239
2022-01-31,48.92,49.17,48.88,49.08,4927
2022-02-01,49.24,49.24,48.71,48.98,7820
2022-02-02,49.13,49.64,49.13,49.26,4557
2022-02-03,48.69,48.74,48.57,48.73,13317
2022-02-04,47.8,47.82,47.38,47.49,17419
2022-02-07,47.51,47.67,47.37,47.51,6906
2022-02-08,47.16,47.16,46.96,46.93,3533
2022-02-09,47.41,47.5,47.18,47.21,12184
2022-02-10,46.67,46.67,45.97,46.01,13314
2022-02-11,46.45,47.46,45.99,47.43,17439
2022-02-14,46.64,46.9,46.23,46.47,4918
2022-02-15,46.02,46.1,45.89,46,10268
2022-02-16,46.33,46.34,45.91,46.2,7652
2022-02-17,46.54,47.02,46.54,46.96,12325
2022-02-18,47.29,47.44,47.16,47.48,10687
2022-02-22,47.21,47.53,47.02,47.5,110227
2022-02-23,46.88,46.91,46.63,46.83,5168
2022-02-24,47.78,47.86,47.04,46.97,7519
2022-02-25,46.76,46.94,46.54,46.93,7627
2022-02-28,47.88,48.62,47.88,48.46,5112
2022-03-01,49.21,50.48,49.21,49.94,12407
2022-03-02,49.13,49.19,47.78,47.77,5322
2022-03-03,48.11,48.58,48.11,48.58,12684
2022-03-04,49.56,50.14,49.56,49.83,19676
2022-03-07,49.15,49.76,49.07,49.19,6257
2022-03-08,48.36,48.46,48.04,48.26,5320
2022-03-09,47.61,47.72,47.21,47.36,17306
2022-03-10,46.85,46.94,46.42,46.68,79635
2022-03-11,46.49,46.7,46.35,46.65,5385
2022-03-14,45.45,45.59,44.82,44.8,25966
2022-03-15,45.52,45.57,44.55,44.72,13368
2022-03-16,44.62,44.66,43.79,44.53,8615
2022-03-17,44.53,44.83,44.23,44.29,3611
2022-03-18,44.69,44.78,44.61,44.79,3439
2022-03-21,43.81,43.87,42.9,43.03,85288
2022-03-22,42.41,42.65,42.2,42.41,25590
2022-03-23,42.59,43.11,42.38,42.93,25473
2022-03-24,42.45,42.63,42.38,42.58,51813
2022-03-25,41.87,41.87,41,41.11,37793
2022-03-28,41.32,41.75,41.23,41.38,16738
2022-03-29,41.8,42.09,41.4,41.95,8500
2022-03-30,41.75,42.5,41.75,42.49,8812
2022-03-31,42.69,42.86,42.51,42.58,11469
2022-04-01,41.44,42.17,41.31,41.94,17997
2022-04-04,41.95,41.95,41.56,41.76,7184
2022-04-05,41.41,41.41,40.25,40.32,8579
2022-04-06,39.59,40.1,39.59,39.91,39546
2022-04-07,39.61,39.71,39.39,39.52,8686
2022-04-08,38.93,39.18,38.79,38.94,20563
2022-04-11,38.61,38.69,38.3,38.46,25232
2022-04-12,39.03,39.36,38.83,38.98,8169
2022-04-13,39.3,39.75,39.12,39.23,24476
2022-04-14,39.09,39.09,38.05,38.18,13448
2022-04-18,38.23,38.23,37.82,37.82,11809
2022-04-19,37.39,37.55,37.06,37.02,28522
2022-04-20,37.52,37.99,37.41,37.97,4533
2022-04-21,37.44,37.46,36.84,37.31,16090
2022-04-22,37.06,37.48,37.06,37.38,7567
2022-04-25,38.24,38.65,37.98,38.1,17020
2022-04-26,38.81,38.98,38.5,38.82,13073
2022-04-27,38.82,38.84,38.13,38.25,13779
2022-04-28,37.87,38.03,37.58,37.92,9594
2022-04-29,37.23,37.75,37.23,37.42,8700
2022-05-02,36.73,36.78,36.46,36.54,37664
2022-05-03,37.14,37.25,36.82,36.7,6046
2022-05-04,36.63,37.43,36.49,37.32,21083
2022-05-05,36.57,36.6,35.73,36.29,27181
2022-05-06,35.74,36.12,35.54,35.69,6820
2022-05-09,35.73,36.5,35.65,36.46,57417
2022-05-10,36.93,37.2,36.69,36.76,32740
2022-05-11,36.56,37.48,36.42,37.43,18857
2022-05-12,37.83,38.26,37.65,37.87,15976
2022-05-13,37.49,37.6,37.19,37.2,35128
2022-05-16,37.55,37.97,37.52,37.75,24366
2022-05-17,36.98,37.14,36.82,36.76,6073
2022-05-18,36.78,37.64,36.78,37.66,3695
2022-05-19,38.67,38.67,37.96,38.07,9091
2022-05-20,37.99,38.68,37.95,38.59,21395
2022-05-23,38.26,38.43,37.82,37.92,10051
2022-05-24,38.45,39.21,38.45,38.77,15843
2022-05-25,39.26,39.26,38.9,39.04,6032
2022-05-26,39.14,39.14,38.73,39.03,5167
2022-05-27,39.18,39.31,38.93,39.16,7112
2022-05-31,38.2,38.23,37.76,37.89,34651
2022-06-01,37.96,38.1,37.05,37.25,34727
2022-06-02,37.55,37.55,37.19,37.4,3367
2022-06-03,37.03,37.27,37.02,37.17,2244
2022-06-06,36.94,36.97,36.31,36.32,11432
2022-06-07,36.63,37.04,36.63,36.75,7732
2022-06-08,36.5,36.66,36.39,36.36,15871
2022-06-09,36.3,36.46,36.17,36.22,14153
2022-06-10,35.81,35.83,35.11,35.25,45659
2022-06-13,34.17,34.25,32.93,33.3,34926
2022-06-14,33.58,33.64,32.41,32.57,11677
2022-06-15,33.31,33.7,32.9,33.88,26399
2022-06-16,32.96,34.54,32.94,34.47,42409
2022-06-17,34.66,34.81,34,34.62,9520
2022-06-21,33.97,34.23,33.94,33.99,12483
2022-06-22,35.24,35.46,35.16,35.35,20233
2022-06-23,36,36.61,35.91,35.92,26046
2022-06-24,35.86,36.05,35.52,35.53,14388
2022-06-27,34.88,35.35,34.88,35,23467
2022-06-28,34.84,35.01,34.7,35.04,5935
2022-06-29,35.19,35.92,35.19,35.92,14245
2022-06-30,36.51,36.97,36.51,36.75,9595
2022-07-01,37.72,38.6,37.62,37.95,14525
2022-07-05,38.44,38.81,38.15,38.38,87762
2022-07-06,38.84,38.84,37.33,37.41,110728
2022-07-07,37.32,37.32,36.57,36.66,15188
2022-07-08,36.28,36.28,35.87,35.92,13506
2022-07-11,36.59,36.98,36.55,36.82,7788
2022-07-12,37.39,37.56,37.03,37.11,20504
2022-07-13,36.42,37.57,36.25,37.55,23916
2022-07-14,36.69,37.12,36.48,36.94,16291
2022-07-15,36.99,37.37,36.99,37.29,6377
2022-07-18,36.85,37.06,36.51,36.98,28920
2022-07-19,36.75,36.85,36.43,36.4,24429
2022-07-20,36.7,36.7,36.28,36.26,1058
2022-07-21,36.73,37.47,36.73,37.51,3373
2022-07-22,38.61,39.1,38.46,38.87,33851
2022-07-25,38.18,38.39,38.09,38.4,7705
2022-07-26,39.31,39.31,38.43,38.5,17639
2022-07-27,38.8,39.12,38.69,38.72,3202
2022-07-28,39.83,40.01,39.5,39.76,27999
2022-07-29,39.68,40.36,39.51,39.9,26303
2022-08-01,40.25,40.65,40.01,40.5,46330
2022-08-02,40.56,40.63,38.79,38.81,48681
