Date,Open,High,Low,Close,Volume
2021-09-13,55.5,55.79,55.41,55.75,34749
2021-09-14,56.04,57.39,55.95,57.02,57708
2021-09-15,57.14,57.14,56.17,56.66,27553
2021-09-16,55.97,56.51,55.86,56.15,31441
2021-09-17,55.56,55.63,55.27,55.6,23528
2021-09-20,56.61,57.17,56.4,56.95,48555
2021-09-21,56.7,56.9,56.38,56.86,35197
2021-09-22,56.77,57.5,56.6,57.52,30187
2021-09-23,56.51,56.51,54.95,54.95,54866
2021-09-24,54.5,54.52,53.76,53.86,36051
2021-09-27,53.15,53.79,53.13,53.47,19361
2021-09-28,51.99,52.43,51.46,51.75,167925
2021-09-29,52.29,52.64,51.52,52.01,54649
2021-09-30,51.83,52.04,51.52,52.05,41938
2021-10-01,52.45,52.83,52.04,52.81,49301
2021-10-04,52.3,52.87,51.96,52.54,115721
2021-10-05,52.27,52.34,51.45,51.56,78872
2021-10-06,51.82,52.2,51.81,52.14,33637
2021-10-07,51.23,51.33,50.82,50.98,26167
2021-10-08,50.47,50.51,50.03,50.29,16724
2021-10-11,50.07,50.25,50,50.04,25369
2021-10-12,50.82,51.6,50.67,51.76,22226
2021-10-13,52.06,52.84,52.06,52.81,14136
2021-10-14,52.74,53.24,52.49,53.2,23612
2021-10-15,52.27,52.55,52.19,52.47,33695
2021-10-18,52.53,53.21,52.32,53.01,10770
2021-10-19,52.01,52.06,51.6,51.61,12834
2021-10-20,51.34,51.41,50.65,50.87,16990
2021-10-21,50.96,51.1,50.44,50.8,16713
2021-10-22,51.36,51.93,51.35,51.76,16431
2021-10-25,51.57,51.97,51.55,51.69,14043
2021-10-26,52.13,52.5,51.8,52.46,8122
2021-10-27,53.44,54.63,53.2,54.39,19463
2021-10-28,54.39,54.69,53.88,54.08,5846
2021-10-29,53.53,54.66,53.53,54.39,42142
2021-11-01,53.13,53.85,53.09,53.65,51103
2021-11-02,53.62,54.37,53.62,54.02,15343
2021-11-03,54.69,54.69,52.94,52.94,38598
2021-11-04,53.14,54.11,53.14,54.01,26293
2021-11-05,55.17,55.9,54.73,55.69,78085
2021-11-08,55.61,55.62,55.15,55.39,12831
2021-11-09,56.68,57.37,56.66,56.93,21853
2021-11-10,56.9,56.9,54.17,54.77,32566
2021-11-11,54.73,55.1,54.6,54.98,3157
2021-11-12,54.67,54.89,53.82,54.26,6231
2021-11-15,54.02,54.02,52.67,52.78,24225
2021-11-16,52.98,53.44,52.41,52.62,27411
2021-11-17,52.22,53.4,52.15,53.4,21076
2021-11-18,53.23,53.85,53.23,53.74,7246
2021-11-19,54.58,55.06,54.55,54.94,20683
2021-11-22,54.23,54.5,53.26,53.72,15993
2021-11-23,53.16,53.27,52.12,52.07,16403
2021-11-24,52.29,53.72,52.25,53.69,12011
2021-11-26,55.09,56.53,55.09,56.3,60335
2021-11-29,55.01,55.75,54.63,55.65,32485
2021-11-30,56.7,57.52,56.27,57.31,132571
2021-12-01,56.74,57.86,55.73,57.86,252321
2021-12-02,58.35,58.43,57.45,58,33130
2021-12-03,57.5,60,57.17,59.45,75083
2021-12-06,59.41,59.49,57.54,57.91,44781
2021-12-07,57.39,57.83,56.72,56.88,107103
2021-12-08,56.45,56.52,55.05,54.94,38822
2021-12-09,55.61,55.99,55.01,55.61,27459
2021-12-10,56.05,56.2,55.26,55.36,23386
2021-12-13,56.53,57.01,56.5,56.83,9537
2021-12-14,56.33,56.84,55.88,56.68,12290
2021-12-15,55.81,56.52,55.53,55.79,9102
2021-12-16,56.13,56.13,55.3,55.53,6940
2021-12-17,56.67,56.95,56.52,56.81,103797
2021-12-20,57.07,57.07,55.94,56.05,597898
2021-12-21,54.82,55.62,54.47,55.51,126377
2021-12-22,55.97,56.12,55.54,56.11,610771
2021-12-23,54.8,55.28,54.8,55.19,5562
