Date,Open,High,Low,Close,Volume
2021-09-13,35.02,35.45,33.96,34.32,34838
2021-09-14,34.47,34.77,33.71,33.97,24964
2021-09-15,33.8,34.37,33.27,33.79,14190
2021-09-16,33.78,34.05,32.82,32.95,13270
2021-09-17,32.7,32.87,31.3,31.41,69936
2021-09-20,31.1,32,30.24,31.26,152353
2021-09-21,31.5,32,30.85,30.93,31722
2021-09-22,31.21,31.55,30.67,30.81,31402
2021-09-23,30.82,31.43,30.25,30.39,126901
2021-09-24,30.4,30.91,30.04,30.26,104985
2021-09-27,30.13,30.97,29.02,29.14,189140
2021-09-28,29.11,29.18,27.8,28.07,311990
2021-09-29,28.44,29.71,28.1,29.2,174116
2021-09-30,29.58,29.58,28.31,28.48,83328
2021-10-01,28.82,29.06,28.15,28.47,28639
2021-10-04,28.34,29.82,28.34,29.6,133785
2021-10-05,29.87,29.98,29.27,29.42,66539
2021-10-06,29,30.8,28.58,30.78,116321
2021-10-07,30.75,31.62,30.17,30.28,93539
2021-10-08,30.26,30.3,29.58,29.62,63571
2021-10-11,29.4,29.41,28.26,28.39,114784
2021-10-12,28.47,29.17,28.31,28.96,68290
2021-10-13,28.91,29.97,28.52,29.95,44151
2021-10-14,30.29,31.19,30.01,31.02,51956
2021-10-15,31.1,31.47,30.6,30.79,39724
2021-10-18,30.3,30.38,29.42,29.93,60100
2021-10-19,30.35,31.12,30.35,31.04,42090
2021-10-20,31.17,32.82,31.17,32.5,215223
2021-10-21,32.5,32.84,32.36,32.49,35225
2021-10-22,32.67,33.08,32.56,32.94,162224
2021-10-25,32.83,33.11,32.31,32.53,32330
2021-10-26,32.72,33.8,32.5,33.06,63799
2021-10-27,33.13,33.45,32.34,32.4,27347
2021-10-28,32.38,33,32.34,33.04,17301
2021-10-29,33,33.37,31.97,32.42,80456
2021-11-01,32.32,33.01,32.17,32.82,31089
2021-11-02,33.04,33.16,32.18,32.88,26511
2021-11-03,32.67,32.83,31.69,32.55,63541
2021-11-04,32.56,32.56,30.98,32.04,54649
2021-11-05,32.23,33.19,32.23,32.88,40318
2021-11-08,33.1,33.1,30.95,31.44,58755
2021-11-09,31.64,32.14,31.3,31.93,45907
2021-11-10,31.78,32.71,31.78,32.66,41494
2021-11-11,32.67,32.79,31.56,32.07,25695
2021-11-12,32.12,32.21,31.59,32.03,23776
2021-11-15,32.17,33.24,32.17,33.29,34899
2021-11-16,33.2,33.46,32.73,32.78,15449
2021-11-17,32.6,32.9,32.18,32.9,16434
2021-11-18,32.68,32.88,32.07,32.34,19454
2021-11-19,32.3,33.1,32.3,32.94,146452
2021-11-22,32.7,34,32.59,33.53,55622
2021-11-23,33.52,34.2,33.02,33.66,106212
2021-11-24,33.49,33.87,33.09,33.68,22745
2021-11-26,32.49,33.5,31.81,32.07,94335
2021-11-29,32.54,33.69,32.52,33.47,25717
2021-11-30,32.92,32.95,30.44,30.59,159799
2021-12-01,31.1,32.86,30.64,30.67,68871
2021-12-02,30.87,32.6,30.87,31.92,45473
2021-12-03,32.3,32.78,31.01,32.82,27522
2021-12-06,33.27,35.35,33.27,34.34,220501
2021-12-07,34.78,35.37,34.1,35.13,56030
2021-12-08,35.26,35.7,34.54,35.01,45255
2021-12-09,35,35.34,34.12,34.77,18239
2021-12-10,35.3,35.83,35.05,35.37,14682
2021-12-13,35.36,37.12,35.36,36.64,62646
2021-12-14,36.6,36.76,35.55,36.03,48660
2021-12-15,35.99,37.77,35.99,37.73,44144
2021-12-16,37.79,38.99,37.75,38.36,216840
2021-12-17,38.08,38.17,36.46,36.61,50356
2021-12-20,35.65,36.76,34.78,36.7,65677
2021-12-21,37.04,37.52,35.98,36.34,25701
2021-12-22,36.23,36.98,36.07,36.85,15309
2021-12-23,37.01,37.33,36.78,36.81,15032
2021-12-27,36.73,37.32,36.61,37.38,26389
2021-12-28,37.28,38.38,37.28,38.36,43461
2021-12-29,38.42,39.08,38.35,39,22919
2021-12-30,39.21,39.52,38.62,39.37,38571
2021-12-31,39.13,40.2,39.07,39.81,27986
2022-01-03,39.86,39.86,37.26,38.69,49062
2022-01-04,38.9,39.59,38.26,38.29,41076
2022-01-05,38.17,39.34,38.13,38.23,33777
2022-01-06,38.15,38.54,36.89,37.03,19419
2022-01-07,36.63,38.23,36.01,37.87,20629
2022-01-10,37.8,37.87,36.6,37.15,30148
2022-01-11,37.18,37.38,35.42,36.12,50308
2022-01-12,36.14,36.64,35.6,36.48,26418
2022-01-13,36.52,37.36,36.36,36.98,77283
2022-01-14,36.98,37.21,35.68,36.25,40489
2022-01-18,35.86,35.86,34.08,34.95,34215
2022-01-19,34.91,36.27,34.91,35.44,104951
2022-01-20,35.58,36.93,35.43,35.56,40687
2022-01-21,36.11,36.44,35.12,35.38,57793
2022-01-24,35.02,35.23,31.62,34.27,112730
2022-01-25,32.92,33.75,32.26,32.65,34877
2022-01-26,32.96,33.64,31.36,31.9,35835
2022-01-27,32.31,33.85,32.3,32.7,66249
2022-01-28,32.46,33.95,31.78,33.86,28878
2022-01-31,33.62,35.79,33.62,35.82,59623
2022-02-01,35.5,35.96,33.4,34.41,46824
2022-02-02,34.42,35.97,34.41,35.87,21201
2022-02-03,35.49,35.86,35.21,35.35,18276
2022-02-04,34.32,35.43,33.55,34.58,52902
2022-02-07,34.56,34.77,33.81,34.41,13344
2022-02-08,34.92,35.06,34.34,34.47,10693
2022-02-09,35.1,35.43,34.65,34.94,32488
2022-02-10,34.13,34.3,32.11,32.33,48018
2022-02-11,32.54,33.38,31.97,32.32,29838
2022-02-14,32.45,32.45,30.65,31.57,39938
2022-02-15,32.12,32.42,30.65,31.08,24346
2022-02-16,31.43,31.6,30.37,31.28,39378
2022-02-17,30.87,31.72,30.16,31.41,29813
2022-02-18,31.01,31.89,30.74,31.17,37427
2022-02-22,31.45,31.62,30.5,31.09,55375
2022-02-23,31,31,29.45,29.52,32453
2022-02-24,28.74,30.2,28.49,30.2,78324
2022-02-25,30.59,33.01,30.44,33,48741
2022-02-28,32.52,33.53,32.44,33.51,29451
2022-03-01,33.25,34.13,31.92,32.68,23024
2022-03-02,32.91,34.11,32.85,33.78,34579
2022-03-03,34.15,36.07,34.15,35.62,56300
2022-03-04,35.35,38.02,35.2,37.92,109314
2022-03-07,38.18,39.6,37.3,39.41,125574
2022-03-08,39.83,40.28,37.58,37.64,88517
2022-03-09,38.44,38.44,36.62,36.77,23121
2022-03-10,36,37.72,35.83,37.71,24711
2022-03-11,37.85,38.31,37.06,37.08,15790
2022-03-14,37.54,38.14,36.5,37.07,18730
2022-03-15,38.02,38.65,37.46,38.49,34206
2022-03-16,38.57,38.58,36.68,38.26,44189
2022-03-17,38.18,39.46,38.16,38.63,45989
2022-03-18,38.89,39.18,37.5,37.54,34577
2022-03-21,37.71,38.94,37.71,38.45,72803
2022-03-22,38.89,38.89,37.66,38.38,34643
2022-03-23,38.29,39.34,37.91,38.67,30468
2022-03-24,38.72,40,38.72,39.91,33390
2022-03-25,40.1,41.62,40.1,41.61,52984
2022-03-28,41.98,42.38,41.01,42.38,46021
2022-03-29,42.5,43.57,42.2,43.52,43725
2022-03-30,43.43,44.71,43.35,44.74,47205
2022-03-31,44.87,45.73,44.46,44.46,85976
2022-04-01,44.47,46.45,43.77,46.37,63148
2022-04-04,46.26,46.26,43.96,45.36,78813
2022-04-05,45.22,47.71,45.22,46.15,53829
2022-04-06,46.18,49.03,46.15,49.01,64497
2022-04-07,49.33,49.33,47.28,48.64,99152
2022-04-08,49.18,49.54,47.89,49.16,82050
2022-04-11,49.44,49.44,46.86,47.2,129557
2022-04-12,47.5,48.27,46.26,47.59,72258
2022-04-13,47.86,47.88,46.37,47.38,55498
2022-04-14,47.32,48.27,47.27,47.27,87436
2022-04-18,47.45,48.32,45.96,46.63,43921
2022-04-19,46.96,47.74,46.61,47.45,35018
2022-04-20,48.22,49.3,48.22,48.68,48788
2022-04-21,48.68,48.68,46.15,46.36,66690
2022-04-22,46.01,46.19,43.8,43.99,94986
2022-04-25,44.19,44.19,40.96,42.95,91384
2022-04-26,42.83,44.02,41.62,41.62,40790
2022-04-27,41.81,42.74,40.88,41.03,38358
2022-04-28,41.58,42.84,41.05,42.42,42282
2022-04-29,41.86,41.86,38.43,38.58,52733
2022-05-02,38.9,39.4,36,37.36,44190
2022-05-03,37.77,39.67,37.41,37.78,58964
2022-05-04,38.5,40.55,38.29,40.34,101235
2022-05-05,40,40.39,38.12,39.13,54560
2022-05-06,38.41,40.4,38.41,40.06,57225
2022-05-09,39.44,40.32,38.16,39.19,98054
2022-05-10,39.42,40.86,36.4,37.7,52106
2022-05-11,37.72,40.4,37.72,38.55,80677
2022-05-12,38.49,38.61,36.27,37.33,36623
2022-05-13,38.16,38.78,37.03,38.71,26410
2022-05-16,38.73,39.5,38.3,39.1,35807
2022-05-17,39.65,40.25,37.84,40.32,64802
2022-05-18,40.3,40.61,38.8,39.08,36841
2022-05-19,38.56,39.27,37.22,38.79,34850
2022-05-20,39.24,39.33,37.55,39.15,20970
2022-05-23,40.3,41.01,39.54,40.53,97663
2022-05-24,40.72,43.21,39.91,43.04,136482
2022-05-25,43,43.36,42.1,42.9,65887
2022-05-26,43.65,44.2,43.22,43.24,87925
2022-05-27,43.21,45.26,42.59,45.3,65074
2022-05-31,44.06,44.48,42.91,43.39,46249
2022-06-01,43.73,43.73,42.1,43.1,46959
2022-06-02,43.83,44.12,41.2,44.05,59223
2022-06-03,43.62,44.2,43.25,43.47,29473
2022-06-06,44.51,44.93,43.85,44.03,42188
2022-06-07,43.39,44.87,42.89,44.8,46040
2022-06-08,44.13,44.13,41.97,42.17,95941
2022-06-09,41.99,42.58,39,39.08,77229
2022-06-10,37.94,39.17,37.32,38.12,46702
2022-06-13,36.78,36.84,32.42,32.86,79086
2022-06-14,32.99,33.31,29.26,30.39,101429
2022-06-15,31.11,32.29,29.85,31.04,201633
2022-06-16,29.65,29.72,28.35,29.11,163716
2022-06-17,29.11,29.74,27.59,28.3,96392
2022-06-21,28.86,30.32,28.53,29.93,52401
2022-06-22,29.24,31.35,29.24,30.71,82639
2022-06-23,31.13,33.02,31.13,32.89,100736
2022-06-24,33.37,34.8,33.02,34.61,72037
2022-06-27,34.49,35.63,34.06,35.46,59337
2022-06-28,35.56,36.55,34.87,35.06,69399
2022-06-29,35.1,35.37,34.43,35.09,55499
2022-06-30,34.34,37,34.26,36.25,66391
2022-07-01,36.52,39.07,36.45,38.96,126436
2022-07-05,38.3,38.62,33.16,34.97,97433
2022-07-06,35.35,36.93,34.62,36.05,56528
2022-07-07,36.47,36.85,35.78,35.89,40332
2022-07-08,35.63,35.94,35.18,35.53,42840
2022-07-11,35.14,36.34,34.87,36.23,38812
2022-07-12,35.96,36.95,35.23,35.67,35883
2022-07-13,34.71,36.26,34.57,35.19,44964
2022-07-14,33.61,35.33,33.27,35.19,22157
2022-07-15,35.27,35.49,33.57,35.38,29882
2022-07-18,35.45,35.45,33.89,33.92,36688
2022-07-19,34.39,35.07,34.3,34.54,37090
2022-07-20,34.56,34.57,33.08,33.16,48858
2022-07-21,33.12,33.42,32.5,33.41,28729
2022-07-22,34.23,35.15,33.99,34.8,30023
2022-07-25,34.71,36.1,34.66,36.12,24718
2022-07-26,35.93,37.05,35.93,36.78,82465
2022-07-27,36.35,37.11,35.95,36.85,51856
2022-07-28,38.51,40.99,38.51,40.79,89676
2022-07-29,40.57,42.34,40.57,41.84,44767
2022-08-01,41.33,42.02,40.67,41.97,33982
2022-08-02,42.07,43.19,41.64,41.69,44887
2022-08-03,41.6,42.7,39.68,42.47,30956
2022-08-04,42.36,43.57,42.36,42.72,26937
2022-08-05,42.22,42.7,41.16,42.27,53617
2022-08-08,43.07,43.88,41.87,42.45,23465
2022-08-09,42.41,44.07,42.41,43.85,26853
2022-08-10,44.48,44.63,43.51,44.45,24493
2022-08-11,44.55,45.6,44.31,44.41,16536
2022-08-12,45.08,46.46,45.05,46.47,19863
2022-08-15,46.23,47.79,46.23,47.65,20314
2022-08-16,47.53,48.63,47.53,48.1,17508
2022-08-17,47.46,48.41,47.21,47.89,17779
2022-08-18,47.94,48.77,47.93,48.35,9019
2022-08-19,47.98,48.88,47.73,48.27,27942
2022-08-22,47.44,47.8,46.11,46.33,26987
2022-08-23,46.18,46.18,45.12,45.44,18692
2022-08-24,45.35,46.02,45.08,45.9,11365
2022-08-25,45.95,46.67,45.36,46.66,8548
2022-08-26,46.91,47.18,44.44,44.54,23030
2022-08-29,43.88,45.77,43.23,44.96,34055
2022-08-30,44.95,44.95,42.62,42.95,23089
2022-08-31,43.14,43.58,42.07,42.08,22941
2022-09-01,41.56,43.95,41.56,43.92,24933
2022-09-02,44.49,45.44,42.09,42.44,33824
2022-09-06,43.05,44.42,42.69,42.74,17759
2022-09-07,43.02,46.93,42.95,46.83,79561
2022-09-08,46.13,47.5,46.02,46.66,55109
2022-09-09,47.13,47.94,46.32,47.24,35726
2022-09-12,47.65,48.7,47.31,48.66,27011
2022-09-13,47.23,47.61,44.25,44.51,41342
2022-09-14,44.56,46.49,44.56,45.72,24399
2022-09-15,44.55,44.55,42.04,42.33,64510
2022-09-16,41.7,42.82,41.69,41.79,69499
2022-09-19,41.41,43.47,41.11,43.53,29990
2022-09-20,42.36,42.52,40.56,41.41,27956
2022-09-21,42.1,42.89,39.75,39.74,24956
2022-09-22,39.5,40.06,38.7,39.27,35983
2022-09-23,38.45,38.45,36.44,37.94,29008
2022-09-26,37.43,37.43,34.1,35.16,19210
2022-09-27,35.8,36.12,32.9,33.34,20536
2022-09-28,34.21,34.97,33.2,34.42,51921
2022-09-29,33.86,33.86,30.06,30.21,72412
2022-09-30,30.53,31,28.3,28.55,80615
