date,move_by_1545_pct,move_to_close_pct,overnight_pct
2023-01-03,-7.8663,-8.0629,5.5556
2023-01-04,0.1012,2.4291,-2.6812
2023-01-05,-1.8367,-2.449,3.9707
2023-01-06,10.6533,9.4472,6.0718
2023-01-09,1.6479,0.0867,-1.301
2023-01-10,4.5694,5.2724,0.0835
2023-01-11,2.0033,3.6728,1.5323
2023-01-12,0.7943,1.9857,-3.5101
2023-01-13,4.4462,4.7696,-0.5405
2023-01-17,1.087,1.4752,2.9862
2023-01-18,-3.5688,-4.684,-2.6521
2023-01-19,-4.4872,-5.8494,2.8887
2023-01-20,4.872,6.0281,3.0493
2023-01-23,11.0015,11.9879,-2.9851
2023-01-24,-0.8392,0.7692,-5.1247
2023-01-25,5.8394,6.1314,3.3723
2023-01-26,0.0,1.5979,-4.9213
2023-01-27,4.6929,3.2436,-4.1389
2023-01-30,-3.2033,-4.1086,-0.942
2023-01-31,4.3892,6.4375,1.4463
2023-02-01,16.2254,14.1887,3.1548
2023-02-02,1.0964,3.5776,-6.3616
2023-02-03,0.3576,0.7747,-4.7844
2023-02-06,-0.4342,-0.3102,0.6832
2023-02-07,8.4516,8.6983,-1.535
2023-02-08,-4.6189,-4.9654,5.094
2023-02-09,-4.4432,-4.3278,-3.1363
2023-02-10,-1.9303,-1.868,1.2025
2023-02-13,3.127,2.9393,-2.1924
2023-02-14,8.8418,8.0324,-3.0006
2023-02-15,3.0339,4.5806,-5.0741
2023-02-16,-1.8018,-2.2222,-1.7813
2023-02-17,-3.3146,-3.127,-4.5806
2023-02-21,-5.071,-5.4091,0.7138
2023-02-22,-3.7562,-2.2679,9.4722
2023-02-23,0.6605,-0.1982,-5.2387
2023-02-24,-0.7698,-0.07,4.5423
2023-02-27,-2.139,-2.8743,-0.6897
2023-02-28,2.9167,1.7361,1.0239
2023-03-01,-0.5405,-0.7432,-4.564
2023-03-02,8.2084,7.2091,0.2665
2023-03-03,4.3854,4.2525,0.9566
2023-03-06,-4.4852,-4.2325,0.1318
2023-03-07,-3.16,-3.3575,1.4334
2023-03-08,6.7295,6.5949,-0.3795
2023-03-09,-5.4603,-5.4603,1.4085
2023-03-10,-7.7381,-7.1429,-3.1317
2023-03-13,5.1433,3.0125,5.2782
2023-03-14,0.7453,3.3875,-3.9422
2023-03-15,-0.6156,0.5472,-1.4295
2023-03-16,13.5359,13.3978,0.4263
2023-03-17,-1.8799,-2.3044,0.062
2023-03-20,3.1599,2.974,2.4082
2023-03-21,-0.8818,-2.0576,0.06
2023-03-22,1.3789,-2.8177,4.7414
2023-03-23,2.2928,2.8807,-2.2298
2023-03-24,-3.5673,-3.1579,1.1467
2023-03-27,-4.1766,-4.7136,-0.6262
2023-03-28,-3.2136,-1.6383,4.5425
2023-03-29,6.1812,4.8348,3.9813
2023-03-30,1.0135,1.0698,-2.1727
2023-03-31,2.9613,4.1002,-2.0765
2023-04-03,-1.1161,-0.7254,0.3369
2023-04-04,-7.3307,-6.0996,-3.2162
2023-04-05,-2.8923,-2.1538,-2.9523
2023-04-06,1.877,1.3592,-2.8097
2023-04-10,8.0158,8.0815,2.0134
2023-04-11,-2.811,-3.0502,2.8378
2023-04-12,-7.4385,-8.2184,0.3914
2023-04-13,3.1839,1.8843,-0.1914
2023-04-14,-0.1918,-0.3836,-3.0809
2023-04-17,2.4503,3.1788,2.8241
2023-04-18,-1.8102,-1.4981,-3.6755
2023-04-19,0.1974,0.3289,-3.0799
2023-04-20,2.0284,2.9074,-0.7237
2023-04-21,-2.3194,-1.5905,-0.5384
2023-04-24,-1.0149,-0.8119,-1.4354
2023-04-25,-8.0444,-8.5992,3.1818
2023-04-26,-2.3495,-1.6887,-0.2992
2023-04-27,1.4254,1.5004,1.6248
2023-04-28,3.4157,3.6337,1.6163
2023-05-01,1.9364,1.2448,-0.0682
2023-05-02,-2.3891,-2.1843,-1.6028
2023-05-03,-1.6289,-2.0538,-2.4566
2023-05-04,0.5926,0.6667,0.1471
2023-05-05,6.9016,6.3877,-0.0691
2023-05-08,1.6598,1.3831,-3.959
2023-05-09,-1.4925,-1.0661,3.1564
2023-05-10,0.4868,-0.4172,0.1398
2023-05-11,-2.2331,-1.9539,0.7818
2023-05-12,-1.763,-1.1989,0.5706
2023-05-15,6.8794,7.305,-0.8604
2023-05-16,1.6021,0.4005,2.8571
2023-05-17,5.1034,4.4574,1.2392
2023-05-18,8.3843,8.2007,-0.4527
2023-05-19,-1.137,-1.2507,-2.7027
2023-05-22,3.8416,3.6643,-1.8825
2023-05-23,-0.8721,-1.8023,-6.0875
2023-05-24,0.5035,0.7552,13.2876
2023-05-25,6.2775,5.6167,4.6997
2023-05-26,14.6135,14.2643,7.3864
2023-05-30,-6.4306,-6.9597,-5.0284
2023-05-31,-1.3812,-2.8085,1.6076
2023-06-01,3.5365,3.0247,2.3917
2023-06-02,-3.041,-2.9528,-1.2262
2023-06-05,-3.4023,-3.6322,-2.0029
2023-06-06,5.1095,5.6934,1.9328
2023-06-07,-2.6637,-2.3476,0.6007
2023-06-08,2.3886,2.3427,3.3662
2023-06-09,-2.9527,-2.6487,3.5714
2023-06-12,5.7759,6.0776,4.8374
2023-06-13,-1.1245,-0.7755,-0.939
2023-06-14,3.5545,5.4107,-3.3408
2023-06-15,1.9029,0.7767,3.1599
2023-06-16,-4.9309,-5.9395,-1.5055
2023-06-20,-0.7643,-1.0056,-1.9473
2023-06-21,-4.6752,-5.8337,-2.1949
2023-06-22,3.2765,3.8151,-4.9351
2023-06-23,0.592,-0.4554,1.8273
2023-06-26,0.3589,-0.987,0.9507
2023-06-27,9.3722,9.4619,-4.842
2023-06-28,2.3717,2.4148,1.6863
2023-06-29,-1.8657,-1.2438,3.2339
2023-06-30,1.7087,1.1798,1.7318
2023-07-05,-3.4814,-4.6419,-5.2411
2023-07-06,1.1947,1.5929,0.4352
2023-07-07,0.5199,-0.5633,0.8275
2023-07-10,4.3629,5.1404,1.4803
2023-07-11,-1.4587,-1.2966,4.4782
2023-07-12,1.1797,1.1404,3.1919
2023-07-13,3.3949,2.9423,0.2199
2023-07-14,-3.9503,-3.9137,0.1906
2023-07-17,7.344,6.8874,-1.0691
2023-07-18,2.3415,1.7291,0.5662
2023-07-19,-3.8353,-4.0113,-5.4599
2023-07-20,-5.6589,-5.969,2.923
2023-07-21,0.12,-0.24,0.0
2023-07-24,-0.5618,-0.1204,1.6466
2023-07-25,3.5559,3.3979,-3.5591
2023-07-26,0.1984,-0.6349,7.7414
2023-07-27,-3.5556,-2.037,5.7823
2023-07-28,0.5002,0.6431,1.1012
2023-07-31,-0.8082,-0.0351,-2.1119
2023-08-01,2.7328,2.553,-3.6102
2023-08-02,-7.7455,-8.1818,-3.8766
2023-08-03,2.8807,3.2922,-1.3519
2023-08-04,-0.6046,0.3225,2.3312
2023-08-07,-0.1571,0.9034,-4.5207
2023-08-08,0.0816,-0.3265,-0.2453
2023-08-09,-4.3033,-5.4508,2.4686
2023-08-10,-3.8462,-3.7194,-3.858
2023-08-11,-3.4656,-3.5112,-1.3245
2023-08-14,9.7315,9.9712,-1.2647
2023-08-15,-3.9311,-3.8869,-0.4128
2023-08-16,-4.8365,-5.6656,0.4384
2023-08-17,-3.8312,-3.5403,-3.4656
2023-08-18,5.8793,4.9948,1.7866
2023-08-21,7.1672,6.9235,3.7934
2023-08-22,-6.6491,-6.0766,-1.8735
2023-08-23,8.8783,8.1623,5.708
2023-08-24,-14.8179,-14.5668,-0.343
2023-08-25,2.2124,1.4749,2.8558
2023-08-28,0.3294,0.7529,-1.5406
2023-08-29,10.0996,9.4832,-0.6502
2023-08-30,2.2251,2.0942,-0.9829
2023-08-31,3.4527,2.9348,2.0536
2023-09-01,-1.6016,-1.2731,-1.1241
2023-09-05,2.1474,1.1368,-0.6245
2023-09-06,-2.1366,-1.7595,-6.7406
2023-09-07,0.366,-0.0457,-0.6859
2023-09-08,-1.8416,-1.105,3.4419
2023-09-11,-3.6421,-3.5522,-2.0979
2023-09-12,-0.0476,-0.4286,-0.3343
2023-09-13,1.6291,1.8208,2.9675
2023-09-14,-0.5947,-0.8692,-1.8938
2023-09-15,-6.968,-7.0621,-2.5771
2023-09-18,2.749,3.527,-0.853
2023-09-19,-1.6194,-1.8219,1.1837
2023-09-20,-5.2899,-6.2055,-3.8961
2023-09-21,-1.295,-1.9707,2.698
2023-09-22,0.2795,-0.1677,-1.2892
2023-09-25,2.3282,3.5207,-2.6345
2023-09-26,-3.3258,-2.8185,2.3202
2023-09-27,-0.5669,0.2834,-0.6787
2023-09-28,6.6059,6.1503,4.2382
2023-09-29,-2.7277,-2.8307,0.424
2023-10-02,-0.4222,0.8971,-2.5157
2023-10-03,-4.9462,-3.7634,1.621
2023-10-04,2.6403,2.5303,-0.3219
2023-10-05,-0.3767,-1.1841,-2.0652
2023-10-06,8.99,8.2131,-2.9789
2023-10-09,2.3293,2.4881,0.9288
2023-10-10,3.0675,2.7096,1.3466
2023-10-11,0.3445,1.1811,0.7314
2023-10-12,0.1452,0.0968,0.5803
2023-10-13,-9.0385,-8.75,0.7903
2023-10-16,3.9205,3.4501,-5.9061
2023-10-17,2.4142,3.5408,-4.8187
2023-10-18,-1.4154,-0.4899,2.6258
2023-10-19,-7.8891,-7.1962,0.0
2023-10-20,-4.3603,-4.5898,-1.7428
2023-10-23,0.6116,0.1835,1.6473
2023-10-24,2.6411,2.2809,-3.8732
2023-10-25,-8.9744,-8.6691,1.0688
2023-10-26,-3.1064,-2.842,3.8697
2023-10-27,-2.1569,-1.0458,-1.8543
2023-10-30,-1.0796,-2.1592,0.0688
2023-10-31,2.5447,2.6135,0.3356
2023-11-01,6.5552,6.8227,5.9561
2023-11-02,1.8343,1.0651,3.0445
2023-11-03,4.9432,4.4886,0.3808
2023-11-06,-1.5718,-0.9214,-0.4932
2023-11-07,3.2489,2.4229,0.3226
2023-11-08,0.3215,0.1072,1.9818
2023-11-09,-3.6239,-3.5189,3.6433
2023-11-10,8.6044,8.1322,-2.3301
2023-11-13,0.2485,-0.5964,7.4426
2023-11-14,3.2543,3.0683,2.1229
2023-11-15,0.1769,0.2654,-1.2815
2023-11-16,2.1934,1.6562,-1.0563
2023-11-17,2.3577,2.9804,-0.1729
2023-11-20,5.327,4.764,-2.44
2023-11-21,-3.6032,-3.2641,1.7075
2023-11-22,-0.7318,-1.0331,-0.1304
2023-11-27,1.3596,0.5702,-2.0461
2023-11-28,-0.6222,0.1778,4.0816
2023-11-29,-0.8951,-0.8951,0.9905
2023-11-30,-4.0512,-2.8998,-1.8851
2023-12-01,2.6363,3.1725,-3.0776
2023-12-04,-0.7603,-0.3131,-2.8238
2023-12-05,0.8303,1.0609,4.104
2023-12-06,-5.8257,-5.9133,2.5151
2023-12-07,5.3612,5.3158,-0.7334
2023-12-08,3.5202,3.0856,2.8692
2023-12-11,7.6702,7.137,-1.3788
2023-12-12,3.3786,3.6117,0.2627
2023-12-13,4.5659,4.5284,2.5072
2023-12-14,5.5206,5.5556,0.8943
2023-12-15,0.1641,0.3611,-0.0327
2023-12-18,-0.7853,-0.8835,0.1651
2023-12-19,0.857,1.4173,-1.7886
2023-12-20,-5.894,-7.1192,5.8719
2023-12-21,1.916,1.7143,1.1897
2023-12-22,-0.5552,-0.2939,1.311
