symbol,nights,corr,drag_pct,tail10_pct,tail5_pct,hit_rate_pct
SQQQ,925,-0.885,-0.1569,3.969,4.9612,84.2
TYD,925,0.0554,-0.0168,-0.1498,0.0129,43.7
XLU,925,0.1936,0.0437,-0.1506,-0.1056,45.4
TLT,925,0.0896,-0.0372,-0.1681,-0.0912,41.5
UBT,925,0.0866,-0.0527,-0.2543,-0.1181,39.3
HYG,925,0.5868,-0.0092,-0.3134,-0.3485,20.9
TMF,925,0.0827,-0.1121,-0.4364,-0.2118,42.0
UTSL,925,0.2381,0.1399,-0.5162,-0.4551,43.9
QLD,925,0.8892,0.1185,-2.629,-3.2954,15.8
LABU,925,0.6037,0.1459,-2.8591,-3.5782,26.7
TNA,925,0.6971,0.1174,-3.3653,-4.2926,24.0
TQQQ,925,0.8898,0.1699,-3.9379,-4.9422,14.6
TECL,925,0.9179,0.1818,-4.9777,-6.5621,12.9
