symbol,asset_class,nights,corr,drag_pct,drag_t,tail10_pct,tail10_t,tail5_pct,hit_rate_pct
SQQQ,inverse_equity,925,-0.885,-0.1569,-1.99,3.969,15.22,4.9612,84.2
TYD,rates_long,925,0.0554,-0.0168,-0.51,-0.1498,-1.12,0.0129,43.7
XLU,sectors,925,0.1936,0.0437,2.82,-0.1506,-2.36,-0.1056,45.4
TLT,rates_long,925,0.0896,-0.0372,-1.69,-0.1681,-2.03,-0.0912,41.5
UBT,rates_long,925,0.0866,-0.0527,-1.22,-0.2543,-1.53,-0.1181,39.3
HYG,credit,925,0.5868,-0.0092,-1.08,-0.3134,-10.0,-0.3485,20.9
TMF,rates_long,925,0.0827,-0.1121,-1.71,-0.4364,-1.73,-0.2118,42.0
UTSL,leveraged_long,925,0.2381,0.1399,3.28,-0.5162,-2.93,-0.4551,43.9
QLD,leveraged_long,925,0.8892,0.1185,2.26,-2.629,-15.11,-3.2954,15.8
LABU,leveraged_long,925,0.6037,0.1459,1.79,-2.8591,-9.19,-3.5782,26.7
TNA,leveraged_long,925,0.6971,0.1174,1.41,-3.3653,-10.38,-4.2926,24.0
TQQQ,leveraged_long,925,0.8898,0.1699,2.17,-3.9379,-15.12,-4.9422,14.6
TECL,leveraged_long,925,0.9179,0.1818,1.89,-4.9777,-16.24,-6.5621,12.9
