week_starting,no filter_nights,no filter_cash_pnl,no filter_equity,no filter_week_pct,no filter_running_cagr_pct,no filter_drawdown_pct,p60_nights,p60_cash_pnl,p60_equity,p60_week_pct,p60_running_cagr_pct,p60_drawdown_pct,p80_nights,p80_cash_pnl,p80_equity,p80_week_pct,p80_running_cagr_pct,p80_drawdown_pct
2021-01-25,1,5039.88,105039.88,5.04,6304172523.95,0.0,1,5039.88,105039.88,5.04,6304172523.95,0.0,1,5039.88,105039.88,5.04,6304172523.95,0.0
2021-02-01,5,10101.55,115141.43,9.617,156566.99,0.0,1,2212.06,107251.94,2.106,3759.2,0.0,5,10101.55,115141.43,9.617,156566.99,0.0
2021-02-08,5,6682.5,121823.92,5.804,17146.54,0.0,0,0.0,107251.94,0.0,521.22,0.0,5,6682.5,121823.92,5.804,17146.54,0.0
2021-02-15,4,-8050.22,113773.7,-6.608,843.47,-6.61,2,127.03,107378.97,0.118,244.96,0.0,4,-8050.22,113773.7,-6.608,843.47,-6.61
2021-02-22,5,-2325.34,111448.36,-2.044,311.21,-8.52,0,0.0,107378.97,0.0,153.12,0.0,5,-2325.34,111448.36,-2.044,311.21,-8.52
2021-03-01,5,10190.63,121638.99,9.144,672.32,-0.15,0,0.0,107378.97,0.0,110.22,0.0,3,1648.31,113096.67,1.479,261.23,-7.16
2021-03-08,5,25188.19,146827.18,20.707,2722.41,0.0,0,0.0,107378.97,0.0,85.73,0.0,0,0.0,113096.67,0.0,191.62,-7.16
2021-03-15,5,-1295.61,145531.57,-0.882,1539.44,-0.88,0,0.0,107378.97,0.0,70.01,0.0,0,0.0,113096.67,0.0,150.28,-7.16
2021-03-22,5,-4122.0,141409.57,-2.832,858.23,-3.69,0,0.0,107378.97,0.0,59.1,0.0,0,0.0,113096.67,0.0,123.16,-7.16
2021-03-29,4,15543.26,156952.83,10.992,1264.57,0.0,0,0.0,107378.97,0.0,51.1,0.0,1,5546.94,118643.61,4.905,169.43,-2.61
2021-04-05,5,-3115.97,153836.86,-1.985,846.36,-1.99,1,-1903.62,105475.35,-1.773,32.07,-1.77,5,-2355.42,116288.19,-1.985,119.76,-4.54
2021-04-12,5,3283.65,157120.51,2.135,752.77,0.0,5,2251.37,107726.72,2.135,42.34,0.0,5,2482.17,118770.36,2.135,126.14,-2.51
2021-04-19,5,-722.69,156397.83,-0.46,599.13,-0.46,5,-495.5,107231.22,-0.46,35.47,-0.46,5,-546.29,118224.07,-0.46,107.08,-2.95
2021-04-26,5,2048.18,158446.01,1.31,534.27,0.0,5,1404.3,108635.52,1.31,39.44,0.0,5,1548.26,119772.33,1.31,106.3,-1.68
2021-05-03,5,-1360.62,157085.38,-0.859,438.28,-0.86,5,-932.89,107702.63,-0.859,31.86,-0.86,5,-1028.52,118743.81,-0.859,89.7,-2.53
2021-05-10,5,-14578.37,142507.02,-9.281,242.87,-10.06,5,-9995.38,97707.25,-9.281,-7.75,-10.06,5,-11020.06,107723.75,-9.281,29.54,-11.57
2021-05-17,5,3585.34,146092.36,2.516,244.25,-7.8,5,2458.22,100165.47,2.516,0.54,-7.8,5,2710.23,110433.98,2.516,38.22,-9.35
2021-05-24,5,6769.08,152861.44,4.633,267.85,-3.52,5,4641.09,104806.56,4.633,15.5,-3.52,5,5116.87,115550.85,4.633,55.84,-5.15
2021-05-31,4,-3159.31,149702.13,-2.067,222.07,-5.52,4,-2166.12,102640.44,-2.067,7.85,-5.52,4,-2388.18,113162.67,-2.067,43.11,-7.11
2021-06-07,5,6283.69,155985.81,4.197,239.05,-1.55,5,4308.29,106948.73,4.197,20.26,-1.55,5,4749.96,117912.62,4.197,57.23,-3.21
2021-06-14,5,-4787.45,151198.36,-3.069,194.05,-4.57,5,-3282.42,103666.31,-3.069,9.85,-4.57,5,-3618.92,114293.7,-3.069,41.7,-6.18
2021-06-21,5,5959.16,157157.52,3.941,207.49,-0.81,5,4085.78,107752.09,3.941,20.38,-0.81,5,4504.64,118798.34,3.941,53.42,-2.48
2021-06-28,5,1668.61,158826.13,1.062,199.6,0.0,5,1144.05,108896.15,1.062,22.4,0.0,5,1261.34,120059.68,1.062,54.28,-1.45
2021-07-05,4,-4974.91,153851.22,-3.132,165.74,-3.13,4,-3410.96,105485.19,-3.132,12.88,-3.13,4,-3760.63,116299.04,-3.132,40.85,-4.54
2021-07-12,5,-4751.78,149099.43,-3.089,138.32,-6.12,5,-3257.97,102227.22,-3.089,4.91,-6.12,5,-3591.96,112707.08,-3.089,29.7,-7.48
2021-07-19,5,-2047.72,147051.72,-1.373,123.63,-7.41,5,-1403.98,100823.24,-1.373,1.73,-7.41,5,-1547.91,111159.17,-1.373,24.71,-8.75
2021-07-26,5,-2863.99,144187.73,-1.948,108.42,-9.22,5,-1963.64,98859.6,-1.948,-2.28,-9.22,5,-2164.94,108994.23,-1.948,18.87,-10.53
2021-08-02,5,725.95,144913.68,0.503,104.81,-8.76,5,497.74,99357.33,0.503,-1.24,-8.76,5,548.76,109542.99,0.503,19.26,-10.08
2021-08-09,5,-1364.83,143548.85,-0.942,96.14,-9.62,5,-935.77,98421.56,-0.942,-2.92,-9.62,5,-1031.7,108511.29,-0.942,16.44,-10.93
2021-08-16,5,-1588.09,141960.75,-1.106,87.84,-10.62,5,-1088.85,97332.72,-1.106,-4.75,-10.62,5,-1200.47,107310.82,-1.106,13.54,-11.91
2021-08-23,5,3929.76,145890.52,2.768,92.88,-8.14,5,2694.37,100027.08,2.768,0.05,-8.14,5,2970.58,110281.4,2.768,18.56,-9.47
