week_starting,nights,trading_pnl,equity_before_sweep,hwm_before,swept_to_reserve,trading_equity,reserve,high_water_mark,total,running_cagr_pct,drawdown_pct
2021-01-25,0,0.0,100000.0,100000.0,0.0,100000.0,0.0,100000.0,100000.0,0.0,0.0
2021-02-01,0,0.0,100000.0,100000.0,0.0,100000.0,0.0,100000.0,100000.0,0.0,0.0
2021-02-08,0,0.0,100000.0,100000.0,0.0,100000.0,0.0,100000.0,100000.0,0.0,0.0
2021-02-15,2,-154.85,99845.15,100000.0,0.0,99845.15,0.0,100000.0,99845.15,-2.66,-0.15
2021-02-22,0,0.0,99845.15,100000.0,0.0,99845.15,0.0,100000.0,99845.15,-2.0,-0.15
2021-03-01,0,0.0,99845.15,100000.0,0.0,99845.15,0.0,100000.0,99845.15,-1.6,-0.15
2021-03-08,0,0.0,99845.15,100000.0,0.0,99845.15,0.0,100000.0,99845.15,-1.34,-0.15
2021-03-15,0,0.0,99845.15,100000.0,0.0,99845.15,0.0,100000.0,99845.15,-1.15,-0.15
2021-03-22,0,0.0,99845.15,100000.0,0.0,99845.15,0.0,100000.0,99845.15,-1.01,-0.15
2021-03-29,0,0.0,99845.15,100000.0,0.0,99845.15,0.0,100000.0,99845.15,-0.89,-0.15
2021-04-05,1,-3556.54,96288.61,100000.0,0.0,96288.61,0.0,100000.0,96288.61,-17.91,-3.71
2021-04-12,5,3898.76,100187.36,100000.0,46.84,100140.52,46.84,100140.52,100187.36,0.89,0.0
2021-04-19,3,-710.15,99430.37,100140.52,0.0,99430.37,46.84,100140.52,99477.21,-2.25,-0.71
2021-04-26,5,1990.56,101420.93,100140.52,320.1,101100.83,366.94,101100.83,101467.77,6.02,0.0
2021-05-03,4,5409.13,106509.96,101100.83,1352.28,105157.67,1719.23,105157.67,106876.9,28.13,0.0
2021-05-10,3,-11537.9,93619.77,105157.67,0.0,93619.77,1719.25,105157.67,95339.02,-15.3,-10.8
2021-05-17,4,16987.54,110607.31,105157.67,1362.41,109244.9,3081.67,109244.9,112326.57,46.09,0.0
2021-05-24,5,10140.97,119385.87,109244.9,2535.24,116850.63,5616.94,116850.63,122467.57,86.28,0.0
2021-05-31,4,-5099.29,111751.34,116850.63,0.0,111751.34,5617.0,116850.63,117368.34,59.08,-4.16
2021-06-07,5,9423.93,121175.28,116850.63,1081.16,120094.11,6698.21,120094.11,126792.33,91.92,0.0
2021-06-14,4,-8715.17,111378.94,120094.11,0.0,111378.94,6698.28,120094.11,118077.22,54.27,-6.87
2021-06-21,5,8744.1,120123.05,120094.11,7.23,120115.81,6705.58,120115.81,126821.39,80.47,0.0
2021-06-28,5,2364.9,122480.72,120115.81,591.23,121889.49,7296.87,121889.49,129186.36,83.56,0.0
2021-07-05,3,9142.89,131032.38,121889.49,2285.72,128746.66,9582.66,128746.66,138329.31,108.78,0.0
2021-07-12,3,-1422.24,127324.41,128746.66,0.0,127324.41,9582.75,128746.66,136907.16,97.97,-1.03
2021-07-19,5,-3763.3,123561.11,128746.66,0.0,123561.11,9582.84,128746.66,133143.95,81.75,-3.75
2021-07-26,4,-7100.34,116460.77,128746.66,0.0,116460.77,9582.93,128746.66,126043.71,59.12,-8.88
2021-08-02,5,1024.37,117485.14,128746.66,0.0,117485.14,9583.03,128746.66,127068.17,58.87,-8.14
2021-08-09,4,-5430.98,112054.16,128746.66,0.0,112054.16,9583.12,128746.66,121637.28,44.05,-12.07
2021-08-16,4,184.82,112238.98,128746.66,0.0,112238.98,9583.21,128746.66,121822.19,42.64,-11.93
2021-08-23,5,6166.57,118405.55,128746.66,0.0,118405.55,9583.3,128746.66,127988.85,53.6,-7.48
2021-08-30,5,5733.65,124139.2,128746.66,0.0,124139.2,9583.39,128746.66,133722.6,63.09,-3.33
2021-09-06,4,9391.36,133530.56,128746.66,1195.98,132334.58,10779.46,132334.58,143114.05,79.41,0.0
2021-09-13,5,-20319.97,112014.61,132334.58,0.0,112014.61,10779.57,132334.58,122794.18,38.36,-14.2
2021-09-20,5,-2481.9,109532.71,132334.58,0.0,109532.71,10779.67,132334.58,120312.38,32.82,-15.93
2021-09-27,3,-12879.78,96652.93,132334.58,0.0,96652.93,10779.77,132334.58,107432.7,11.28,-24.93
2021-10-04,3,2638.72,99291.65,132334.58,0.0,99291.65,10779.88,132334.58,110071.52,14.92,-23.09
2021-10-11,4,15821.22,115112.87,132334.58,0.0,115112.87,10779.98,132334.58,125892.85,38.36,-12.03
2021-10-18,5,-6182.94,108929.92,132334.58,0.0,108929.92,10780.08,132334.58,119710.01,28.02,-16.35
2021-10-25,5,5667.6,114597.53,132334.58,0.0,114597.53,10780.19,132334.58,125377.71,35.34,-12.39
2021-11-01,5,15727.11,130324.64,132334.58,0.0,130324.64,10780.29,132334.58,141104.93,56.7,-1.4
2021-11-08,5,12684.68,143009.31,132334.58,2668.68,140340.63,13449.08,140340.63,153789.71,72.94,0.0
2021-11-15,5,12768.43,153109.06,140340.63,3192.11,149916.95,16641.31,149916.95,166558.26,88.48,0.0
