week_starting,nights,cash_pnl,equity,week_pct,running_cagr_pct,drawdown_pct
2021-01-25,1,2519.94,102519.94,2.52,886540.55,0.0
2021-02-01,1,1079.49,103599.43,1.053,532.89,0.0
2021-02-08,0,0.0,103599.43,0.0,151.57,0.0
2021-02-15,2,107.82,103707.25,0.104,88.35,0.0
2021-02-22,0,0.0,103707.25,0.0,60.78,0.0
2021-03-01,0,0.0,103707.25,0.0,46.21,0.0
2021-03-08,0,0.0,103707.25,0.0,37.24,0.0
2021-03-15,0,0.0,103707.25,0.0,31.17,0.0
2021-03-22,0,0.0,103707.25,0.0,26.8,0.0
2021-03-29,0,0.0,103707.25,0.0,23.5,0.0
2021-04-05,1,-919.27,102787.98,-0.886,15.43,-0.89
2021-04-12,5,1113.93,103901.91,1.084,19.91,0.0
2021-04-19,5,-233.94,103667.97,-0.225,16.96,-0.23
2021-04-26,5,746.16,104414.13,0.72,18.93,0.0
2021-05-03,5,-392.36,104021.77,-0.376,15.83,-0.38
2021-05-10,5,-4717.91,99303.86,-4.535,-2.4,-4.89
2021-05-17,5,1308.97,100612.83,1.318,2.01,-3.64
2021-05-24,5,2317.75,102930.58,2.304,9.27,-1.42
2021-05-31,4,-1041.77,101888.81,-1.012,5.57,-2.42
2021-06-07,5,2122.51,104011.32,2.083,11.41,-0.39
2021-06-14,5,-1595.98,102415.33,-1.534,6.42,-1.91
2021-06-21,5,2011.04,104426.37,1.964,11.36,0.0
2021-06-28,5,563.67,104990.04,0.54,12.24,0.0
2021-07-05,4,-1590.25,103399.79,-1.515,7.88,-1.51
2021-07-12,5,-1574.5,101825.29,-1.523,4.01,-3.01
2021-07-19,5,-682.74,101142.55,-0.67,2.4,-3.66
2021-07-26,5,-967.21,100175.35,-0.956,0.35,-4.59
2021-08-02,5,257.68,100433.03,0.257,0.84,-4.34
2021-08-09,5,-466.53,99966.5,-0.465,-0.06,-4.78
2021-08-16,5,-535.63,99430.87,-0.536,-1.02,-5.29
2021-08-23,5,1370.81,100801.68,1.379,1.4,-3.99
