week_starting,nights,cash_pnl,equity,week_pct,running_cagr_pct,drawdown_pct
2021-01-25,0,0.0,100000.0,0.0,0.0,0.0
2021-02-01,0,0.0,100000.0,0.0,0.0,0.0
2021-02-08,0,0.0,100000.0,0.0,0.0,0.0
2021-02-15,2,104.07,100104.07,0.104,1.83,0.0
2021-02-22,0,0.0,100104.07,0.0,1.37,0.0
2021-03-01,0,0.0,100104.07,0.0,1.09,0.0
2021-03-08,0,0.0,100104.07,0.0,0.91,0.0
2021-03-15,0,0.0,100104.07,0.0,0.78,0.0
2021-03-22,0,0.0,100104.07,0.0,0.68,0.0
2021-03-29,0,0.0,100104.07,0.0,0.6,0.0
2021-04-05,1,-887.33,99216.74,-0.886,-4.02,-0.89
2021-04-12,5,1075.23,100291.97,1.084,1.39,0.0
2021-04-19,2,-587.24,99704.73,-0.586,-1.28,-0.59
2021-04-26,2,-1775.54,97929.2,-1.781,-8.06,-2.36
2021-05-03,4,1412.92,99342.11,1.443,-2.43,-0.95
2021-05-10,3,-2580.92,96761.19,-2.598,-10.82,-3.52
2021-05-17,3,2955.4,99716.59,3.054,-0.92,-0.57
2021-05-24,5,2297.1,102013.7,2.304,6.31,0.0
2021-05-31,3,-996.01,101017.69,-0.976,2.98,-0.98
2021-06-07,4,1536.36,102554.04,1.521,7.17,0.0
2021-06-14,3,-1229.3,101324.74,-1.199,3.49,-1.2
2021-06-21,5,1989.62,103314.36,1.964,8.44,0.0
2021-06-28,4,-710.4,102603.96,-0.688,6.29,-0.69
2021-07-05,3,1904.46,104508.43,1.856,10.52,0.0
2021-07-12,3,-253.25,104255.18,-0.242,9.48,-0.24
2021-07-19,5,-699.03,103556.15,-0.67,7.57,-0.91
2021-07-26,4,-1436.78,102119.36,-1.387,4.3,-2.29
2021-08-02,5,262.68,102382.05,0.257,4.65,-2.03
2021-08-09,4,-1171.47,101210.58,-1.144,2.27,-3.16
2021-08-16,3,370.8,101581.38,0.366,2.86,-2.8
2021-08-23,5,1400.46,102981.84,1.379,5.24,-1.46
2021-08-30,5,1260.79,104242.62,1.224,7.24,-0.25
2021-09-06,4,1993.81,106236.43,1.913,10.37,0.0
2021-09-13,4,-719.79,105516.64,-0.678,8.86,-0.68
2021-09-20,5,-466.77,105049.88,-0.442,7.85,-1.12
2021-09-27,3,-3070.68,101979.2,-2.923,2.96,-4.01
2021-10-04,3,810.18,102789.39,0.794,4.07,-3.24
2021-10-11,4,4040.06,106829.44,3.93,9.76,0.0
2021-10-18,5,-1404.32,105425.12,-1.315,7.52,-1.31
2021-10-25,5,1483.28,106908.4,1.407,9.35,0.0
2021-11-01,5,3580.47,110488.86,3.349,13.9,0.0
2021-11-08,4,162.17,110651.03,0.147,13.75,0.0
2021-11-15,5,2583.65,113234.69,2.335,16.7,0.0
2021-11-22,3,-2265.78,110968.91,-2.001,13.46,-2.0
2021-11-29,2,1296.93,112265.84,1.169,14.71,-0.86
2021-12-06,4,2257.82,114523.66,2.011,17.03,0.0
2021-12-13,1,314.48,114838.14,0.275,16.99,0.0
2021-12-20,0,0.0,114838.14,0.0,16.6,0.0
2021-12-27,0,0.0,114838.14,0.0,16.23,0.0
2022-01-03,0,0.0,114838.14,0.0,15.87,0.0
2022-01-10,1,-3360.78,111477.36,-2.927,12.01,-2.93
2022-01-17,0,0.0,111477.36,0.0,11.76,-2.93
2022-01-24,0,0.0,111477.36,0.0,11.52,-2.93
