week_starting,nights,trading_pnl,swept_to_reserve,trading_equity,reserve,total,running_cagr_pct,drawdown_pct
2021-01-25,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0
2021-02-01,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0
2021-02-08,0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0
2021-02-15,2,-154.85,0.0,99845.15,0.0,99845.15,-2.66,-0.15
2021-02-22,0,0.0,0.0,99845.15,0.0,99845.15,-2.0,-0.15
2021-03-01,0,0.0,0.0,99845.15,0.0,99845.15,-1.6,-0.15
2021-03-08,0,0.0,0.0,99845.15,0.0,99845.15,-1.34,-0.15
2021-03-15,0,0.0,0.0,99845.15,0.0,99845.15,-1.15,-0.15
2021-03-22,0,0.0,0.0,99845.15,0.0,99845.15,-1.01,-0.15
2021-03-29,0,0.0,0.0,99845.15,0.0,99845.15,-0.89,-0.15
2021-04-05,1,-3556.54,0.0,96288.61,0.0,96288.61,-17.91,-3.71
2021-04-12,5,3898.76,974.69,99212.67,974.69,100187.36,0.89,0.0
2021-04-19,3,-703.57,0.0,98509.1,974.7,99483.8,-2.23,-0.7
2021-04-26,5,1972.12,493.03,99988.19,1467.74,101455.93,5.97,0.0
2021-05-03,4,5349.6,1337.4,104000.39,2805.15,106805.54,27.81,0.0
2021-05-10,3,-11410.92,0.0,92589.46,2805.18,95394.64,-15.13,-10.68
2021-05-17,4,16800.58,4200.15,105189.9,7005.35,112195.25,45.54,0.0
2021-05-24,5,9764.56,2441.14,112513.32,9446.56,121959.88,83.92,0.0
2021-05-31,4,-4910.01,0.0,107603.31,9446.65,117049.96,57.83,-4.03
2021-06-07,5,9074.13,2268.53,114408.91,11715.27,126124.18,89.15,0.0
2021-06-14,4,-8302.6,0.0,106106.31,11715.39,117821.7,53.4,-6.58
2021-06-21,5,8330.16,2082.54,112353.93,13798.04,126151.97,78.11,0.0
2021-06-28,5,2212.08,553.02,114012.99,14351.19,128364.19,80.8,0.0
2021-07-05,3,8552.07,2138.02,120427.05,16489.35,136916.4,103.97,0.0
2021-07-12,3,-1330.34,0.0,119096.71,16489.51,135586.22,93.84,-0.97
2021-07-19,5,-3520.12,0.0,115576.59,16489.67,132066.26,78.69,-3.54
2021-07-26,4,-6641.51,0.0,108935.08,16489.82,125424.9,57.56,-8.39
2021-08-02,5,958.17,239.54,109653.71,16729.52,126383.23,57.22,-7.69
2021-08-09,4,-5068.96,0.0,104584.75,16729.69,121314.44,43.34,-11.4
2021-08-16,4,172.5,43.13,104714.13,16772.97,121487.1,41.94,-11.27
2021-08-23,5,5753.14,1438.29,109028.98,18211.42,127240.4,52.05,-7.07
2021-08-30,5,5279.6,1319.9,112988.69,19531.49,132520.18,60.63,-3.21
