leg,return_on_capital_pct,return_on_equity_pct
SOXL,5.6626,5.6626
SOXL,-3.1679,-3.1679
SOXL,4.0737,4.0737
SOXL,5.8712,5.8712
SOXL,-0.0058,-0.0058
SOXL,1.363,1.363
SOXL,-3.6662,-3.6662
SOXL,-0.6231,-0.6231
SOXL,2.9016,2.9016
SOXL,-2.6579,-2.6579
SOXL,3.058,3.058
SOXL,2.6422,2.6422
SOXL,-3.1223,-3.1223
XLU,-1.4821,-3.7053
SOXL,3.2954,3.2954
SOXL,-5.0517,-5.0517
SOXL,-4.0165,-4.0165
SOXL,-0.732,-0.732
SOXL,1.2313,1.2313
SOXL,3.0263,3.0263
SOXL,-6.5239,-6.5239
SOXL,-4.6776,-4.6776
SOXL,0.8654,0.8654
SOXL,-1.7084,-1.7084
SOXL,5.2797,5.2797
SOXL,-3.1421,-3.1421
SOXL,1.4536,1.4536
XLU,-0.1194,-0.2984
XLU,-0.5916,-1.4789
XLU,-0.998,-2.495
XLU,0.0129,0.0323
XLU,-0.7467,-1.8669
XLU,-0.0315,-0.0787
SOXL,9.7839,9.7839
SOXL,-5.4327,-5.4327
SOXL,4.7561,4.7561
SOXL,-0.9005,-0.9005
SOXL,1.0181,1.0181
SOXL,-4.6348,-4.6348
SOXL,0.1939,0.1939
SOXL,0.8865,0.8865
SOXL,0.1921,0.1921
SOXL,1.2204,1.2204
SOXL,-0.574,-0.574
SOXL,1.5389,1.5389
SOXL,-3.0685,-3.0685
SOXL,5.2724,5.2724
SOXL,-4.1998,-4.1998
SOXL,-1.5024,-1.5024
SOXL,0.4205,0.4205
SOXL,0.1804,0.1804
SOXL,2.3408,2.3408
SOXL,0.1142,0.1142
SOXL,4.9294,4.9294
SOXL,-2.2915,-2.2915
SOXL,1.2019,1.2019
SOXL,-0.632,-0.632
SOXL,4.6707,4.6707
SOXL,3.672,3.672
SOXL,-2.1785,-2.1785
SOXL,-1.9752,-1.9752
SOXL,0.4439,0.4439
SOXL,-3.1643,-3.1643
SOXL,-2.836,-2.836
SOXL,-2.8155,-2.8155
SOXL,1.6355,1.6355
SOXL,2.832,2.832
SOXL,0.5824,0.5824
SOXL,-0.2609,-0.2609
SOXL,-3.0867,-3.0867
SOXL,2.8183,2.8183
SOXL,-3.6813,-3.6813
SOXL,-3.0222,-3.0222
SOXL,-0.8599,-0.8599
SOXL,-0.4772,-0.4772
SOXL,-1.6429,-1.6429
SOXL,3.3326,3.3326
SOXL,-0.4539,-0.4539
SOXL,1.6941,1.6941
SOXL,1.3967,1.3967
SOXL,0.0625,0.0625
SOXL,-1.4713,-1.4713
SOXL,-2.3919,-2.3919
SOXL,0.215,0.215
SOXL,-0.2128,-0.2128
SOXL,-4.0304,-4.0304
SOXL,3.2988,3.2988
SOXL,0.064,0.064
SOXL,0.9195,0.9195
SOXL,0.6366,0.6366
SOXL,-0.9972,-0.9972
SOXL,2.9197,2.9197
SOXL,1.0455,1.0455
SOXL,-0.5148,-0.5148
SOXL,-2.5965,-2.5965
SOXL,-1.9442,-1.9442
SOXL,-5.9265,-5.9265
SOXL,13.4233,13.4233
SOXL,4.5302,4.5302
SOXL,7.2399,7.2399
XLU,0.03,0.0751
XLU,0.1682,0.4205
XLU,-0.5286,-1.3216
XLU,0.1984,0.496
XLU,0.4419,1.1048
XLU,0.0599,0.1497
XLU,-0.0467,-0.1167
XLU,0.0133,0.0334
XLU,0.0587,0.1468
XLU,-0.6202,-1.5505
XLU,0.3456,0.864
XLU,0.3609,0.9023
XLU,0.2224,0.5561
XLU,-1.1013,-2.7532
XLU,-0.3652,-0.913
XLU,0.3593,0.8982
XLU,0.2713,0.6782
XLU,0.1526,0.3814
XLU,0.0595,0.1488
SOXL,-5.0038,-5.0038
SOXL,1.5521,1.5521
SOXL,3.1848,3.1848
SOXL,1.5624,1.5624
SOXL,-2.0058,-2.0058
SOXL,-5.1674,-5.1674
SOXL,0.5168,0.5168
SOXL,0.8657,0.8657
SOXL,1.3911,1.3911
SOXL,4.3866,4.3866
SOXL,3.0657,3.0657
SOXL,0.1774,0.1774
SOXL,0.0323,0.0323
SOXL,-1.1806,-1.1806
SOXL,0.6316,0.6316
SOXL,-5.431,-5.431
SOXL,3.0445,3.0445
SOXL,-0.086,-0.086
SOXL,1.6816,1.6816
SOXL,-3.7123,-3.7123
SOXL,7.8217,7.8217
SOXL,5.8165,5.8165
SOXL,1.0237,1.0237
