decision_date,leg,soxl_on_pct,xlu_on_pct,net_sleeve_0_pct,net_sleeve_10_pct,net_sleeve_20_pct,net_sleeve_30_pct
2023-01-03,SOXL,5.6684,0.4539,5.6626,5.705,5.7474,5.7897
2023-01-04,SOXL,-3.1621,-0.7591,-3.1679,-3.2468,-3.3257,-3.4047
2023-01-05,SOXL,4.0795,1.1351,4.0737,4.1842,4.2946,4.4051
2023-01-06,SOXL,5.877,-0.0141,5.8712,5.864,5.8568,5.8496
2023-01-09,FLAT,-1.3865,-0.2658,0.0,0.0,0.0,0.0
2023-01-10,SOXL,0.0,0.0,-0.0058,-0.0088,-0.0119,-0.0149
2023-01-11,SOXL,1.3688,0.1249,1.363,1.3724,1.3819,1.3913
2023-01-12,SOXL,-3.6604,-0.4191,-3.6662,-3.7112,-3.7561,-3.801
2023-01-13,SOXL,-0.6173,0.0701,-0.6231,-0.6232,-0.6233,-0.6235
2023-01-17,SOXL,2.9074,0.4352,2.9016,2.9421,2.9826,3.0231
2023-01-18,SOXL,-2.6521,-0.0432,-2.6579,-2.6653,-2.6726,-2.6799
2023-01-19,SOXL,3.0638,-0.0581,3.058,3.0492,3.0403,3.0315
2023-01-20,SOXL,2.648,-0.3467,2.6422,2.6017,2.5613,2.5209
2023-01-23,SOXL,-3.1165,0.1011,-3.1223,-3.1153,-3.1082,-3.1011
2023-01-24,XLU,-4.9271,-1.4655,-3.7053,-3.7053,-3.7053,-3.7053
2023-01-25,SOXL,3.3012,-0.5243,3.2954,3.24,3.1845,3.1291
2023-01-26,SOXL,-5.0459,-0.2177,-5.0517,-5.0765,-5.1013,-5.1261
2023-01-27,SOXL,-4.0107,-0.3629,-4.0165,-4.0586,-4.1006,-4.1427
2023-01-30,SOXL,-0.7262,0.277,-0.732,-0.7073,-0.6827,-0.658
2023-01-31,SOXL,1.2371,-0.4776,1.2313,1.1805,1.1297,1.0789
2023-02-01,SOXL,3.0321,0.0578,3.0263,3.0291,3.0318,3.0346
2023-02-02,SOXL,-6.5181,-0.8939,-6.5239,-6.6163,-6.7087,-6.8012
2023-02-03,SOXL,-4.6718,-0.3681,-4.6776,-4.7202,-4.7628,-4.8053
2023-02-06,SOXL,0.8712,-0.4526,0.8654,0.8171,0.7688,0.7205
2023-02-07,SOXL,-1.7026,-0.5843,-1.7084,-1.7699,-1.8313,-1.8928
2023-02-08,SOXL,5.2855,0.2377,5.2797,5.3005,5.3212,5.342
2023-02-09,SOXL,-3.1363,0.1054,-3.1421,-3.1346,-3.1271,-3.1196
2023-02-10,SOXL,1.4594,0.0443,1.4536,1.4523,1.4509,1.4496
2023-02-13,XLU,-2.4301,-0.1028,-0.2984,-0.2984,-0.2984,-0.2984
2023-02-14,XLU,-3.1124,-0.575,-1.4789,-1.4789,-1.4789,-1.4789
2023-02-15,XLU,-5.2901,-0.9814,-2.495,-2.495,-2.495,-2.495
2023-02-16,XLU,-1.7813,0.0295,0.0323,0.0323,0.0323,0.0323
2023-02-17,XLU,-4.519,-0.7301,-1.8669,-1.8669,-1.8669,-1.8669
2023-02-21,XLU,0.8578,-0.0149,-0.0787,-0.0787,-0.0787,-0.0787
2023-02-22,SOXL,9.7897,0.4482,9.7839,9.8257,9.8675,9.9093
2023-02-23,SOXL,-5.4269,-0.871,-5.4327,-5.5228,-5.6129,-5.7031
2023-02-24,SOXL,4.7619,0.4954,4.7561,4.7999,4.8436,4.8874
2023-02-27,SOXL,-0.8947,-0.4534,-0.9005,-0.9489,-0.9972,-1.0456
2023-02-28,SOXL,1.0239,-0.4462,1.0181,0.9704,0.9228,0.8752
2023-03-01,SOXL,-4.629,-0.1408,-4.6348,-4.6519,-4.669,-4.6861
2023-03-02,SOXL,0.1997,0.3991,0.1939,0.2308,0.2677,0.3046
2023-03-03,SOXL,0.8923,0.0604,0.8865,0.8868,0.887,0.8873
2023-03-06,SOXL,0.1979,0.0901,0.1921,0.1981,0.2041,0.21
2023-03-07,SOXL,1.2262,-0.0305,1.2204,1.2143,1.2082,1.2021
2023-03-08,SOXL,-0.5682,0.2728,-0.574,-0.5497,-0.5255,-0.5012
2023-03-09,SOXL,1.5447,0.4889,1.5389,1.5847,1.6306,1.6764
2023-03-10,SOXL,-3.0627,-0.1242,-3.0685,-3.0867,-3.1049,-3.123
2023-03-13,SOXL,5.2782,0.7491,5.2724,5.3443,5.4161,5.488
2023-03-14,SOXL,-4.194,-0.2867,-4.1998,-4.2315,-4.2632,-4.2949
2023-03-15,SOXL,-1.4966,-0.3722,-1.5024,-1.5426,-1.5829,-1.6231
2023-03-16,SOXL,0.4263,-0.2366,0.4205,0.3938,0.3671,0.3404
2023-03-17,SOXL,0.1862,-0.5824,0.1804,0.1164,0.0524,-0.0116
2023-03-20,SOXL,2.3466,0.1642,2.3408,2.3542,2.3675,2.3809
2023-03-21,SOXL,0.12,-0.1371,0.1142,0.0975,0.0808,0.064
2023-03-22,SOXL,4.9352,0.0311,4.9294,4.9295,4.9296,4.9297
2023-03-23,SOXL,-2.2857,0.1099,-2.2915,-2.2836,-2.2756,-2.2676
2023-03-24,SOXL,1.2077,0.3045,1.2019,1.2266,1.2513,1.276
2023-03-27,SOXL,-0.6262,-0.2433,-0.632,-0.6593,-0.6867,-0.714
2023-03-28,SOXL,4.6765,0.5307,4.6707,4.7207,4.7708,4.8208
2023-03-29,SOXL,3.6778,0.2391,3.672,3.6928,3.7137,3.7346
2023-03-30,SOXL,-2.1727,0.3274,-2.1785,-2.1488,-2.1191,-2.0894
2023-03-31,SOXL,-1.9694,-0.3693,-1.9752,-2.0179,-2.0606,-2.1033
2023-04-03,SOXL,0.4497,-0.0595,0.4439,0.4349,0.4259,0.417
2023-04-04,SOXL,-3.1585,0.4292,-3.1643,-3.1244,-3.0845,-3.0447
2023-04-05,SOXL,-2.8302,0.8078,-2.836,-2.7582,-2.6805,-2.6027
2023-04-06,SOXL,-2.8097,-0.573,-2.8155,-2.8799,-2.9444,-3.0088
2023-04-10,SOXL,1.6413,-0.1435,1.6355,1.6182,1.6008,1.5834
2023-04-11,SOXL,2.8378,0.1864,2.832,2.8476,2.8632,2.8788
2023-04-12,SOXL,0.5882,-0.445,0.5824,0.5349,0.4874,0.4398
2023-04-13,SOXL,-0.2551,-0.8181,-0.2609,-0.3457,-0.4306,-0.5154
2023-04-14,SOXL,-3.0809,0.1742,-3.0867,-3.075,-3.0634,-3.0517
2023-04-17,SOXL,2.8241,0.0433,2.8183,2.8196,2.8209,2.8222
2023-04-18,SOXL,-3.6755,0.2467,-3.6813,-3.6597,-3.6381,-3.6164
2023-04-19,SOXL,-3.0164,0.0864,-3.0222,-3.0166,-3.011,-3.0054
2023-04-20,SOXL,-0.8541,0.6482,-0.8599,-0.7981,-0.7364,-0.6746
2023-04-21,SOXL,-0.4714,-0.0287,-0.4772,-0.4858,-0.4945,-0.5031
2023-04-24,SOXL,-1.6371,-0.3716,-1.6429,-1.6831,-1.7233,-1.7635
2023-04-25,SOXL,3.3384,-0.7725,3.3326,3.2523,3.172,3.0917
2023-04-26,SOXL,-0.4481,0.293,-0.4539,-0.4276,-0.4014,-0.3751
2023-04-27,SOXL,1.6999,-0.2895,1.6941,1.6621,1.6302,1.5982
2023-04-28,SOXL,1.4025,-0.232,1.3967,1.3678,1.3388,1.3098
2023-05-01,SOXL,0.0683,-0.0868,0.0625,0.0508,0.0391,0.0274
2023-05-02,SOXL,-1.4655,0.5567,-1.4713,-1.4186,-1.366,-1.3133
2023-05-03,SOXL,-2.3861,0.1763,-2.3919,-2.3773,-2.3627,-2.3481
2023-05-04,SOXL,0.2208,-0.3353,0.215,0.1784,0.1418,0.1053
2023-05-05,SOXL,-0.207,-0.1014,-0.2128,-0.2287,-0.2447,-0.2606
2023-05-08,SOXL,-4.0246,-0.2325,-4.0304,-4.0566,-4.0829,-4.1092
2023-05-09,SOXL,3.3046,0.6256,3.2988,3.3583,3.4179,3.4774
2023-05-10,SOXL,0.0698,0.0577,0.064,0.0668,0.0695,0.0722
2023-05-11,SOXL,0.9253,0.5535,0.9195,0.9718,1.0241,1.0764
2023-05-12,SOXL,0.6424,0.3766,0.6366,0.6685,0.7004,0.7323
2023-05-15,SOXL,-0.9914,-0.1174,-0.9972,-1.012,-1.0267,-1.0415
2023-05-16,SOXL,2.9255,0.3151,2.9197,2.9482,2.9767,3.0052
2023-05-17,SOXL,1.0513,-0.4668,1.0455,0.9958,0.9461,0.8964
2023-05-18,SOXL,-0.509,0.4682,-0.5148,-0.4711,-0.4273,-0.3835
2023-05-19,SOXL,-2.5907,0.2571,-2.5965,-2.5765,-2.5566,-2.5366
2023-05-22,SOXL,-1.9384,-0.378,-1.9442,-1.9851,-2.0259,-2.0667
2023-05-23,SOXL,-5.9207,-0.1366,-5.9265,-5.9432,-5.9598,-5.9765
2023-05-24,SOXL,13.4291,-0.1986,13.4233,13.4004,13.3775,13.3546
2023-05-25,SOXL,4.536,-0.1548,4.5302,4.5117,4.4932,4.4746
2023-05-26,SOXL,7.2457,0.1703,7.2399,7.2498,7.2597,7.2696
2023-05-30,XLU,-4.9869,0.0466,0.0751,0.0751,0.0751,0.0751
2023-05-31,XLU,1.8001,0.1848,0.4205,0.4205,0.4205,0.4205
2023-06-01,XLU,2.4842,-0.512,-1.3216,-1.3216,-1.3216,-1.3216
2023-06-02,XLU,-1.2262,0.215,0.496,0.496,0.496,0.496
2023-06-05,XLU,-1.9561,0.4585,1.1048,1.1048,1.1048,1.1048
2023-06-06,XLU,1.9797,0.0765,0.1497,0.1497,0.1497,0.1497
2023-06-07,XLU,0.6472,-0.0301,-0.1167,-0.1167,-0.1167,-0.1167
2023-06-08,XLU,3.3662,0.0299,0.0334,0.0334,0.0334,0.0334
2023-06-09,XLU,3.479,0.0753,0.1468,0.1468,0.1468,0.1468
2023-06-12,XLU,4.7948,-0.6036,-1.5505,-1.5505,-1.5505,-1.5505
2023-06-13,XLU,-1.0551,0.3622,0.864,0.864,0.864,0.864
2023-06-14,XLU,-3.5219,0.3775,0.9023,0.9023,0.9023,0.9023
2023-06-15,XLU,3.1599,0.239,0.5561,0.5561,0.5561,0.5561
2023-06-16,XLU,-1.2708,-1.0847,-2.7532,-2.7532,-2.7532,-2.7532
2023-06-20,XLU,-1.7879,-0.3486,-0.913,-0.913,-0.913,-0.913
2023-06-21,XLU,-2.109,0.3759,0.8982,0.8982,0.8982,0.8982
2023-06-22,XLU,-5.0584,0.2879,0.6782,0.6782,0.6782,0.6782
2023-06-23,XLU,1.9671,0.1692,0.3814,0.3814,0.3814,0.3814
2023-06-26,XLU,1.0421,0.0761,0.1488,0.1488,0.1488,0.1488
2023-06-27,SOXL,-4.998,-0.0304,-5.0038,-5.0098,-5.0159,-5.022
2023-06-28,SOXL,1.5579,-0.788,1.5521,1.4703,1.3884,1.3066
2023-06-29,SOXL,3.1906,0.1391,3.1848,3.1957,3.2065,3.2174
2023-06-30,SOXL,1.5682,-0.2139,1.5624,1.5352,1.508,1.4809
2023-07-03,SOXL,-2.0,-0.3489,-2.0058,-2.0451,-2.0844,-2.1237
2023-07-05,SOXL,-5.1616,-0.7948,-5.1674,-5.2499,-5.3324,-5.4149
2023-07-06,SOXL,0.5226,-0.6528,0.5168,0.4485,0.3802,0.3119
2023-07-07,SOXL,0.8715,-0.1682,0.8657,0.8431,0.8205,0.7979
2023-07-10,SOXL,1.3969,0.1997,1.3911,1.408,1.425,1.4419
2023-07-11,SOXL,4.3924,0.3034,4.3866,4.414,4.4413,4.4686
2023-07-12,SOXL,3.0715,0.0,3.0657,3.0627,3.0597,3.0567
2023-07-13,SOXL,0.1832,-0.2533,0.1774,0.1491,0.1207,0.0923
2023-07-14,SOXL,0.0381,-0.3291,0.0323,-0.0064,-0.0451,-0.0838
2023-07-17,SOXL,-1.1748,-0.0908,-1.1806,-1.1927,-1.2048,-1.2169
2023-07-18,SOXL,0.6374,0.0763,0.6316,0.6362,0.6408,0.6454
2023-07-19,SOXL,-5.4252,0.2717,-5.431,-5.4069,-5.3827,-5.3586
2023-07-20,SOXL,3.0503,0.4003,3.0445,3.0815,3.1185,3.1555
2023-07-21,SOXL,-0.0802,0.1461,-0.086,-0.0772,-0.0683,-0.0595
2023-07-24,SOXL,1.6874,-0.1172,1.6816,1.6669,1.6521,1.6374
2023-07-25,SOXL,-3.7065,-0.2632,-3.7123,-3.7417,-3.771,-3.8004
2023-07-26,SOXL,7.8275,-0.3947,7.8217,7.7792,7.7367,7.6942
2023-07-27,SOXL,5.8223,0.6549,5.8165,5.879,5.9414,6.0039
2023-07-28,SOXL,1.0295,0.4027,1.0237,1.0582,1.0927,1.1272
2023-07-31,SOXL,-2.2496,-0.1193,-2.2554,-2.2703,-2.2853,-2.3002
2023-08-01,SOXL,-3.5764,-0.4075,-3.5822,-3.626,-3.6698,-3.7136
2023-08-02,SOXL,-3.7624,-0.3019,-3.7682,-3.8014,-3.8346,-3.8678
2023-08-03,SOXL,-1.1554,0.2626,-1.1612,-1.1379,-1.1147,-1.0915
2023-08-04,SOXL,2.2901,0.3751,2.2843,2.316,2.3477,2.3795
2023-08-07,SOXL,-4.6322,-0.0156,-4.638,-4.6425,-4.6471,-4.6517
2023-08-08,SOXL,-0.0819,-0.0467,-0.0877,-0.0954,-0.1031,-0.1108
2023-08-09,SOXL,2.5574,0.4036,2.5516,2.589,2.6263,2.6636
2023-08-10,SOXL,-3.7313,0.0934,-3.7371,-3.7308,-3.7245,-3.7182
2023-08-11,SOXL,-1.4178,-0.0619,-1.4236,-1.4355,-1.4475,-1.4595
2023-08-14,SOXL,-1.3078,-0.5776,-1.3136,-1.3743,-1.4351,-1.4959
2023-08-15,SOXL,-0.2298,0.4284,-0.2356,-0.1958,-0.156,-0.1161
2023-08-16,SOXL,0.6836,0.1106,0.6778,0.6858,0.6939,0.7019
2023-08-17,SOXL,-3.3685,-0.0158,-3.3743,-3.3789,-3.3836,-3.3882
2023-08-18,SOXL,1.6353,-0.2993,1.6295,1.5938,1.5581,1.5224
2023-08-21,SOXL,3.5568,-0.0634,3.551,3.5416,3.5322,3.5229
2023-08-22,SOXL,-1.7815,0.5374,-1.7873,-1.7366,-1.6859,-1.6352
2023-08-23,SOXL,5.4281,-0.1732,5.4223,5.4019,5.3816,5.3612
2023-08-24,SOXL,-0.343,0.1425,-0.3488,-0.3375,-0.3263,-0.3151
2023-08-25,SOXL,2.9554,0.1729,2.9496,2.9611,2.9727,2.9842
2023-08-28,SOXL,-1.4946,0.1257,-1.5004,-1.4909,-1.4813,-1.4718
2023-08-29,SOXL,-0.7362,-0.3288,-0.742,-0.778,-0.8139,-0.8498
2023-08-30,SOXL,-0.9829,0.3933,-0.9887,-0.9524,-0.9161,-0.8798
2023-08-31,SOXL,2.0964,0.5241,2.0906,2.14,2.1894,2.2388
