week_start,week_end,spot_mon_1000,begin_mtm_equity,anchor_action,anchor_buy,anchor_strike,anchor_exp,anchor_dte,anchor_contracts,anchor_mark,contracts,put_strike,put_delta,put_prem_ps,put_premium,put_in_band,put_exp,call_strike,call_delta,call_prem_ps,call_premium,call_in_band,call_margin,delta_defense,spot_fri_close,call_settle,swept,week_margin,cf_anchor,cf_put,cf_call,cash_flow_week,income_week,cash,side_account,total_equity,put_note,put_settle,anchor_note,anchor_sell
2024-01-02,2024-01-05,29.04,150000.0,ANCHOR,50323.0,29.0,2024-05-17,136,91,5.5,91,27.0,-0.287,0.376,3421.6,True,2024-01-05,30.0,0.1598,0.152,1383.2,False,45500.0,ROLLED@2024-01-03 closeK=27.0 delta=-0.67 btc=1.08 -> newK=24.0 exp=2024-01-19 credit=0.67 net=-3731 ROLL_NET_DEBIT,25.94,EXPIRED_WORTHLESS,268.45,45500.0,-50323.0,-309.4,1383.2,-49249.2,1073.8,100482.35,268.45,100750.8,,,,
2024-01-08,2024-01-12,27.69,145750.3,,,29.0,2024-05-17,130,91,5.1,91,24.0,,,,,2024-01-19,31.0,0.145,0.154,1401.4,True,26599.3,,28.07,EXPIRED_WORTHLESS,350.35,26599.3,0.0,0.0,1401.4,1401.4,1401.4,101533.4,618.8,102152.2,CARRIED_FROM_ROLL,,,
2024-01-16,2024-01-19,28.23,143784.7,,,29.0,2024-05-17,122,91,4.6,91,24.0,,,,,2024-01-19,32.0,0.0914,0.082,746.2,False,26435.5,,34.9,ITM_ASSIGNED loss=26390,,26435.5,0.0,0.0,-25643.8,-25643.8,-25643.8,75889.6,618.8,76508.4,CARRIED_FROM_ROLL,EXPIRED_WORTHLESS,,
2024-01-22,2024-01-26,35.55,102989.4,,,,,,0,,91,,,,,,,,,,,,,,,,,,26317.2,0.0,0.0,26317.2,0.0,102206.8,618.8,102825.6,,,ROLLUP_+10%,26317.2
2024-01-29,2024-02-02,33.84,102825.6,,,,,,0,,91,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,102206.8,618.8,102825.6,,,,
2024-02-05,2024-02-09,35.03,102825.6,,,,,,0,,91,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,102206.8,618.8,102825.6,,,,
2024-02-12,2024-02-16,40.12,102825.6,,,,,,0,,91,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,102206.8,618.8,102825.6,,,,
2024-02-20,2024-02-23,36.04,102825.6,ANCHOR,36989.0,36.0,2024-08-16,178,47,7.825,47,33.0,-0.2296,0.774,3637.8,True,2024-02-23,44.0,0.1188,0.288,1353.6,True,18292.4,,40.05,EXPIRED_WORTHLESS,1247.85,18292.4,-36989.0,3637.8,1353.6,-31997.6,4991.4,68961.35,1866.65,70828.0,,EXPIRED_WORTHLESS,,
2024-02-26,2024-03-01,40.91,98793.0,ANCHOR,34480.0,41.0,2024-08-16,172,40,8.575,40,39.0,-0.2594,0.624,2496.0,True,2024-03-01,46.0,0.1362,0.254,1016.0,True,17380.0,,48.34,ITM_ASSIGNED loss=9360,,17380.0,-6656.0,2496.0,-8344.0,-12504.0,-5848.0,56457.35,1866.65,58324.0,,EXPIRED_WORTHLESS,ROLLUP_+10%,27824.0
2024-03-04,2024-03-08,49.4,82824.0,ANCHOR,28588.0,49.0,2024-08-16,165,28,10.15,28,47.0,-0.2797,0.994,2783.2,True,2024-03-08,58.0,0.1192,0.336,940.8,True,14772.8,,48.83,EXPIRED_WORTHLESS,931.0,14772.8,-4268.0,2783.2,940.8,-544.0,3724.0,54982.35,2797.65,57780.0,,EXPIRED_WORTHLESS,ROLLUP_+10%,24320.0
