week_start,week_end,begin_cash,begin_total_balance,begin_side_account,cash_interest,stock_action,stock_buy_units,stock_buy_price,stock_buy_cost,stock_hedge_fund_sold,stock_hedge_fund_pnl,put_action,put_open_price,put_open_cost,put_sell_price,put_sell_proceeds,put_roll_price,put_roll_cost,put_realized_pnl,put_pricing_source,put_strike,put_expiration,put_contracts,call_action,call_strike,call_expiration,call_contracts,call_sell_price,call_premium_received,call_close_cost,call_realized_pnl,call_outcome,call_pricing_source,basis_price,friday_1530_price,move_vs_basis_pct,friday_close_price,realized_gain_total,swept_to_side_account,side_account_balance,cash_ledger_reconciled,end_shares,end_share_value,end_put_value,call_liability_value,end_cash,end_total_balance,end_total_with_side,stock_assigned_units,stock_realized_pnl
2022-01-03,2022-01-07,150000.0,150000.0,0.0,73.97,BUY,1834,71.74,131571.16,0,,BUY+HELD_15PCT_CHECK,10.27,18486.0,,,,,,"OPTIMAL SCAN of 1 exps 120-180d: chose dte=137 K=72.0 cost/day=0.1092 (worst: dte=137 0.1092); REAL QUOTE bid=14.6 ask=15.05 exp=2022-05-20; SPREAD: sold K=47.0 same exp @ 4.69/sh (REAL QUOTE bid=4.65 ask=4.8500000000000005), net debit 10.27/sh",72.0,2022-05-20,18,SOLD,72.0,2022-01-07,18,2.12,3816.0,,3816.0,EXPIRED_WORTHLESS@2022-01-07(close 59.60),REAL QUOTE bid=2.1 ask=2.2 K=72.0 exp=2022-01-07 dte=4,71.74,60.36,-15.86,59.6,3816.0,190.8,190.8,True,1834,109306.4,24480.0,0.0,3642.01,137428.41,137619.21,,
2022-01-10,2022-01-14,3642.01,131838.11,190.8,3.14,HELD,0,,,0,,HELD,,,,,,,,,72.0,2022-05-20,18,SOLD,71.5,2022-01-14,18,0.106,190.8,,190.8,EXPIRED_WORTHLESS@2022-01-14(close 64.46),REAL QUOTE bid=0.09 ask=0.17 K=71.5 exp=2022-01-14 dte=4,71.74,63.45,-11.56,64.46,190.8,9.54,200.34,True,1834,118219.64,21510.0,0.0,3826.42,143556.06,143756.4,,
2022-01-18,2022-01-21,3826.42,139327.74,200.34,3.3,HELD,0,,,0,,HELD_15PCT_CHECK,,,,,,,,,72.0,2022-05-20,18,SOLD,71.5,2022-01-21,18,0.066,118.8,,118.8,EXPIRED_WORTHLESS@2022-01-21(close 43.62),REAL QUOTE bid=0.05 ask=0.13 K=71.5 exp=2022-01-21 dte=3,71.74,44.01,-38.65,43.62,118.8,5.94,206.28,True,1834,79999.08,34560.0,0.0,3942.58,118501.66,118707.94,,
2022-01-24,2022-01-28,3942.58,112689.94,206.28,3.4,HELD,0,,,0,,HELD_15PCT_CHECK,,,,,,,,,72.0,2022-05-20,18,SOLD,71.5,2022-01-28,18,0.02,36.0,,36.0,EXPIRED_WORTHLESS@2022-01-28(close 38.36),REAL QUOTE bid=0.01 ask=0.06 K=71.5 exp=2022-01-28 dte=4,71.74,36.48,-49.15,38.36,36.0,1.8,208.08,True,1834,70352.24,37485.0,0.0,3980.18,111817.42,112025.5,,
2022-01-31,2022-02-04,3980.18,110636.6,208.08,3.43,TOPUP,3,39.63,118.89,0,,HELD_15PCT_CHECK,,,,,,,,,72.0,2022-05-20,18,SOLD,71.5,2022-02-04,18,0.006,10.8,,10.8,EXPIRED_WORTHLESS@2022-02-04(close 43.35),REAL QUOTE bid=0.0 ask=0.03 K=71.5 exp=2022-02-04 dte=4; ZERO BID (deep OTM),71.6876,44.02,-38.59,43.35,10.8,0.54,208.62,True,1837,79633.95,34740.0,0.0,3874.99,118248.94,118457.56,,
2022-02-07,2022-02-11,3874.99,118724.71,208.62,3.34,HELD,0,,,0,,HELD_15PCT_CHECK,,,,,,,,,72.0,2022-05-20,18,SOLD,71.5,2022-02-11,18,0.006,10.8,,10.8,EXPIRED_WORTHLESS@2022-02-11(close 39.41),REAL QUOTE bid=0.0 ask=0.03 K=71.5 exp=2022-02-11 dte=4; ZERO BID (deep OTM),71.6876,39.3,-45.18,39.41,10.8,0.54,209.16,True,1837,72396.17,37395.0,0.0,3888.59,113679.76,113888.92,,
2022-02-14,2022-02-18,3888.59,114150.11,209.16,3.36,HELD,0,,,0,,HELD_15PCT_CHECK,,,,,,,,,72.0,2022-05-20,18,SOLD,72.0,2022-02-18,18,0.002,3.6,,3.6,EXPIRED_WORTHLESS@2022-02-18(close 39.54),REAL QUOTE bid=0.0 ask=0.01 K=72.0 exp=2022-02-18 dte=4; ZERO BID (deep OTM),71.6876,40.04,-44.15,39.54,3.6,0.18,209.34,True,1837,72634.98,37080.0,0.0,3895.37,113610.35,113819.69,,
2022-02-22,2022-02-25,3895.37,112960.86,209.34,3.36,TOPUP,3,38.77,116.31,0,,HELD_15PCT_CHECK,,,,,,,,,72.0,2022-05-20,18,SOLD,71.5,2022-02-25,18,0.014,25.2,,25.2,EXPIRED_WORTHLESS@2022-02-25(close 41.77),REAL QUOTE bid=0.0 ask=0.07 K=71.5 exp=2022-02-25 dte=3; ZERO BID (deep OTM),71.6339,41.08,-42.65,41.77,25.2,1.26,210.6,True,1840,76856.8,36405.0,0.0,3806.36,117068.16,117278.76,,
2022-02-28,2022-03-04,3806.36,116326.56,210.6,3.28,HELD,0,,,0,,HELD_15PCT_CHECK,,,,,,,,,72.0,2022-05-20,18,SOLD,71.5,2022-03-04,18,0.148,266.4,,266.4,EXPIRED_WORTHLESS@2022-03-04(close 34.74),REAL QUOTE bid=0.0 ask=0.74 K=71.5 exp=2022-03-04 dte=4; ZERO BID (deep OTM),71.6339,33.83,-52.77,34.74,266.4,13.32,223.92,True,1840,63921.6,40725.0,0.0,4062.72,108709.32,108933.24,,
2022-03-07,2022-03-11,4062.72,110079.72,223.92,3.51,TOPUP,19,34.8,661.2,0,,HELD_15PCT_CHECK,,,,,,,,,72.0,2022-05-20,18,SOLD,70.0,2022-03-11,18,0.008,14.4,,14.4,EXPIRED_WORTHLESS@2022-03-11(close 30.60),REAL QUOTE bid=0.0 ask=0.04 K=70.0 exp=2022-03-11 dte=4; ZERO BID (deep OTM),71.2574,31.27,-56.12,30.6,14.4,0.72,224.64,True,1859,56885.4,42255.0,0.0,3418.71,102559.11,102783.75,,
