date,Open,High,Low,Close,Volume
2021-08-06,85.4,85.4,85.25,85.38,28052
2021-08-09,85.39,85.39,85.28,85.3,5529
2021-08-10,85.12,85.13,85.06,85.07,11817
2021-08-11,85.2,85.26,85.12,85.19,19574
2021-08-12,85.16,85.26,85.12,85.21,5193
2021-08-13,85.41,85.89,85.41,85.85,52572
2021-08-16,86.16,86.21,86.09,86.14,19550
2021-08-17,85.95,85.98,85.79,85.88,17815
2021-08-18,85.63,85.71,85.5,85.71,21124
2021-08-19,85.67,85.75,85.65,85.66,18486
2021-08-20,85.69,85.7,85.62,85.71,45454
2021-08-23,85.67,85.79,85.62,85.76,11108
2021-08-24,85.84,85.87,85.74,85.76,16148
2021-08-25,85.56,85.56,85.41,85.5,13027
2021-08-26,85.41,85.55,85.37,85.52,16717
2021-08-27,85.35,85.69,85.31,85.68,18013
2021-08-30,85.59,85.64,85.57,85.61,22099
2021-08-31,85.75,85.8,85.47,85.5,8432
2021-09-01,85.58,85.58,85.46,85.52,7922
2021-09-02,85.5,85.56,85.49,85.53,14385
2021-09-03,85.73,85.79,85.71,85.76,75526
2021-09-07,85.4,85.42,85.26,85.26,12920
2021-09-08,85.31,85.36,85.22,85.32,14300
2021-09-09,85.65,85.78,85.57,85.74,28430
2021-09-10,85.55,85.6,85.51,85.56,40539
2021-09-13,85.45,85.52,85.41,85.44,14200
2021-09-14,85.6,85.8,85.56,85.78,64774
2021-09-15,86.07,86.1,85.92,85.99,53713
2021-09-16,85.63,85.75,85.61,85.68,30252
2021-09-17,85.41,85.55,85.41,85.45,49085
2021-09-20,85.78,85.96,85.73,85.97,43408
2021-09-21,86.04,86.09,85.96,86.06,152163
2021-09-22,85.77,85.82,85.51,85.64,15822
2021-09-23,85.4,85.4,85.21,85.22,24190
2021-09-24,84.95,84.97,84.82,84.84,84702
2021-09-27,84.76,84.82,84.62,84.64,17122
2021-09-28,84.37,84.43,84.2,84.28,27460
2021-09-29,84.23,84.23,83.88,83.92,20094
2021-09-30,84.02,84.45,84.02,84.46,10494
2021-10-01,84.61,84.72,84.57,84.61,34549
2021-10-04,84.52,84.76,84.47,84.71,27447
2021-10-05,84.34,84.39,84.24,84.28,49468
2021-10-06,84.33,84.5,84.28,84.34,27490
2021-10-07,84.28,84.31,84.16,84.19,5444
2021-10-08,84.07,84.07,83.7,83.71,59890
2021-10-11,83.11,83.12,82.85,82.89,23995
2021-10-12,82.64,82.82,82.61,82.69,53956
2021-10-13,82.88,82.96,82.77,82.95,42867
2021-10-14,82.74,82.8,82.63,82.7,32000
2021-10-15,82.16,82.41,82.11,82.31,47437
2021-10-18,82.26,82.28,82.17,82.17,6836
2021-10-19,82.25,82.28,82.15,82.15,56977
2021-10-20,82.15,82.32,82.15,82.24,20241
2021-10-21,82.53,82.62,82.38,82.38,16813
2021-10-22,82.54,82.84,82.51,82.84,23983
2021-10-25,82.63,82.67,82.6,82.64,20120
2021-10-26,82.32,82.33,82.2,82.33,30204
2021-10-27,82.67,82.83,82.54,82.56,67114
2021-10-28,82.77,82.95,82.72,82.75,20112
2021-10-29,82.46,82.6,82.35,82.46,51243
2021-11-01,82.27,82.45,82.25,82.38,14370
2021-11-02,82.57,82.64,82.44,82.44,29391
2021-11-03,82.48,82.51,82.31,82.38,29350
2021-11-04,82.5,82.72,82.45,82.63,54498
2021-11-05,82.63,82.9,82.63,82.9,21102
2021-11-08,83.04,83.07,82.92,82.97,15918
2021-11-09,83.24,83.26,83.15,83.25,16225
2021-11-10,82.89,82.89,82.4,82.45,22923
2021-11-11,82.5,82.5,82.33,82.34,11839
2021-11-12,82.44,82.53,82.4,82.4,48451
2021-11-15,82.43,82.43,82.24,82.28,13796
2021-11-16,82.01,82.03,81.77,81.78,58027
2021-11-17,81.91,82.42,81.91,82.28,14294
2021-11-18,82.09,82.24,82.09,82.21,7948
2021-11-19,82.4,82.55,82.35,82.42,49447
2021-11-22,81.9,81.99,81.71,81.8,55701
2021-11-23,81.65,81.7,81.58,81.58,9992
2021-11-24,81.42,81.47,81.33,81.38,22218
2021-11-26,82.55,83.07,82.55,83.07,33678
2021-11-29,82.52,82.63,82.43,82.6,25624
2021-11-30,83.27,83.44,82.69,83.1,20911
2021-12-01,83.04,83.3,83.04,83.26,20706
2021-12-02,83.16,83.2,82.94,83.0,3028
2021-12-03,82.67,83.38,82.67,83.29,35662
2021-12-06,82.99,82.99,82.68,82.71,32458
2021-12-07,82.58,82.73,82.58,82.71,4893
2021-12-08,82.44,82.64,82.4,82.61,25053
2021-12-09,82.8,82.83,82.64,82.79,145920
2021-12-10,82.73,82.91,82.73,82.75,39989
2021-12-13,82.66,82.8,82.61,82.61,21213
2021-12-14,82.66,82.66,82.51,82.54,28003
2021-12-15,82.48,82.51,82.19,82.32,7703
2021-12-16,82.37,82.65,82.37,82.59,15817
2021-12-17,82.87,82.87,82.5,82.54,16142
2021-12-20,82.66,82.82,82.5,82.54,225246
2021-12-21,82.41,82.43,82.18,82.23,34798
2021-12-22,82.15,82.25,82.08,82.23,26286
2021-12-23,82.04,82.04,81.51,82.01,13800
2021-12-27,81.8,81.8,81.64,81.65,10560
2021-12-28,81.72,81.76,81.68,81.7,43270
2021-12-29,81.71,81.75,81.57,81.58,19440
2021-12-30,81.58,81.58,81.43,81.52,91170
2021-12-31,81.49,81.56,81.48,81.49,13498
2022-01-03,81.46,81.46,81.3,81.3,17263
2022-01-04,80.71,80.85,80.67,80.83,65888
2022-01-05,81.07,81.1,80.8,80.83,22467
2022-01-06,81.01,81.12,80.94,80.97,20831
2022-01-07,81.08,81.27,81.06,81.22,352216
2022-01-10,81.35,81.57,81.35,81.44,53702
2022-01-11,81.17,81.44,81.17,81.44,34304
2022-01-12,81.5,82.04,81.5,81.91,18815
2022-01-13,82.13,82.3,82.05,82.2,67372
2022-01-14,82.58,82.58,82.15,82.15,92307
2022-01-18,81.92,81.95,81.86,81.89,16582
2022-01-19,81.96,82.18,81.96,82.09,31796
2022-01-20,82.19,82.31,82.12,82.15,74405
2022-01-21,82.52,82.58,82.42,82.57,55386
2022-01-24,82.51,82.55,82.3,82.34,43022
2022-01-25,82.36,82.43,82.35,82.4,32952
2022-01-26,82.06,82.12,81.86,81.85,52443
2022-01-27,81.29,81.45,81.24,81.3,44992
2022-01-28,81.37,81.48,81.29,81.37,116096
2022-01-31,81.3,81.58,81.26,81.44,189651
2022-02-01,81.76,81.79,81.63,81.75,40787
2022-02-02,82.0,82.13,81.95,81.96,9553
2022-02-03,81.68,81.74,81.56,81.58,30924
2022-02-04,81.39,81.43,81.27,81.42,19669
2022-02-07,81.51,81.57,81.45,81.49,6124
2022-02-08,81.23,81.23,81.12,81.21,23082
2022-02-09,81.23,81.28,81.16,81.21,4154
2022-02-10,80.69,80.98,80.62,80.78,45715
2022-02-11,80.91,81.48,80.87,81.31,14738
2022-02-14,81.15,81.26,81.07,81.07,5882
2022-02-15,81.04,81.11,81.01,81.1,9031
2022-02-16,81.21,81.25,81.13,81.2,21131
2022-02-17,81.6,81.61,81.48,81.61,18879
2022-02-18,81.51,81.53,81.41,81.43,51907
2022-02-22,81.4,81.61,81.35,81.45,31286
2022-02-23,81.42,81.57,81.38,81.53,20220
2022-02-24,81.59,81.59,81.05,81.14,73569
2022-02-25,81.16,81.17,81.02,81.15,3917
2022-02-28,81.27,81.62,81.27,81.56,160054
2022-03-01,81.62,81.75,81.59,81.68,34075
2022-03-02,81.23,81.24,81.05,81.18,31099
2022-03-03,81.1,81.26,81.05,81.2,70765
2022-03-04,81.21,81.76,81.21,81.68,24548
2022-03-07,81.41,81.41,81.2,81.35,22305
2022-03-08,81.02,81.22,81.02,81.04,21584
2022-03-09,81.0,81.04,80.91,80.98,12363
2022-03-10,80.78,80.84,80.69,80.78,14957
2022-03-11,80.18,80.22,79.89,80.0,35473
2022-03-14,79.44,79.54,79.32,79.34,55560
2022-03-15,79.35,79.49,79.19,79.28,12436
2022-03-16,79.3,79.3,78.71,79.04,40792
2022-03-17,78.94,79.18,78.89,78.99,13897
2022-03-18,78.57,78.74,78.54,78.72,27336
2022-03-21,78.69,78.7,78.48,78.48,65971
2022-03-22,77.78,77.81,77.6,77.6,55640
2022-03-23,77.72,77.72,77.38,77.42,29113
2022-03-24,76.95,76.95,76.59,76.64,38196
2022-03-25,76.78,76.93,76.69,76.72,35885
2022-03-28,75.74,76.03,75.63,75.69,70340
2022-03-29,76.34,76.75,76.22,76.25,40891
2022-03-30,76.82,77.02,76.8,76.94,74693
2022-03-31,77.0,77.2,76.92,76.94,54214
2022-04-01,76.21,76.51,76.14,76.44,36439
2022-04-04,76.38,76.38,76.22,76.3,29597
2022-04-05,76.25,76.32,75.74,75.78,45313
2022-04-06,75.64,75.72,75.6,75.71,22806
2022-04-07,75.66,75.69,75.55,75.62,17307
2022-04-08,75.23,75.39,75.18,75.34,42101
2022-04-11,74.64,74.74,74.54,74.74,34644
2022-04-12,74.94,74.94,74.75,74.78,35107
2022-04-13,74.44,74.69,74.43,74.57,22906
2022-04-14,74.63,74.63,74.36,74.42,41549
2022-04-18,74.4,74.4,73.79,73.8,122218
2022-04-19,72.86,72.9,72.64,72.69,149337
2022-04-20,73.27,73.47,73.2,73.37,81637
2022-04-21,73.07,73.13,72.79,73.01,95445
2022-04-22,72.93,73.11,72.6,72.87,44035
2022-04-25,73.15,73.45,73.14,73.18,47622
2022-04-26,73.64,73.74,73.39,73.55,38665
2022-04-27,73.12,73.2,72.87,73.04,15978
2022-04-28,71.59,71.71,71.38,71.55,81892
2022-04-29,71.87,72.39,71.87,72.17,33026
2022-05-02,72.02,72.02,71.84,71.92,16161
2022-05-03,72.18,72.18,71.93,71.97,10901
2022-05-04,72.09,72.76,71.85,72.54,26143
2022-05-05,72.01,72.05,71.75,72.01,57669
2022-05-06,71.77,71.86,71.67,71.75,21801
2022-05-09,71.64,71.94,71.54,71.92,42805
2022-05-10,72.0,72.02,71.79,71.82,30256
2022-05-11,71.85,72.31,71.85,72.08,72752
2022-05-12,73.06,73.43,72.92,72.93,129038
2022-05-13,72.52,72.53,72.36,72.41,78779
2022-05-16,72.53,72.59,72.39,72.52,22746
2022-05-17,72.2,72.54,72.18,72.36,24352
2022-05-18,72.71,73.15,72.71,73.03,61303
2022-05-19,73.67,73.7,73.29,73.31,88140
2022-05-20,73.17,73.39,73.03,73.25,51897
2022-05-23,73.33,73.42,73.17,73.24,145533
2022-05-24,73.58,74.11,73.58,73.81,74753
2022-05-25,73.69,73.69,73.45,73.59,60733
2022-05-26,73.69,73.74,73.54,73.72,16068
2022-05-27,73.76,73.84,73.6,73.69,37259
2022-05-31,72.87,72.88,72.66,72.72,32628
2022-06-01,72.37,72.45,71.93,71.94,29741
2022-06-02,72.22,72.22,72.04,72.12,12156
2022-06-03,71.75,71.8,71.52,71.52,14304
2022-06-06,71.54,71.56,70.91,70.98,433599
2022-06-07,70.52,70.74,70.49,70.56,32531
2022-06-08,69.75,70.02,69.7,69.7,81468
2022-06-09,69.88,70.03,69.63,69.64,75245
2022-06-10,69.82,69.82,69.65,69.69,43696
2022-06-13,69.9,70.04,69.55,69.68,88030
2022-06-14,69.54,69.69,69.17,69.26,66640
2022-06-15,69.49,70.09,69.39,70.03,141885
2022-06-16,70.52,71.2,70.47,70.92,180293
2022-06-17,69.52,69.52,69.15,69.34,110224
2022-06-21,68.74,68.78,68.48,68.5,121922
2022-06-22,68.8,68.94,68.66,68.74,52913
2022-06-23,69.45,69.7,69.34,69.37,45393
2022-06-24,69.27,69.36,69.15,69.22,14983
2022-06-27,69.18,69.33,69.08,69.12,22841
2022-06-28,68.75,68.78,68.64,68.75,68679
2022-06-29,68.35,68.56,68.32,68.53,25474
2022-06-30,68.86,69.04,68.81,68.98,26619
2022-07-01,69.05,69.39,69.05,69.2,69287
2022-07-05,68.86,69.01,68.75,68.95,36659
2022-07-06,69.25,69.32,68.81,68.9,38220
2022-07-07,68.9,68.95,68.75,68.8,22920
2022-07-08,68.59,68.83,68.59,68.76,21570
2022-07-11,68.02,68.18,67.95,68.11,29336
2022-07-12,68.42,68.53,68.35,68.41,17598
2022-07-13,68.04,68.25,67.88,68.14,15111
2022-07-14,67.19,67.44,67.14,67.38,82974
2022-07-15,67.43,67.6,67.4,67.56,28214
2022-07-18,67.68,67.81,67.68,67.78,46010
2022-07-19,68.02,68.05,67.67,67.72,29710
2022-07-20,67.79,67.79,67.65,67.68,19657
2022-07-21,67.57,68.06,67.57,68.06,27795
2022-07-22,68.53,68.95,68.51,68.84,40274
2022-07-25,68.5,68.57,68.42,68.48,11956
2022-07-26,68.54,68.63,68.35,68.35,17185
2022-07-27,68.34,68.58,68.08,68.55,92965
2022-07-28,69.52,69.7,69.44,69.65,48168
2022-07-29,69.69,70.22,69.53,70.17,43875
2022-08-01,70.92,71.08,70.69,71.08,40189
2022-08-02,71.29,71.35,70.28,70.28,85886
2022-08-03,69.98,70.01,69.51,69.84,17302
2022-08-04,69.94,70.44,69.93,70.41,38652
2022-08-05,69.37,69.43,69.04,69.27,36255
2022-08-08,69.41,69.58,69.24,69.24,17637
2022-08-09,69.25,69.34,69.17,69.18,36336
2022-08-10,70.25,70.76,70.24,70.38,51866
2022-08-11,70.79,70.87,70.27,70.27,18508
2022-08-12,70.0,70.11,69.9,70.09,33668
2022-08-15,70.49,70.53,70.15,70.17,8000
2022-08-16,69.5,69.7,69.43,69.67,24190
2022-08-17,69.22,69.36,69.02,69.27,78299
2022-08-18,69.29,69.29,68.81,68.84,41734
2022-08-19,68.27,68.38,68.17,68.34,53843
2022-08-22,68.2,68.2,67.95,68.01,57924
2022-08-23,68.0,68.79,67.98,68.36,46934
2022-08-24,68.24,68.39,68.19,68.21,9109
2022-08-25,68.37,68.53,68.29,68.51,48073
2022-08-26,68.41,68.61,68.01,68.02,22275
2022-08-29,67.54,67.58,67.34,67.42,25983
2022-08-30,67.53,67.63,67.27,67.41,22063
2022-08-31,67.4,67.47,67.28,67.3,77883
2022-09-01,67.01,67.17,66.66,66.66,76421
2022-09-02,66.66,66.78,66.63,66.66,39666
2022-09-06,65.71,65.71,65.35,65.49,286122
2022-09-07,64.55,65.05,64.54,65.03,257891
2022-09-08,64.82,65.0,64.79,64.94,148086
2022-09-09,65.59,65.67,65.48,65.52,280701
2022-09-12,65.49,65.69,65.42,65.46,210082
2022-09-13,64.77,65.0,64.69,64.71,81207
2022-09-14,65.45,65.55,65.27,65.3,43710
2022-09-15,65.15,65.26,65.09,65.17,34674
2022-09-16,65.3,65.45,65.27,65.42,51102
2022-09-19,65.15,65.29,65.1,65.26,38176
2022-09-20,64.96,65.09,64.95,65.06,11028
2022-09-21,64.91,65.15,64.62,64.95,109232
2022-09-22,66.1,66.19,65.6,65.67,146109
2022-09-23,65.42,65.42,65.17,65.2,41142
2022-09-26,64.85,64.89,64.55,64.61,64889
2022-09-27,64.61,64.63,64.5,64.55,52241
2022-09-28,64.76,64.92,64.62,64.86,40020
2022-09-29,64.65,64.74,64.59,64.69,73824
2022-09-30,64.64,64.66,64.53,64.61,60832
2022-10-03,64.52,64.8,64.48,64.6,84319
2022-10-04,64.58,64.92,64.5,64.91,193257
2022-10-05,64.68,64.71,64.51,64.67,25030
2022-10-06,64.59,64.63,64.32,64.36,128949
2022-10-07,64.35,64.4,64.22,64.22,30258
2022-10-10,64.2,64.2,64.05,64.11,42995
2022-10-11,64.06,64.22,64.01,64.01,22171
2022-10-12,63.69,63.69,63.55,63.62,34935
2022-10-13,63.43,63.6,63.31,63.44,87661
2022-10-14,63.21,63.21,62.74,62.82,124067
2022-10-17,62.72,62.88,62.65,62.66,43613
2022-10-18,62.67,62.72,62.55,62.61,49218
2022-10-19,62.4,62.42,62.3,62.36,84829
2022-10-20,62.3,62.47,62.18,62.18,167162
2022-10-21,61.68,63.86,61.6,63.31,838594
2022-10-24,62.68,62.82,62.6,62.67,129263
2022-10-25,62.99,63.31,62.99,63.16,57596
2022-10-26,63.41,63.88,63.41,63.8,70810
2022-10-27,63.87,64.12,63.81,63.9,57670
2022-10-28,63.28,63.41,63.21,63.33,61369
2022-10-31,62.82,62.87,62.72,62.81,35077
2022-11-01,63.35,63.4,62.96,63.04,26708
2022-11-02,63.55,64.02,63.07,63.16,139157
2022-11-03,63.05,63.24,62.9,63.01,132305
2022-11-04,63.47,63.7,63.32,63.61,27537
2022-11-07,63.83,63.87,63.6,63.65,23577
2022-11-08,63.9,64.22,63.84,64.11,99546
2022-11-09,63.83,64.01,63.64,63.69,24506
2022-11-10,65.13,66.13,65.13,66.1,98617
2022-11-11,66.89,67.42,66.8,67.31,137517
2022-11-14,66.48,66.84,66.33,66.84,60923
2022-11-15,67.2,67.26,66.85,67.05,76311
2022-11-16,67.11,67.11,66.83,66.93,23879
2022-11-17,66.51,66.64,66.33,66.56,37235
2022-11-18,66.76,66.8,66.48,66.5,10711
2022-11-21,66.04,66.04,65.62,65.7,48508
2022-11-22,66.0,66.12,65.98,66.08,19210
2022-11-23,66.28,67.07,66.27,66.95,22754
2022-11-25,66.93,67.16,66.93,67.1,8823
2022-11-28,67.33,67.45,67.14,67.15,63356
2022-11-29,67.24,67.54,67.2,67.22,25360
2022-11-30,67.04,67.73,66.72,67.55,51423
2022-12-01,68.5,69.03,68.48,68.99,170937
2022-12-02,68.98,69.51,68.85,69.46,48029
2022-12-05,68.75,68.79,68.19,68.19,33915
2022-12-06,68.3,68.44,68.08,68.16,25858
2022-12-07,68.29,68.5,68.26,68.41,41783
2022-12-08,68.3,68.45,68.25,68.25,36955
2022-12-09,68.49,68.55,68.2,68.27,22547
2022-12-12,68.12,68.12,67.68,67.73,37369
2022-12-13,69.22,69.24,68.78,68.82,84530
2022-12-14,69.11,69.23,68.63,69.0,41418
2022-12-15,68.34,68.36,67.55,67.76,41372
2022-12-16,68.02,68.45,67.96,68.23,38051
2022-12-19,68.34,68.34,68.02,68.12,31588
2022-12-20,70.46,71.41,70.4,70.88,222659
2022-12-21,70.54,70.78,70.43,70.5,138430
2022-12-22,70.54,70.57,70.3,70.48,27588
2022-12-23,70.21,70.29,70.08,70.18,28854
2022-12-27,69.92,70.0,69.78,69.85,51744
2022-12-28,69.73,69.73,69.37,69.39,257169
2022-12-29,70.05,70.21,69.98,70.15,18601
2022-12-30,70.77,71.35,70.52,71.1,169423
2023-01-03,71.5,71.73,71.18,71.27,108195
2023-01-04,71.33,71.33,70.33,70.36,241582
2023-01-05,69.85,70.15,69.61,69.97,132743
2023-01-06,69.73,70.68,69.58,70.65,83678
2023-01-09,70.7,70.94,70.65,70.84,48025
2023-01-10,70.74,70.81,70.51,70.62,44982
2023-01-11,70.41,70.52,70.32,70.41,38696
2023-01-12,71.6,72.35,71.34,72.23,272154
2023-01-13,72.84,73.19,72.79,72.97,97930
2023-01-17,72.65,72.85,72.5,72.76,95532
2023-01-18,73.0,73.08,72.35,72.42,110544
2023-01-19,72.64,72.73,72.51,72.66,47537
2023-01-20,71.6,72.03,71.5,72.0,45666
2023-01-23,71.33,71.5,71.28,71.37,82781
2023-01-24,71.56,71.8,71.18,71.68,112292
2023-01-25,71.86,72.14,71.81,71.96,53126
2023-01-26,71.74,71.74,71.44,71.56,76570
2023-01-27,71.73,71.81,71.73,71.76,24518
2023-01-30,71.55,71.61,71.37,71.43,58880
2023-01-31,71.85,71.85,71.53,71.66,26380
2023-02-01,72.02,72.52,71.82,72.39,122912
2023-02-02,72.71,72.78,72.31,72.38,25585
2023-02-03,71.54,71.66,71.05,71.08,213152
2023-02-06,70.36,70.42,70.15,70.27,219813
2023-02-07,70.62,71.4,70.59,71.1,45580
2023-02-08,70.97,71.1,70.89,70.9,11073
2023-02-09,71.44,71.44,70.78,70.83,14496
2023-02-10,71.24,71.25,70.83,70.9,22286
2023-02-13,70.18,70.44,70.14,70.47,26510
2023-02-14,70.1,70.44,69.92,70.04,48766
2023-02-15,69.51,69.6,69.37,69.51,61867
2023-02-16,69.35,69.7,69.31,69.61,44601
2023-02-17,69.29,69.53,69.22,69.45,46259
2023-02-21,69.04,69.19,68.92,69.08,45794
2023-02-22,69.22,69.31,69.03,69.05,21201
2023-02-23,68.99,69.27,68.94,69.19,8652
2023-02-24,68.37,68.45,68.26,68.3,66280
2023-02-27,68.5,68.53,68.37,68.36,18287
