date,Open,High,Low,Close,Volume
2022-03-30,14.88,15.1,14.35,14.79,375129
2022-03-31,14.72,14.73,14.04,14.04,290938
2022-04-01,14.35,14.61,14.02,14.61,413314
2022-04-04,14.7,15.33,14.58,15.33,169876
2022-04-05,15.14,15.23,14.01,14.01,246326
2022-04-06,13.58,13.83,12.94,13.71,523007
2022-04-07,13.74,14.2,13.37,14.12,358771
2022-04-08,13.94,14.46,13.76,14.09,229826
2022-04-11,13.83,13.95,13.3,13.3,300742
2022-04-12,13.63,13.91,13.14,13.15,310624
2022-04-13,13.14,14.13,13.1,14.04,553931
2022-04-14,14.26,14.5,13.74,13.79,656440
2022-04-18,13.64,14.05,13.6,13.89,216283
2022-04-19,13.95,14.74,13.89,14.59,360494
2022-04-20,14.84,15.03,14.55,14.95,435305
2022-04-21,15.23,15.23,13.55,13.4,706911
2022-04-22,13.78,13.86,12.01,12.14,1413954
2022-04-25,11.9,12.43,11.39,11.98,1529835
2022-04-26,12.16,12.16,11.02,11.07,997109
2022-04-27,11.05,11.53,10.84,10.85,659234
2022-04-28,11.46,11.9,11.13,11.51,833479
2022-04-29,11.27,11.6,10.5,10.54,940905
2022-05-02,10.66,10.78,10.0,10.74,3398225
2022-05-03,10.86,11.38,10.76,11.33,654408
2022-05-04,11.5,12.46,11.33,12.41,1187609
2022-05-05,12.07,12.16,9.9,10.36,2220847
2022-05-06,10.02,10.32,9.46,10.31,2981812
2022-05-09,9.81,9.94,9.39,9.53,4124871
2022-05-10,9.92,9.96,9.42,9.77,2048535
2022-05-11,9.75,10.26,9.64,9.83,2062233
2022-05-12,9.69,10.08,9.49,10.06,1603311
2022-05-13,10.39,10.66,10.28,10.66,1599369
2022-05-16,10.64,11.11,10.64,11.11,1325656
2022-05-17,11.41,11.53,11.16,11.37,1294539
2022-05-18,11.12,11.2,9.71,9.79,2464780
2022-05-19,9.59,10.42,9.53,10.35,3793260
2022-05-20,10.73,10.74,9.56,10.33,9190582
2022-05-23,10.6,10.64,10.16,10.49,4148910
2022-05-24,10.29,10.48,9.94,10.45,1620022
2022-05-25,10.24,10.77,10.24,10.61,1905313
2022-05-26,10.76,10.89,10.72,10.73,1789664
2022-05-27,10.99,11.18,10.93,11.18,969149
2022-05-31,10.95,11.42,10.7,11.35,2538243
2022-06-01,11.51,11.62,10.85,11.45,2144697
2022-06-02,11.39,11.87,11.33,11.65,1302973
2022-06-03,11.43,11.63,11.29,11.54,1084128
2022-06-06,11.78,11.84,11.53,11.69,1517254
2022-06-07,11.42,12.03,11.38,12.0,1506599
2022-06-08,11.86,12.08,11.74,12.03,1464252
2022-06-09,11.82,12.01,11.39,11.44,2172377
2022-06-10,10.98,11.1,10.49,10.72,2872806
2022-06-13,9.88,10.0,9.14,9.29,3667867
2022-06-14,9.37,9.65,9.23,9.55,2320160
2022-06-15,9.79,10.41,9.74,10.09,2839611
2022-06-16,9.58,9.7,9.2,9.5,3327869
2022-06-17,9.52,9.84,9.35,9.74,2630162
2022-06-21,10.12,10.28,9.91,9.93,1861201
2022-06-22,9.78,10.34,9.73,10.32,2331618
2022-06-23,10.39,10.42,10.07,10.34,2957422
2022-06-24,10.5,10.67,10.49,10.5,1639521
2022-06-27,10.59,10.88,10.48,10.84,2010111
2022-06-28,11.0,11.07,10.43,10.53,3465748
2022-06-29,10.45,10.63,10.26,10.5,1399372
2022-06-30,10.29,10.48,9.98,10.4,1999992
2022-07-01,10.3,10.71,10.1,10.66,1860568
2022-07-05,10.28,10.7,10.06,10.67,2145193
2022-07-06,10.62,10.9,10.48,10.83,1722079
2022-07-07,10.9,11.11,10.89,10.98,1387969
2022-07-08,10.93,11.27,10.92,11.17,1902388
2022-07-11,11.0,11.08,10.79,10.88,1795023
2022-07-12,10.86,11.1,10.64,10.79,2108214
2022-07-13,10.48,11.03,10.46,10.93,1809243
2022-07-14,10.56,10.94,10.41,10.91,1857721
2022-07-15,11.15,11.47,11.06,11.45,1999847
2022-07-18,11.5,11.61,11.02,11.12,2139354
2022-07-19,11.33,11.49,11.27,11.28,1674172
2022-07-20,11.35,11.6,11.29,11.54,2305943
2022-07-21,11.57,11.83,11.39,11.81,2257948
2022-07-22,11.85,11.95,11.53,11.89,1689446
2022-07-25,11.91,12.12,11.82,12.0,2162486
2022-07-26,11.9,11.92,11.54,11.72,1809384
2022-07-27,12.02,12.34,11.98,12.12,2271849
2022-07-28,12.27,12.74,12.08,12.7,1866276
2022-07-29,12.78,12.93,12.64,12.81,1812848
2022-08-01,12.61,12.81,12.35,12.4,1821240
2022-08-02,12.23,12.67,12.0,12.26,1735343
2022-08-03,12.5,12.95,12.47,12.9,1516204
2022-08-04,12.73,12.86,12.55,12.83,1442604
2022-08-05,12.58,13.15,12.54,13.13,1666085
2022-08-08,13.15,13.46,12.85,13.08,1122580
2022-08-09,12.93,13.11,12.78,12.99,717107
2022-08-10,13.46,13.78,13.38,13.74,1615535
2022-08-11,13.76,13.86,13.34,13.61,1468505
2022-08-12,13.72,14.08,13.64,13.77,832843
2022-08-15,13.57,14.08,13.57,13.98,1101246
2022-08-16,13.98,14.05,13.74,13.89,1293111
2022-08-17,13.76,14.1,13.58,13.94,1833429
2022-08-18,13.91,14.17,13.8,14.13,1482869
2022-08-19,13.87,13.9,13.19,13.46,1270255
2022-08-22,12.82,13.03,12.51,12.58,2356028
2022-08-23,12.61,12.99,12.57,12.78,1376668
2022-08-24,12.88,13.29,12.83,13.26,941070
2022-08-25,13.34,13.69,13.21,13.64,1133796
2022-08-26,13.56,13.68,12.23,12.28,2222671
2022-08-29,12.11,12.51,12.06,12.38,1449868
2022-08-30,12.49,12.52,11.96,12.14,1777940
2022-08-31,12.4,12.59,12.23,12.41,919398
2022-09-01,12.18,12.56,11.86,12.5,1343035
2022-09-02,12.94,13.1,12.19,12.37,1660340
2022-09-06,12.66,12.68,12.06,12.1,1418304
2022-09-07,12.08,12.81,12.07,12.75,1315185
2022-09-08,12.56,13.01,12.47,12.97,1454838
2022-09-09,13.18,13.32,13.1,13.1,1427478
2022-09-12,13.36,13.45,12.99,13.16,1816857
2022-09-13,12.59,12.77,11.79,12.0,3266104
2022-09-14,12.0,12.15,11.81,12.01,1747273
2022-09-15,11.98,12.34,11.94,12.08,1962896
2022-09-16,11.73,12.13,11.45,12.07,1810829
2022-09-19,11.82,12.52,11.82,12.42,1949255
2022-09-20,12.15,12.26,11.84,12.0,1637387
2022-09-21,12.17,12.41,11.62,11.62,2249911
2022-09-22,11.71,11.9,11.44,11.69,2639276
2022-09-23,11.41,11.43,10.48,10.84,3827467
2022-09-26,10.74,11.16,10.48,10.57,2401613
2022-09-27,10.85,10.92,10.16,10.41,3716916
2022-09-28,10.52,10.98,10.32,10.85,3440716
2022-09-29,10.53,10.57,10.06,10.52,3818551
2022-09-30,10.45,10.86,10.28,10.31,3082802
2022-10-03,10.61,10.96,10.52,10.77,2079076
2022-10-04,11.2,11.26,11.02,11.16,2569412
2022-10-05,10.98,11.17,10.72,11.08,2033632
2022-10-06,11.17,11.23,10.7,10.75,1972183
2022-10-07,10.6,10.64,10.24,10.32,3824288
2022-10-10,10.26,10.27,9.82,10.07,3380795
2022-10-11,10.01,10.25,9.78,9.9,3598715
2022-10-12,9.94,10.12,9.89,10.03,3791404
2022-10-13,9.83,10.38,9.83,10.29,4935403
2022-10-14,10.49,10.54,9.88,10.09,2792577
2022-10-17,10.38,10.54,10.3,10.33,2256803
2022-10-18,10.54,10.57,10.26,10.54,2960734
2022-10-19,10.46,10.59,10.28,10.46,3170834
2022-10-20,10.51,10.79,10.42,10.59,4479986
2022-10-21,10.64,10.84,10.58,10.62,3034266
2022-10-24,10.73,10.82,10.47,10.81,3240095
2022-10-25,10.78,11.24,10.76,11.22,2333332
2022-10-26,11.11,11.52,11.1,11.46,3474420
2022-10-27,11.53,11.75,11.46,11.68,3742119
2022-10-28,11.68,12.06,11.68,11.95,3085491
2022-10-31,11.89,12.16,11.86,12.14,3608737
2022-11-01,12.26,12.3,12.09,12.27,3409797
2022-11-02,12.16,12.37,11.88,11.92,3021569
2022-11-03,11.78,12.29,11.64,12.21,3070169
2022-11-04,12.47,12.71,12.08,12.34,3493140
2022-11-07,12.41,12.61,12.3,12.49,2510342
2022-11-08,12.56,12.6,11.98,12.12,3727895
2022-11-09,12.1,12.1,11.64,11.73,2689199
2022-11-10,12.4,12.63,12.28,12.36,3250500
2022-11-11,12.24,12.55,12.18,12.52,2822534
2022-11-14,12.5,12.86,12.49,12.53,3484581
2022-11-15,12.8,12.84,11.99,12.37,4372981
2022-11-16,12.5,12.72,12.46,12.68,2774500
2022-11-17,12.35,12.85,12.35,12.8,2418873
2022-11-18,12.92,12.98,12.67,12.95,3222287
2022-11-21,12.89,13.34,12.89,13.32,3104462
