date,Open,High,Low,Close,Volume
2021-08-05,27.17,27.38,27.145,27.375,2998536
2021-08-06,27.505,27.74,27.415,27.725,3217934
2021-08-09,27.74,27.975,27.6,27.875,2812296
2021-08-10,28.0,28.245,27.89,28.005,3008450
2021-08-11,28.195,28.52,28.085,28.44,4418718
2021-08-12,28.365,28.905,28.315,28.74,3240948
2021-08-13,28.935,29.015,28.66,28.72,3206026
2021-08-16,28.35,28.69,28.055,28.685,3886940
2021-08-17,28.23,28.45,27.48,28.21,7708508
2021-08-18,28.065,28.235,27.11,27.25,7542852
2021-08-19,26.605,27.29,26.38,26.77,13198304
2021-08-20,26.995,27.9,26.915,27.815,7637600
2021-08-23,28.195,28.495,28.18,28.28,4814230
2021-08-24,28.34,28.415,28.21,28.32,3102382
2021-08-25,28.35,28.675,28.3,28.66,2519950
2021-08-26,28.395,28.545,27.82,28.02,5944402
2021-08-27,28.22,28.835,28.21,28.75,4042404
2021-08-30,28.87,28.965,28.705,28.87,3375112
2021-08-31,28.77,28.955,28.645,28.96,3210732
2021-09-01,29.025,29.4,28.89,29.31,2753770
2021-09-02,29.45,29.485,29.035,29.3,2756138
2021-09-03,29.075,29.355,28.94,29.215,3489628
2021-09-07,29.1,29.14,28.72,28.81,3908376
2021-09-08,28.655,28.92,28.355,28.885,4908486
2021-09-09,28.795,29.195,28.505,28.545,4865012
2021-09-10,29.075,29.185,27.92,28.0,6339786
2021-09-13,28.635,28.675,27.88,28.5,7659226
2021-09-14,28.755,28.83,28.06,28.315,7130628
2021-09-15,28.585,28.975,28.27,28.87,5639324
2021-09-16,28.785,29.165,28.445,29.03,7030950
2021-09-17,28.945,29.035,28.01,28.065,7770286
2021-09-20,26.955,27.295,25.125,26.45,20412278
2021-09-21,26.88,27.21,26.235,26.995,11498008
2021-09-22,27.39,28.025,27.175,27.775,12847574
2021-09-23,28.215,28.68,28.165,28.645,7516896
2021-09-24,28.28,29.105,28.25,29.075,4364310
2021-09-27,28.995,29.2,28.79,28.86,3573766
2021-09-28,28.295,28.445,27.065,27.38,10622456
2021-09-29,27.465,27.645,27.08,27.2,8649656
2021-09-30,27.56,27.86,26.94,27.195,9036120
2021-10-01,27.49,27.995,27.01,27.675,6807876
2021-10-04,27.665,27.78,26.805,27.3,7531712
2021-10-05,27.415,28.045,27.29,27.795,6124270
2021-10-06,27.465,28.0,26.9,27.95,10198116
2021-10-07,28.225,28.53,28.205,28.49,5199630
2021-10-08,28.655,28.86,28.52,28.75,3715656
2021-10-11,28.635,29.11,28.535,28.56,3630822
2021-10-12,28.76,28.99,28.51,28.835,4523558
2021-10-13,28.91,29.13,28.615,29.13,4068660
2021-10-14,29.57,29.92,29.495,29.895,4481178
2021-10-15,30.025,30.32,29.815,29.915,3755610
2021-10-18,29.67,30.275,29.63,30.185,3326534
2021-10-19,30.29,30.42,30.155,30.3,2721224
2021-10-20,30.305,30.54,30.25,30.485,3736420
2021-10-21,30.36,30.985,30.285,30.965,3262952
2021-10-22,30.92,31.085,30.245,30.615,4022344
2021-10-25,30.765,31.105,30.46,31.085,2920040
2021-10-26,31.24,31.265,30.42,30.8,3934050
2021-10-27,30.825,31.16,30.35,30.435,3799668
2021-10-28,30.685,30.94,30.615,30.885,3528806
2021-10-29,30.465,30.89,30.455,30.795,3501182
2021-11-01,30.91,31.035,30.435,31.02,1910284
2021-11-02,31.04,31.425,31.03,31.415,1917120
2021-11-03,31.36,32.075,31.255,31.955,3009490
2021-11-04,32.115,32.225,31.495,31.725,3407906
2021-11-05,31.93,31.94,31.07,31.13,3215146
2021-11-08,31.38,31.425,30.825,31.135,2986690
2021-11-09,31.02,31.035,30.465,30.85,5658184
2021-11-10,30.54,31.12,30.185,30.615,4676886
2021-11-11,30.915,31.22,30.735,30.865,2781866
2021-11-12,31.145,31.51,31.02,31.465,2839038
2021-11-15,31.65,31.655,31.12,31.685,2469454
2021-11-16,31.53,31.845,31.505,31.61,2383672
2021-11-17,31.62,31.72,31.275,31.315,2855518
2021-11-18,31.495,31.555,30.975,31.18,2918938
2021-11-19,31.115,31.325,30.805,31.01,4166888
2021-11-22,31.305,31.435,30.645,30.665,3972450
2021-11-23,30.715,31.14,30.4,31.06,5433708
2021-11-24,30.66,31.37,30.38,31.28,3744894
2021-11-26,29.45,29.695,26.785,27.275,8180240
2021-11-29,28.55,29.34,28.445,29.225,9032368
2021-11-30,28.21,28.51,26.905,26.88,15246484
2021-12-01,27.905,28.365,25.92,25.9,15620398
2021-12-02,26.365,26.965,26.12,26.68,13630356
2021-12-03,26.83,26.92,24.42,25.535,22262494
2021-12-06,25.985,26.585,25.55,26.555,16519374
2021-12-07,27.33,28.165,27.285,27.99,9281500
2021-12-08,28.11,28.85,27.94,28.815,5898346
2021-12-09,28.8,29.035,28.1,28.415,6787880
2021-12-10,29.075,29.335,28.62,29.265,6717832
2021-12-13,29.175,29.195,28.545,28.72,6441090
2021-12-14,28.225,28.625,27.78,28.49,7665130
2021-12-15,28.41,29.515,27.8,29.485,12077216
2021-12-16,29.735,29.835,28.345,28.83,9890656
2021-12-17,28.285,28.945,27.915,28.34,11656772
2021-12-20,27.065,27.965,26.495,27.87,13145612
2021-12-21,28.315,28.68,27.98,28.475,6877604
2021-12-22,28.56,29.37,28.56,29.36,5729286
2021-12-23,29.51,29.69,29.44,29.51,5565106
2021-12-27,29.625,29.945,29.43,29.86,4512948
2021-12-28,29.94,30.25,29.805,30.26,4720146
2021-12-29,30.27,30.75,30.085,30.605,3366096
2021-12-30,30.695,30.975,30.485,30.645,2870094
2021-12-31,30.655,30.895,30.495,30.775,3323482
2022-01-03,30.98,31.3,30.665,31.285,4553704
2022-01-04,31.4,31.44,30.83,31.295,3958628
2022-01-05,31.185,31.545,30.04,30.09,7108002
2022-01-06,30.005,30.435,29.735,30.005,7564340
2022-01-07,30.0,30.485,29.62,30.43,6742800
2022-01-10,29.84,30.745,28.97,30.66,11422888
2022-01-11,30.495,31.275,30.15,31.23,7842766
2022-01-12,31.455,31.7,31.08,31.39,5149018
2022-01-13,31.45,31.595,30.285,30.455,6605736
2022-01-14,29.895,30.755,29.815,30.625,8761054
2022-01-18,29.975,30.0,29.3,29.505,10511230
2022-01-19,29.75,29.81,28.955,29.09,10455466
2022-01-20,29.445,29.985,28.35,28.485,8763840
2022-01-21,28.21,28.505,27.125,27.155,18004408
