date,Open,High,Low,Close,Volume
2021-08-06,24.9,24.95,24.88,24.93,1302863
2021-08-09,24.92,24.99,24.92,24.98,410691
2021-08-10,25.03,25.03,25.0,25.0,846914
2021-08-11,24.96,24.99,24.93,24.95,971893
2021-08-12,24.98,25.0,24.97,24.98,150712
2021-08-13,24.91,24.93,24.84,24.86,719439
2021-08-16,24.86,24.89,24.85,24.88,470638
2021-08-17,24.96,25.03,24.96,25.03,977128
2021-08-18,25.01,25.06,24.97,25.03,500197
2021-08-19,25.1,25.15,25.08,25.15,957524
2021-08-20,25.15,25.16,25.11,25.12,749548
2021-08-23,25.02,25.04,24.97,24.97,1037979
2021-08-24,24.98,25.0,24.93,24.95,1053060
2021-08-25,24.99,25.02,24.93,24.93,627324
2021-08-26,24.97,25.01,24.97,25.0,254693
2021-08-27,25.01,25.03,24.88,24.89,826117
2021-08-30,24.89,24.92,24.88,24.89,317651
2021-08-31,24.85,24.91,24.83,24.89,623208
2021-09-01,24.83,24.85,24.81,24.84,1000316
2021-09-02,24.81,24.83,24.77,24.78,589151
2021-09-03,24.72,24.75,24.7,24.73,693786
2021-09-07,24.82,24.86,24.8,24.85,417076
2021-09-08,24.9,24.94,24.87,24.89,984430
2021-09-09,24.83,24.88,24.8,24.83,181739
2021-09-10,24.82,24.88,24.81,24.87,314967
2021-09-13,24.9,24.9,24.86,24.87,145533
2021-09-14,24.8,24.89,24.79,24.87,357840
2021-09-15,24.83,24.86,24.82,24.82,177880
2021-09-16,24.94,24.96,24.93,24.93,379316
2021-09-17,24.97,25.03,24.95,25.02,1901859
2021-09-20,25.05,25.06,25.01,25.03,1342030
2021-09-21,25.02,25.05,25.0,25.01,595947
2021-09-22,25.03,25.11,24.96,25.08,850527
2021-09-23,25.0,25.01,24.96,24.98,505272
2021-09-24,25.06,25.07,25.03,25.05,428651
2021-09-27,25.09,25.09,25.05,25.08,246164
2021-09-28,25.15,25.19,25.13,25.17,1803530
2021-09-29,25.25,25.35,25.24,25.35,806390
2021-09-30,25.33,25.35,25.27,25.31,747773
2021-10-01,25.23,25.28,25.23,25.26,1238034
2021-10-04,25.18,25.2,25.15,25.18,847645
2021-10-05,25.25,25.25,25.19,25.23,560745
2021-10-06,25.33,25.35,25.29,25.3,1058224
2021-10-07,25.29,25.3,25.26,25.29,455555
2021-10-08,25.25,25.29,25.24,25.27,311636
2021-10-11,25.28,25.34,25.25,25.34,1860953
2021-10-12,25.35,25.39,25.34,25.37,755224
