date,Open,High,Low,Close,Volume
2021-08-06,31.06,31.27,30.92,31.02,91736
2021-08-09,31.31,31.31,31.0,31.13,38572
2021-08-10,30.99,31.05,30.7,30.93,34494
2021-08-11,30.88,30.94,30.44,30.56,15831
2021-08-12,30.51,30.59,29.92,30.18,23772
2021-08-13,29.86,30.38,29.85,30.18,187411
2021-08-16,30.64,30.8,30.19,30.37,34169
2021-08-17,30.85,31.18,30.53,30.79,56799
2021-08-18,31.1,31.88,30.87,31.79,54696
2021-08-19,32.2,32.29,31.51,31.73,122358
2021-08-20,31.61,31.65,31.13,31.27,360927
2021-08-23,31.05,31.05,30.71,30.98,418777
2021-08-24,30.83,31.14,30.83,31.01,74910
2021-08-25,31.11,31.15,30.64,30.71,42411
2021-08-26,30.84,31.36,30.71,31.15,34091
2021-08-27,30.9,30.95,30.42,30.47,54367
2021-08-30,30.4,30.55,30.2,30.52,58661
2021-08-31,30.46,30.71,30.42,30.55,66966
2021-09-01,30.47,30.47,30.08,30.25,114468
2021-09-02,30.17,30.51,30.1,30.27,45771
2021-09-03,30.51,30.65,30.25,30.45,33251
2021-09-07,30.54,30.91,30.54,30.78,74648
2021-09-08,31.16,31.41,30.86,30.86,70770
2021-09-09,31.08,31.24,30.61,31.24,24049
2021-09-10,30.81,31.75,30.78,31.71,75114
2021-09-13,31.24,31.84,31.14,31.41,58673
2021-09-14,31.19,31.91,31.14,31.66,27003
2021-09-15,31.5,31.68,31.03,31.29,53099
2021-09-16,31.27,31.49,30.86,31.07,38204
2021-09-17,31.18,31.7,31.15,31.68,64547
2021-09-20,32.92,33.73,32.45,32.8,282789
2021-09-21,32.45,32.96,32.16,32.21,153103
2021-09-22,31.96,31.96,31.31,31.58,87682
2021-09-23,31.09,31.17,30.86,30.89,40620
2021-09-24,31.13,31.15,30.59,30.75,75453
2021-09-27,30.62,30.84,30.33,30.82,228311
2021-09-28,31.32,32.27,31.2,31.98,121209
2021-09-29,31.83,32.12,31.6,32.11,66829
2021-09-30,31.79,32.48,31.52,32.31,103565
2021-10-01,31.91,32.21,31.36,31.85,120665
2021-10-04,31.88,32.64,31.85,32.52,371703
2021-10-05,32.19,32.33,31.6,31.86,34050
2021-10-06,32.07,32.42,31.71,31.72,22211
2021-10-07,31.53,31.53,31.26,31.29,42677
2021-10-08,31.17,31.45,31.1,31.44,19461
2021-10-11,31.45,31.45,31.0,31.45,17337
2021-10-12,31.31,31.51,31.05,31.09,22208
2021-10-13,31.11,31.15,30.74,30.85,31504
2021-10-14,30.58,30.58,30.16,30.16,47612
2021-10-15,30.0,30.62,29.97,30.59,42892
2021-10-18,30.67,30.92,30.53,30.78,56495
2021-10-19,30.67,30.71,30.4,30.61,57543
2021-10-20,30.48,30.67,30.37,30.37,302658
2021-10-21,30.37,30.51,30.07,30.14,98044
2021-10-22,30.23,30.5,30.0,30.36,38610
2021-10-25,30.3,30.55,29.81,29.86,66124
2021-10-26,29.7,30.23,29.7,30.1,37028
2021-10-27,30.08,30.52,29.83,30.46,37448
2021-10-28,30.13,30.25,30.0,30.04,18222
2021-10-29,30.3,30.42,30.18,30.41,221686
2021-11-01,30.18,30.52,30.14,30.2,425601
2021-11-02,30.16,30.23,29.85,29.88,32242
2021-11-03,29.95,29.95,29.34,29.39,186831
2021-11-04,29.37,29.72,29.27,29.71,38462
2021-11-05,29.54,30.1,29.54,30.09,32342
2021-11-08,29.94,30.33,29.89,30.2,90257
2021-11-09,30.28,30.7,30.25,30.56,56524
2021-11-10,30.74,30.76,30.11,30.55,24165
2021-11-11,30.35,30.35,29.98,30.15,42138
2021-11-12,30.05,30.06,29.76,29.94,26971
2021-11-15,29.85,30.41,29.85,30.21,31519
2021-11-16,30.23,30.33,30.15,30.33,15444
2021-11-17,30.35,30.77,30.31,30.77,24175
2021-11-18,30.78,31.08,30.65,30.86,21941
2021-11-19,30.99,31.25,30.75,30.81,30518
2021-11-22,30.56,31.08,30.56,31.07,28815
2021-11-23,31.23,31.32,30.68,30.69,107951
2021-11-24,31.13,31.25,30.6,30.71,54720
2021-11-26,31.82,33.69,31.55,32.29,174755
2021-11-29,31.86,31.95,31.02,31.23,57599
2021-11-30,31.68,33.09,31.68,32.84,124321
2021-12-01,31.95,33.75,31.53,33.6,113102
2021-12-02,33.35,33.65,32.75,32.87,104343
2021-12-03,32.64,34.77,32.64,33.98,475384
2021-12-06,33.49,33.86,32.81,32.56,311531
2021-12-07,32.2,32.2,31.13,31.48,164468
2021-12-08,31.33,31.39,30.87,31.21,82998
2021-12-09,31.09,31.46,30.94,31.46,63368
2021-12-10,30.87,31.25,30.66,30.83,51274
2021-12-13,31.07,31.78,31.06,31.75,72650
2021-12-14,32.02,32.42,31.72,31.96,39626
2021-12-15,31.96,32.42,30.89,30.87,128883
2021-12-16,30.83,31.92,30.72,31.57,30436
2021-12-17,32.04,32.45,31.51,32.22,54145
2021-12-20,33.18,33.45,32.38,32.32,36390
2021-12-21,31.93,32.32,31.69,31.91,104174
2021-12-22,31.87,31.87,31.42,31.47,93439
2021-12-23,31.36,31.45,31.15,31.45,40871
2021-12-27,31.36,31.39,31.07,31.11,80239
2021-12-28,31.35,31.35,30.84,30.89,16480
2021-12-29,30.82,30.97,30.39,30.47,53303
2021-12-30,30.53,30.76,30.38,30.71,43727
2021-12-31,30.81,30.81,30.44,30.57,82733
2022-01-03,30.4,30.57,30.18,30.27,38822
2022-01-04,30.15,30.49,30.12,30.3,51542
2022-01-05,30.34,31.17,29.96,31.03,59858
2022-01-06,31.09,31.19,30.69,31.11,172142
2022-01-07,30.91,31.19,30.45,30.45,28896
2022-01-10,30.95,31.33,30.04,30.1,91859
